Test1Score,Test2Score,class
39.4901443075,52.9355920697,B
28.2311596705,23.5389599083,B
16.9910089918,49.0422411412,B
34.558626399,88.5689971801,A
48.1815699468,83.2823232244,B
17.2044896214,41.6442737081,B
65.6613778221,23.3701282371,A
44.1716742553,64.3520305002,C
53.9626947899,83.7394914148,C
58.48821308,86.1258622793,B
14.290895666,26.8086327723,B
11.9827887402,43.5503763258,B
12.8386527027,6.3304901121,B
58.9705113492,83.4483184038,A
58.1731211383,95.276172269,A
64.4176645456,25.4556918993,C
90.6373859766,43.3972187333,C
32.814947134,87.6702416488,A
8.1230505735,52.2012291953,A
67.8008363322,75.5128135517,A
39.8692827728,6.7500992846,B
30.8629937823,57.6258058722,B
21.0758596998,39.4632704978,B
-1.1368861414,32.989557976,B
63.2525958741,17.4198513536,C
86.1404874543,42.8206711216,C
73.734057335,28.6163129786,B
8.1339950691,17.4234454056,B
62.2635144244,38.395904062,B
41.8232486056,48.7310958647,B
47.7323838763,69.1177614347,B
95.5644194377,24.5013805876,B
66.3213097175,81.544829453,A
75.9389390474,36.3090728663,A
22.3309456813,17.3188478628,A
38.0093252684,67.261293527,A
37.7424823801,73.4085655531,A
11.6820436454,21.3361709879,B
33.032498869,15.2118518085,B
78.4451936061,27.5102804988,C
27.5297146065,5.1968687739,B
-5.5467026224,20.5875738882,B
72.8509451579,36.7685680434,A
76.2107128692,47.1686996847,C
80.6043166164,39.1837222911,C
76.0834480666,27.7183470256,C
19.6495257627,11.544903127,B
38.165163562,50.1702213583,B
60.1470367224,87.0690614943,A
73.6228408935,34.487866919,C
55.643790293,70.1431897899,C
77.9442368666,38.5258203512,C
79.4302057579,25.4508308617,C
67.8043059489,42.1187460802,C
44.4754909982,64.0190404121,A
64.9695203437,82.9846471929,C
61.2511218726,93.9591633926,B
87.4738774572,25.7729180359,C
43.8393075594,70.3367352803,A
94.0814119666,27.2536769434,C
71.2624210991,36.5337154386,C
74.5143034661,32.6946858846,C
19.7609110132,20.6932637141,B
85.7625457051,17.6813045869,C
68.4558598483,83.7763508221,A
38.8139818085,82.0036025035,A
-7.5695534886,31.33976914,A
19.5198946068,59.1672101606,B
9.9878661837,23.9954798068,B
52.1760334872,65.1323351229,A
27.7562687103,47.8985367211,B
41.5297066698,11.1153967836,B
44.9372505248,48.4813326354,B
83.3354671326,21.5640692923,C
52.9219347949,93.2131853261,A
4.3122042338,37.5602558952,B
49.1854110029,97.7646861109,A
75.1618883881,25.3507417394,C
70.2094496368,27.5241924275,B
88.6757287834,21.1826713426,C
73.6875853797,19.6399671019,C
4.4545004245,23.3356122284,B
3.5515083942,43.973793173,B
49.9465802311,96.2945352941,B
11.3774155897,15.298084264,B
62.2547830873,84.6341390407,A
59.6034821704,95.152716177,A
74.7345828893,31.519718807,B
32.7995460794,15.5490979311,B
63.5018067925,72.21182348,B
77.9182597334,20.6967459958,C
42.848778024,86.5609028431,A
30.3793149651,48.3927171747,B
38.1235616751,78.0126627047,A
69.8520762138,23.1729813557,C
75.068350144,27.132753052,C
55.2583758349,98.9429832899,A
82.4085553281,39.8483111681,C
61.6200839525,24.6668206232,B
-4.4506751587,43.7353543904,B
52.9745259288,98.8788648561,A
73.6573506439,46.5139502563,C
42.7990444038,83.2907197456,B
48.9693586374,89.7349658576,A
73.9541196686,39.3194347784,B
65.709586052,86.1651545699,A
57.5844233318,93.9905774004,A
17.4385152374,22.8093847301,A
36.8093897071,80.7060188495,C
68.7547913439,78.7397898567,A
1.9465600773,7.3320020642,C
42.1738227111,35.7173424629,B
15.9227268834,3.4622835923,B
82.0825237,40.1217477614,C
33.5925635109,8.0987728971,C
88.9616122898,24.7882031384,B
48.4613113561,99.4181390234,A
71.348437572,45.2381474989,C
57.1019358993,70.4831109498,A
66.6291470212,40.7663687601,B
51.3743747233,87.6786785136,B
68.9267034687,26.2637004148,C
7.654013016,12.2169123525,B
91.0308046316,35.0474293674,B
25.4656520086,39.8554321045,B
65.5459933808,92.1126981017,A
28.2433501859,2.6616617228,B
84.4337936633,33.8111360646,B
17.5699732847,20.5507898181,B
51.4284393104,90.4866372965,A
41.6061511514,65.2328328547,A
93.7405191151,33.16741143,C
22.6225872779,50.0829196838,C
37.0145127452,88.0444174037,A
80.6737350145,18.8847828834,C
45.2650455812,89.6530766765,A
67.8250270139,87.7858826898,A
32.5138709126,75.1882241629,B
74.0660110994,13.1637521866,C
34.1419248745,77.7245236878,A
48.9284866195,94.2763197843,B
66.2639354917,28.6263926584,A
76.2830929333,35.5723611574,C
17.794346654,29.9327434682,C
39.2466152834,74.6240085268,A
17.1898253833,7.9875046475,B
27.8190813795,4.1345713019,B
61.0542520431,65.5505305793,B
70.9091910579,43.4774832888,C
14.4445924687,43.6912186744,B
67.0745635397,73.5392106714,A
40.1891781231,80.2092240278,A
26.9927679324,46.6995764951,B
66.0955293403,14.8973997265,C
76.1564026009,21.3166057094,B
20.5914265362,37.5940031421,B
25.9031166304,55.0195811661,A
77.1688487197,11.3696910674,B
71.3835002818,40.1744355926,C
71.4996157849,41.0882863588,B
71.2475197788,19.7864881963,C
49.311365829,28.4632886156,C
84.2257742898,15.2323698682,C
84.0564856891,17.8773597718,B
41.1253571594,73.6557955417,C
16.9145983225,1.6438527461,B
45.2884043865,32.493139612,B
72.7701982133,25.3919513622,C
52.6185184649,95.8005619911,A
17.9631672241,11.5151354539,B
64.569835012,19.885373451,C
57.2477655509,70.7465601353,A
62.9767944192,37.018380922,C
88.5829905294,13.6256333547,C
-7.2591511374,36.3118709713,B
54.0759434157,90.6225739597,A
13.4962486992,28.8713617357,B
77.542582395,39.1797683389,C
71.4242108688,30.0995038697,C
82.775665428,16.227111393,A
37.2114980986,16.8704788475,C
86.2743950362,47.5688945074,B
50.8242402284,86.0810424758,A
64.1309651851,38.4262641351,C
16.3433752376,52.5462201134,B
35.6029313405,88.2046566815,A
14.085284827,49.383180647,B
39.7376928262,41.4482861734,A
29.0432010337,19.8471670368,A
81.5198673032,34.2643244134,C
69.2081120429,83.041161738,A
48.0269989278,66.9731238437,A
37.3936133715,33.3287129767,B
9.646398132,10.3811363553,B
83.4324117714,28.833073996,B
61.6689070323,74.210980138,B
29.3603665468,40.0615354917,A
-0.6932931941,27.0332316055,B
24.8739204764,16.4935241681,B
25.112127863,34.4427148663,B
32.2263983645,15.8927662156,A
12.8405379601,5.7723082962,B
44.8098970179,91.8085542895,B
34.2966727817,53.022525371,C
49.0387010384,78.9171974799,A
55.4442982464,63.3037252423,A
44.9354829245,83.2323336824,B
14.4681703527,6.159208877,B
11.8554991822,17.6205443133,B
22.130497052,26.0802664544,B
67.8269831583,75.3194711859,C
36.2448908823,23.2060190703,B
38.4716688539,87.7004487795,C
40.5675812857,81.5799999397,A
19.2355506174,9.0600332018,B
48.7764589379,94.1640082214,A
33.3290215598,88.0622743434,A
-7.1426167238,34.7071954182,B
89.0758808279,17.0934266982,C
