Age,TIme,Type,COVID,,,
15-24,6,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
25-44,8,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
45-64,9,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
65,4,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
15-24,12,"Texting, Phone Calls and Video Chats",After Pandemic,,,
25-44,15,"Texting, Phone Calls and Video Chats",After Pandemic,,,
45-64,18,"Texting, Phone Calls and Video Chats",After Pandemic,,,
65,8,"Texting, Phone Calls and Video Chats",After Pandemic,,,
15-24,28,Exercising,Before Pandemic,,,
25-44,24,Exercising,Before Pandemic,,,
45-64,18,Exercising,Before Pandemic,,,
65,15,Exercising,Before Pandemic,,,
15-24,23,Exercising,After Pandemic,,,
25-44,19,Exercising,After Pandemic,,,
45-64,14,Exercising,After Pandemic,,,
65,11,Exercising,After Pandemic,,,
15-24,34,Grooming,Before Pandemic,,,
25-44,27,Grooming,Before Pandemic,,,
45-64,28,Grooming,Before Pandemic,,,
65,25,Grooming,Before Pandemic,,,
15-24,32,Grooming,After Pandemic,,,
25-44,20,Grooming,After Pandemic,,,
45-64,17,Grooming,After Pandemic,,,
65,16,Grooming,After Pandemic,,,
