Age,TIme,Type,COVID,,,
15-24,6,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
25-44,8,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
45-64,9,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
65,4,"Texting, Phone Calls and Video Chats",Before Pandemic,,,
15-24,12,"Texting, Phone Calls and Video Chats",During Pandemic,,,
25-44,15,"Texting, Phone Calls and Video Chats",During Pandemic,,,
45-64,18,"Texting, Phone Calls and Video Chats",During Pandemic,,,
65,8,"Texting, Phone Calls and Video Chats",During Pandemic,,,
15-24,28,Exercising,Before Pandemic,,,
25-44,24,Exercising,Before Pandemic,,,
45-64,18,Exercising,Before Pandemic,,,
65,15,Exercising,Before Pandemic,,,
15-24,23,Exercising,During Pandemic,,,
25-44,19,Exercising,During Pandemic,,,
45-64,14,Exercising,During Pandemic,,,
65,11,Exercising,During Pandemic,,,
15-24,34,Grooming,Before Pandemic,,,
25-44,27,Grooming,Before Pandemic,,,
45-64,28,Grooming,Before Pandemic,,,
65,25,Grooming,Before Pandemic,,,
15-24,32,Grooming,During Pandemic,,,
25-44,20,Grooming,During Pandemic,,,
45-64,17,Grooming,During Pandemic,,,
65,16,Grooming,During Pandemic,,,
