Year,Increase In Percentage,City,,,,
2017,7,Seattle,,,,
2012,5,Seattle,,,,
2007,3,Seattle,,,,
2002,4,Seattle,,,,
1997,3,Seattle,,,,
1992,2.5,Seattle,,,,
1987,2,Seattle,,,,
2017,-4.2,Los Angeles,,,,
2012,-3,Los Angeles,,,,
2007,-2,Los Angeles,,,,
2002,-3,Los Angeles,,,,
1997,3,Los Angeles,,,,
1992,-3,Los Angeles,,,,
1987,2,Los Angeles,,,,
2017,1.5,New York,,,,
2012,-2,New York,,,,
2007,2,New York,,,,
2002,-1.9,New York,,,,
1997,1,New York,,,,
1992,-1.3,New York,,,,
1987,1,New York,,,,
2017,0.9,New Jersey,,,,
2012,-1.5,New Jersey,,,,
2007,-1.8,New Jersey,,,,
2002,1,New Jersey,,,,
1997,1.2,New Jersey,,,,
1992,1,New Jersey,,,,
1987,-1.3,New Jersey,,,,
2017,0.9,Philadelphia,,,,
2012,1.5,Philadelphia,,,,
2007,-1.8,Philadelphia,,,,
2002,1,Philadelphia,,,,
1997,-1.2,Philadelphia,,,,
1992,1,Philadelphia,,,,
1987,1.3,Philadelphia,,,,
