Entity,Code,Year,Annual CO2 emissions (per capita),GDP per capita,417485-annotations,Population (historical estimates),Continent,,,,,,
,,,,,,,,,,,,,
Afghanistan,AFG,1949,0.0019,,,7624058,,,,,,,
Afghanistan,AFG,1950,0.0109,1156,,7752117,,,,,,,
Afghanistan,AFG,1951,0.0117,1170,,7840151,,,,,,,
Afghanistan,AFG,1952,0.0115,1189,,7935996,,,,,,,
Afghanistan,AFG,1953,0.0132,1240,,8039684,,,,,,,
Afghanistan,AFG,1954,0.013,1245,,8151316,,,,,,,
Afghanistan,AFG,1955,0.0186,1246,,8270992,,,,,,,
Afghanistan,AFG,1956,0.0218,1278,,8398873,,,,,,,
Afghanistan,AFG,1957,0.0343,1253,,8535157,,,,,,,
Afghanistan,AFG,1958,0.038,1298,,8680097,,,,,,,
Afghanistan,AFG,1959,0.0435,1307,,8833947,,,,,,,
Afghanistan,AFG,1960,0.046,1326,,8996967,,,,,,,
Afghanistan,AFG,1961,0.0535,1309,,9169406,,,,,,,
Afghanistan,AFG,1962,0.0736,1302,,9351442,,,,,,,
Afghanistan,AFG,1963,0.0741,1298,,9543200,,,,,,,
Afghanistan,AFG,1964,0.0861,1291,,9744772,,,,,,,
Afghanistan,AFG,1965,0.1011,1290,,9956318,,,,,,,
Afghanistan,AFG,1966,0.1072,1272,,10174840,,,,,,,
Afghanistan,AFG,1967,0.1233,1277,,10399936,,,,,,,
Afghanistan,AFG,1968,0.115,1290,,10637064,,,,,,,
Afghanistan,AFG,1969,0.0864,1278,,10893772,,,,,,,
Afghanistan,AFG,1970,0.1495,1272,,11173654,,,,,,,
Afghanistan,AFG,1971,0.165,1237,,11475450,,,,,,,
Afghanistan,AFG,1972,0.1298,1007,,11791222,,,,,,,
Afghanistan,AFG,1973,0.1351,1011,,12108963,,,,,,,
Afghanistan,AFG,1974,0.1541,1039,,12412960,,,,,,,
Afghanistan,AFG,1975,0.1672,1074,,12689164,,,,,,,
Afghanistan,AFG,1976,0.153,1105,,12943093,,,,,,,
Afghanistan,AFG,1977,0.181,1022,,13171294,,,,,,,
Afghanistan,AFG,1978,0.1614,1070,,13341199,,,,,,,
Afghanistan,AFG,1979,0.1665,1023,,13411060,,,,,,,
Afghanistan,AFG,1980,0.1315,1019,,13356500,,,,,,,
Afghanistan,AFG,1981,0.1502,1144,,13171679,,,,,,,
Afghanistan,AFG,1982,0.1626,1270,,12882518,,,,,,,
Afghanistan,AFG,1983,0.201,1347,,12537732,,,,,,,
Afghanistan,AFG,1984,0.2312,1337,,12204306,,,,,,,
Afghanistan,AFG,1985,0.2933,1304,,11938204,,,,,,,
Afghanistan,AFG,1986,0.267,1344,,11736177,,,,,,,
Afghanistan,AFG,1987,0.2683,1211,,11604538,,,,,,,
Afghanistan,AFG,1988,0.2459,1101,,11618008,,,,,,,
Afghanistan,AFG,1989,0.233,999,,11868873,,,,,,,
Afghanistan,AFG,1990,0.2097,963,,12412311,,,,,,,
Afghanistan,AFG,1991,0.1825,881.17041015625,,13299016,,,,,,,
Afghanistan,AFG,1992,0.0952,843.875305175781,,14485543,,,,,,,
Afghanistan,AFG,1993,0.0843,578.402709960937,,15816601,,,,,,,
Afghanistan,AFG,1994,0.0751,428.424591064453,,17075728,,,,,,,
Afghanistan,AFG,1995,0.0679,632.9404296875,,18110662,,,,,,,
Afghanistan,AFG,1996,0.0618,600.17529296875,,18853444,,,,,,,
Afghanistan,AFG,1997,0.056,570.598083496093,,19357126,,,,,,,
Afghanistan,AFG,1998,0.0521,545.038818359375,,19737770,,,,,,,
Afghanistan,AFG,1999,0.0401,518.657897949218,,20170847,,,,,,,
Afghanistan,AFG,2000,0.0365,502.37271118164,,20779957,,,,,,,
Afghanistan,AFG,2001,0.0369,489.682006835937,,21606992,,,,,,,
Afghanistan,AFG,2002,0.0465,796.816589355468,,22600774,,,,,,,
Afghanistan,AFG,2003,0.0501,842.80517578125,,23680871,,,,,,,
Afghanistan,AFG,2004,0.036,869.039306640625,,24726689,,,,,,,
Afghanistan,AFG,2005,0.0508,964.408081054687,,25654274,,,,,,,
Afghanistan,AFG,2006,0.0619,1057.09655761718,,26433058,,,,,,,
Afghanistan,AFG,2007,0.0837,1259.99670410156,,27100542,,,,,,,
Afghanistan,AFG,2008,0.1515,1319.607421875,,27722281,,,,,,,
Afghanistan,AFG,2009,0.2374,1557.32055664062,,28394806,,,,,,,
Afghanistan,AFG,2010,0.2877,1627.67163085937,,29185511,,,,,,,
Afghanistan,AFG,2011,0.402,1792,,30117411,,,,,,,
Afghanistan,AFG,2012,0.3279,1945,,31161378,,,,,,,
Afghanistan,AFG,2013,0.2616,2025,,32269592,,,,,,,
Afghanistan,AFG,2014,0.233,2022,,33370803,,,,,,,
Afghanistan,AFG,2015,0.2297,1928,,34413603,Asia,,,,,,
Afghanistan,AFG,2016,0.1906,1929,,35383028,,,,,,,
Afghanistan,AFG,2017,0.189,2014.74523925781,,36296111,,,,,,,
Afghanistan,AFG,2018,0.2245,1934.55505371093,,37171922,,,,,,,
Afghanistan,AFG,2019,0.3193,,,38041757,,,,,,,
Afghanistan,AFG,2020,0.3124,,,38928341,,,,,,,
