city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Sydney,-33.8650,151.2094,Australia,AU,New South Wales,admin,5312163,4840600
Melbourne,-37.8136,144.9631,Australia,AU,Victoria,admin,5078193,4529500
Brisbane,-27.4678,153.0281,Australia,AU,Queensland,admin,2514184,2360241
Perth,-31.9522,115.8589,Australia,AU,Western Australia,admin,2059484,2039200
Adelaide,-34.9289,138.6011,Australia,AU,South Australia,admin,1345777,1295714
Gold Coast,-28.0167,153.4000,Australia,AU,Queensland,,679127,638090
Cranbourne,-38.0996,145.2834,Australia,AU,Victoria,,460491,39419
Canberra,-35.2931,149.1269,Australia,AU,Australian Capital Territory,primary,426704,381488
Newcastle,-32.9167,151.7500,Australia,AU,New South Wales,,322278,152984
Wollongong,-34.4331,150.8831,Australia,AU,New South Wales,,302739,289236
Geelong,-38.1500,144.3500,Australia,AU,Victoria,,263280,191440
Hobart,-42.8806,147.3250,Australia,AU,Tasmania,admin,240342,222356
Townsville,-19.2564,146.8183,Australia,AU,Queensland,,180820,178649
Ipswich,-27.6167,152.7667,Australia,AU,Queensland,,163000,163000
Cairns,-16.9303,145.7703,Australia,AU,Queensland,,152729,146778
Toowoomba,-27.5667,151.9500,Australia,AU,Queensland,,136861,135631
Darwin,-12.4381,130.8411,Australia,AU,Northern Territory,admin,136828,136828
Ballarat,-37.5500,143.8500,Australia,AU,Victoria,,105471,98543
Bendigo,-36.7500,144.2667,Australia,AU,Victoria,,99122,95587
Launceston,-41.4419,147.1450,Australia,AU,Tasmania,,87328,87328
Mackay,-21.1411,149.1861,Australia,AU,Queensland,,80148,3659
Rockhampton,-23.3750,150.5117,Australia,AU,Queensland,,78592,78592
Maitland,-32.7167,151.5500,Australia,AU,New South Wales,,78015,1885
Bunbury,-33.3333,115.6333,Australia,AU,Western Australia,,74363,71090
Coffs Harbour,-30.3022,153.1189,Australia,AU,New South Wales,,71822,25752
Bundaberg,-24.8500,152.3500,Australia,AU,Queensland,,70921,70540
Wagga Wagga,-35.1189,147.3689,Australia,AU,New South Wales,,56442,54411
Hervey Bay,-25.2853,152.8728,Australia,AU,Queensland,,54674,54674
Shepparton,-36.3833,145.4000,Australia,AU,Victoria,,51631,31197
Albury,-36.0806,146.9158,Australia,AU,New South Wales,,47974,4804
Port Macquarie,-31.4333,152.9000,Australia,AU,New South Wales,,47973,44830
Pakenham,-38.0712,145.4878,Australia,AU,Victoria,,46421,46421
Tamworth,-31.0833,150.9167,Australia,AU,New South Wales,,42872,180
Caloundra,-26.7986,153.1289,Australia,AU,Queensland,,41293,41293
Orange,-33.2833,149.1000,Australia,AU,New South Wales,,40493,38097
Dubbo,-32.2569,148.6011,Australia,AU,New South Wales,,38392,38392
Geraldton,-28.7744,114.6089,Australia,AU,Western Australia,,37648,37648
Nowra,-34.8833,150.6000,Australia,AU,New South Wales,,37420,9193
Bathurst,-33.4200,149.5778,Australia,AU,New South Wales,,36801,35020
Queanbeyan,-35.3533,149.2342,Australia,AU,New South Wales,,36348,6237
Frankston,-38.1580,145.1350,Australia,AU,Victoria,,36097,36097
Sunbury,-37.5811,144.7139,Australia,AU,Victoria,,36084,36084
Warrnambool,-38.3833,142.4833,Australia,AU,Victoria,,35214,29661
Wodonga,-36.1214,146.8881,Australia,AU,Victoria,,35130,18948
Albany,-35.0228,117.8814,Australia,AU,Western Australia,,34205,29373
Gladstone,-23.8489,151.2625,Australia,AU,Queensland,,33418,33418
Mildura,-34.1889,142.1583,Australia,AU,Victoria,,32738,32738
Southport,-27.9667,153.4000,Australia,AU,Queensland,,31908,31908
Alice Springs,-23.7000,133.8667,Australia,AU,Northern Territory,,31120,31120
