Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
2017-11-01,3819439,3662143.0,1997851.0,2586475.0,3630529.0
2017-11-02,3938190,3700892.0,2052542.0,2675831.0,3747806.0
2017-11-03,4144346,4010977.0,2129755.0,2805267.0,3961130.0
2017-11-04,4044433,4020957.0,2054355.0,2594979.0,3713045.0
2017-11-05,3567680,3358109.0,1813190.0,2279612.0,3258038.0
2017-11-06,3695556,3133130.0,1949896.0,2471080.0,3465063.0
2017-11-07,3803589,3069122.0,2025309.0,2571403.0,3563317.0
2017-11-08,3857766,3188437.0,2091348.0,2587832.0,3630088.0
2017-11-09,3896043,3360350.0,2114187.0,2589968.0,3636623.0
2017-11-10,4160512,3555034.0,2199808.0,2694944.0,3841749.0
2017-11-11,4169862,3762636.0,2086537.0,2530450.0,3682152.0
2017-11-12,3658492,3234510.0,1839484.0,2231423.0,3201396.0
2017-11-13,3701108,2995731.0,1961776.0,2372934.0,3383654.0
2017-11-14,3829468,3106599.0,2024536.0,2487216.0,3522049.0
2017-11-15,3940055,3228922.0,2072633.0,2521797.0,3615039.0
2017-11-16,3914455,3184255.0,2072885.0,2525020.0,3601911.0
2017-11-17,4133833,3644654.0,2138618.0,2617439.0,3769327.0
2017-11-18,4110628,3922003.0,2051539.0,2460020.0,3650789.0
2017-11-19,3666668,3343278.0,1807982.0,2054707.0,3195993.0
2017-11-20,3741930,3046317.0,1950981.0,2158850.0,3294761.0
2017-11-21,3796844,3089118.0,1993765.0,2212817.0,3415188.0
2017-11-22,3887983,3123134.0,2026582.0,2235130.0,3510993.0
2017-11-23,3831227,2979721.0,1957258.0,2071230.0,3348415.0
2017-11-24,3934731,3056587.0,1969707.0,2003743.0,3334933.0
2017-11-25,4037535,3277689.0,1917285.0,1963710.0,3302385.0
2017-11-26,3607335,2809414.0,1747479.0,1822490.0,2960413.0
2017-11-27,3651453,2590998.0,1855624.0,1945191.0,3091897.0
2017-11-28,3754323,2641420.0,1926842.0,2005434.0,3166629.0
2017-11-29,3869611,2717354.0,1963523.0,2046201.0,3243320.0
2017-11-30,3887032,2661182.0,1990808.0,2054789.0,3228846.0
