Date,Sale,Title
2017-11-01,3819439,Shape of You
2017-11-02,3938190,Shape of You
2017-11-03,4144346,Shape of You
2017-11-04,4044433,Shape of You
2017-11-05,3567680,Shape of You
2017-11-06,3695556,Shape of You
2017-11-07,3803589,Shape of You
2017-11-08,3857766,Shape of You
2017-11-09,3896043,Shape of You
2017-11-10,4160512,Shape of You
2017-11-11,4169862,Shape of You
2017-11-12,3658492,Shape of You
2017-11-13,3701108,Shape of You
2017-11-14,3829468,Shape of You
2017-11-15,3940055,Shape of You
2017-11-16,3914455,Shape of You
2017-11-17,4133833,Shape of You
2017-11-18,4110628,Shape of You
2017-11-19,3666668,Shape of You
2017-11-20,3741930,Shape of You
2017-11-21,3796844,Shape of You
2017-11-22,3887983,Shape of You
2017-11-23,3831227,Shape of You
2017-11-24,3934731,Shape of You
2017-11-25,4037535,Shape of You
2017-11-26,3607335,Shape of You
2017-11-27,3651453,Shape of You
2017-11-28,3754323,Shape of You
2017-11-29,3869611,Shape of You
2017-11-30,3887032,Shape of You
2017-11-01,3662143.0,Something Just Like This
2017-11-02,3700892.0,Something Just Like This
2017-11-03,4010977.0,Something Just Like This
2017-11-04,4020957.0,Something Just Like This
2017-11-05,3358109.0,Something Just Like This
2017-11-06,3133130.0,Something Just Like This
2017-11-07,3069122.0,Something Just Like This
2017-11-08,3188437.0,Something Just Like This
2017-11-09,3360350.0,Something Just Like This
2017-11-10,3555034.0,Something Just Like This
2017-11-11,3762636.0,Something Just Like This
2017-11-12,3234510.0,Something Just Like This
2017-11-13,2995731.0,Something Just Like This
2017-11-14,3106599.0,Something Just Like This
2017-11-15,3228922.0,Something Just Like This
2017-11-16,3184255.0,Something Just Like This
2017-11-17,3644654.0,Something Just Like This
2017-11-18,3922003.0,Something Just Like This
2017-11-19,3343278.0,Something Just Like This
2017-11-20,3046317.0,Something Just Like This
2017-11-21,3089118.0,Something Just Like This
2017-11-22,3123134.0,Something Just Like This
2017-11-23,2979721.0,Something Just Like This
2017-11-24,3056587.0,Something Just Like This
2017-11-25,3277689.0,Something Just Like This
2017-11-26,2809414.0,Something Just Like This
2017-11-27,2590998.0,Something Just Like This
2017-11-28,2641420.0,Something Just Like This
2017-11-29,2717354.0,Something Just Like This
2017-11-30,2661182.0,Something Just Like This
2017-11-01,1997851.0,HUMBLE.
2017-11-02,2052542.0,HUMBLE.
2017-11-03,2129755.0,HUMBLE.
2017-11-04,2054355.0,HUMBLE.
2017-11-05,1813190.0,HUMBLE.
2017-11-06,1949896.0,HUMBLE.
2017-11-07,2025309.0,HUMBLE.
2017-11-08,2091348.0,HUMBLE.
2017-11-09,2114187.0,HUMBLE.
2017-11-10,2199808.0,HUMBLE.
2017-11-11,2086537.0,HUMBLE.
2017-11-12,1839484.0,HUMBLE.
2017-11-13,1961776.0,HUMBLE.
2017-11-14,2024536.0,HUMBLE.
2017-11-15,2072633.0,HUMBLE.
2017-11-16,2072885.0,HUMBLE.
2017-11-17,2138618.0,HUMBLE.
2017-11-18,2051539.0,HUMBLE.
2017-11-19,1807982.0,HUMBLE.
2017-11-20,1950981.0,HUMBLE.
2017-11-21,1993765.0,HUMBLE.
2017-11-22,2026582.0,HUMBLE.
2017-11-23,1957258.0,HUMBLE.
2017-11-24,1969707.0,HUMBLE.
2017-11-25,1917285.0,HUMBLE.
2017-11-26,1747479.0,HUMBLE.
2017-11-27,1855624.0,HUMBLE.
2017-11-28,1926842.0,HUMBLE.
2017-11-29,1963523.0,HUMBLE.
2017-11-30,1990808.0,HUMBLE.
