,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIPS,Name,State,Rate
0,0,0,0,0,0,0,0,1001,Autauga,AL,0.0
1,1,1,1,1,1,1,1,1003,Baldwin,AL,0.0
2,2,2,2,2,2,2,2,1005,Barbour,AL,0.0
3,3,3,3,3,3,3,3,1007,Bibb,AL,0.0
4,4,4,4,4,4,4,4,1009,Blount,AL,0.0
5,5,5,5,5,5,5,5,1011,Bullock,AL,0.0
6,6,6,6,6,6,6,6,1013,Butler,AL,0.0
7,7,7,7,7,7,7,7,1015,Calhoun,AL,0.0
8,8,8,8,8,8,8,8,1017,Chambers,AL,0.0
9,9,9,9,9,9,9,9,1019,Cherokee,AL,0.0
10,10,10,10,10,10,10,10,1021,Chilton,AL,0.0
11,11,11,11,11,11,11,11,1023,Choctaw,AL,0.0
12,12,12,12,12,12,12,12,1025,Clarke,AL,0.0
13,13,13,13,13,13,13,13,1027,Clay,AL,0.0
14,14,14,14,14,14,14,14,1029,Cleburne,AL,0.0
15,15,15,15,15,15,15,15,1031,Coffee,AL,0.0
16,16,16,16,16,16,16,16,1033,Colbert,AL,0.0
17,17,17,17,17,17,17,17,1035,Conecuh,AL,0.0
18,18,18,18,18,18,18,18,1037,Coosa,AL,0.0
19,19,19,19,19,19,19,19,1039,Covington,AL,0.0
20,20,20,20,20,20,20,20,1041,Crenshaw,AL,0.0
21,21,21,21,21,21,21,21,1043,Cullman,AL,0.0
22,22,22,22,22,22,22,22,1045,Dale,AL,0.0
23,23,23,23,23,23,23,23,1047,Dallas,AL,0.0
24,24,24,24,24,24,24,24,1049,De Kalb,AL,0.0
25,25,25,25,25,25,25,25,1051,Elmore,AL,0.0
26,26,26,26,26,26,26,26,1053,Escambia,AL,0.0
27,27,27,27,27,27,27,27,1055,Etowah,AL,0.0
28,28,28,28,28,28,28,28,1057,Fayette,AL,0.0
29,29,29,29,29,29,29,29,1059,Franklin,AL,0.0
30,30,30,30,30,30,30,30,1061,Geneva,AL,0.0
31,31,31,31,31,31,31,31,1063,Greene,AL,0.0
32,32,32,32,32,32,32,32,1065,Hale,AL,0.0
33,33,33,33,33,33,33,33,1067,Henry,AL,0.0
34,34,34,34,34,34,34,34,1069,Houston,AL,0.0
35,35,35,35,35,35,35,35,1071,Jackson,AL,0.0
36,36,36,36,36,36,36,36,1073,Jefferson,AL,0.0
37,37,37,37,37,37,37,37,1075,Lamar,AL,0.0
38,38,38,38,38,38,38,38,1077,Lauderdale,AL,0.0
39,39,39,39,39,39,39,39,1079,Lawrence,AL,0.0
40,40,40,40,40,40,40,40,1081,Lee,AL,0.0
41,41,41,41,41,41,41,41,1083,Limestone,AL,0.0
42,42,42,42,42,42,42,42,1085,Lowndes,AL,0.0
43,43,43,43,43,43,43,43,1087,Macon,AL,0.0
44,44,44,44,44,44,44,44,1089,Madison,AL,0.0
45,45,45,45,45,45,45,45,1091,Marengo,AL,0.0
46,46,46,46,46,46,46,46,1093,Marion,AL,0.0
47,47,47,47,47,47,47,47,1095,Marshall,AL,0.0
48,48,48,48,48,48,48,48,1097,Mobile,AL,0.0
49,49,49,49,49,49,49,49,1099,Monroe,AL,0.0
50,50,50,50,50,50,50,50,1101,Montgomery,AL,0.0
51,51,51,51,51,51,51,51,1103,Morgan,AL,0.0
52,52,52,52,52,52,52,52,1105,Perry,AL,0.0
53,53,53,53,53,53,53,53,1107,Pickens,AL,0.0
54,54,54,54,54,54,54,54,1109,Pike,AL,0.0
55,55,55,55,55,55,55,55,1111,Randolph,AL,0.0
56,56,56,56,56,56,56,56,1113,Russell,AL,0.0
57,57,57,57,57,57,57,57,1115,St Clair,AL,0.0
58,58,58,58,58,58,58,58,1117,Shelby,AL,0.0
59,59,59,59,59,59,59,59,1119,Sumter,AL,0.0
60,60,60,60,60,60,60,60,1121,Talladega,AL,0.0
61,61,61,61,61,61,61,61,1123,Tallapoosa,AL,0.0
62,62,62,62,62,62,62,62,1125,Tuscaloosa,AL,0.0
63,63,63,63,63,63,63,63,1127,Walker,AL,0.0
64,64,64,64,64,64,64,64,1129,Washington,AL,0.0
65,65,65,65,65,65,65,65,1131,Wilcox,AL,0.0
66,66,66,66,66,66,66,66,1133,Winston,AL,0.0
67,67,67,67,67,67,67,67,2013,Aleutians East,AK,0.0
68,68,68,68,68,68,68,68,2016,Aleutians West,AK,0.0
69,69,69,69,69,69,69,69,2020,Anchorage,AK,0.0
70,70,70,70,70,70,70,70,2050,Bethel,AK,0.0
71,71,71,71,71,71,71,71,2060,Bristol Bay,AK,0.0
72,72,72,72,72,72,72,72,2068,Denali,AK,0.0
73,73,73,73,73,73,73,73,2070,Dillingham,AK,0.0
74,74,74,74,74,74,74,74,2090,Fairbanks North Star,AK,0.0
75,75,75,75,75,75,75,75,2100,Haines,AK,0.0
76,76,76,76,76,76,76,76,2110,Juneau,AK,0.0
77,77,77,77,77,77,77,77,2122,Kenai Peninsula,AK,0.0
78,78,78,78,78,78,78,78,2130,Ketchikan Gateway,AK,0.0
79,79,79,79,79,79,79,79,2150,Kodiak Island,AK,0.0
80,80,80,80,80,80,80,80,2164,Lake and Peninsula,AK,0.0
81,81,81,81,81,81,81,81,2170,Matanuska-Susitna,AK,0.0
82,82,82,82,82,82,82,82,2180,Nome,AK,0.0
83,83,83,83,83,83,83,83,2185,North Slope,AK,0.0
