FIPS,Name,State
6001,Alameda,CA
6003,Alpine,CA
6005,Amador,CA
6007,Butte,CA
6009,Calaveras,CA
6011,Colusa,CA
6013,Contra Costa,CA
6015,Del Norte,CA
6017,El Dorado,CA
6019,Fresno,CA
6021,Glenn,CA
6023,Humboldt,CA
6025,Imperial,CA
6027,Inyo,CA
6029,Kern,CA
6031,Kings,CA
6033,Lake,CA
6035,Lassen,CA
6037,Los Angeles,CA
6039,Madera,CA
6041,Marin,CA
6043,Mariposa,CA
6045,Mendocino,CA
6047,Merced,CA
6049,Modoc,CA
6051,Mono,CA
6053,Monterey,CA
6055,Napa,CA
6057,Nevada,CA
6059,Orange,CA
6061,Placer,CA
6063,Plumas,CA
6065,Riverside,CA
6067,Sacramento,CA
6069,San Benito,CA
6071,San Bernardino,CA
6073,San Diego,CA
6075,San Francisco,CA
6077,San Joaquin,CA
6079,San Luis Obispo,CA
6081,San Mateo,CA
6083,Santa Barbara,CA
6085,Santa Clara,CA
6087,Santa Cruz,CA
6089,Shasta,CA
6091,Sierra,CA
6093,Siskiyou,CA
6095,Solano,CA
6097,Sonoma,CA
6099,Stanislaus,CA
6101,Sutter,CA
6103,Tehama,CA
6105,Trinity,CA
6107,Tulare,CA
6109,Tuolumne,CA
6111,Ventura,CA
6113,Yolo,CA
6115,Yuba,CA
9001,Fairfield,CT
9003,Hartford,CT
9005,Litchfield,CT
9007,Middlesex,CT
9009,New Haven,CT
9011,New London,CT
9013,Tolland,CT
9015,Windham,CT
25001,Barnstable,MA
25003,Berkshire,MA
25005,Bristol,MA
25007,Dukes,MA
25009,Essex,MA
25011,Franklin,MA
25013,Hampden,MA
25015,Hampshire,MA
25017,Middlesex,MA
25019,Nantucket,MA
25021,Norfolk,MA
25023,Plymouth,MA
25025,Suffolk,MA
25027,Worcester,MA
53001,Adams,WA
53003,Asotin,WA
53005,Benton,WA
53007,Chelan,WA
53009,Clallam,WA
53011,Clark,WA
53013,Columbia,WA
53015,Cowlitz,WA
53017,Douglas,WA
53019,Ferry,WA
53021,Franklin,WA
53023,Garfield,WA
53025,Grant,WA
53027,Grays Harbor,WA
53029,Island,WA
53031,Jefferson,WA
53033,King,WA
53035,Kitsap,WA
53037,Kittitas,WA
53039,Klickitat,WA
53041,Lewis,WA
53043,Lincoln,WA
53045,Mason,WA
53047,Okanogan,WA
53049,Pacific,WA
53051,Pend Oreille,WA
53053,Pierce,WA
53055,San Juan,WA
53057,Skagit,WA
53059,Skamania,WA
53061,Snohomish,WA
53063,Spokane,WA
53065,Stevens,WA
53067,Thurston,WA
53069,Wahkiakum,WA
53071,Walla Walla,WA
53073,Whatcom,WA
53075,Whitman,WA
53077,Yakima,WA
