State,Cases,Hospitalization,Deaths,Date,Unnamed: 5,Unnamed: 6
Vermont,3269,1582,548,May 10,,
Vermont,3739,1666,702,May 11,,
Vermont,4727,1174,850,May 12,,
Vermont,4208,1165,857,May 13,,
Vermont,4363,1993,925,May 14,,
Vermont,3192,2000,850,May 15,,
Vermont,4543,1308,549,May 16,,
Rhode Island,3226,1113,596,May 10,,
Rhode Island,4653,1312,952,May 11,,
Rhode Island,3078,1383,748,May 12,,
Rhode Island,3666,1006,543,May 13,,
Rhode Island,3370,1614,607,May 14,,
Rhode Island,4760,1697,770,May 15,,
Rhode Island,3782,1131,992,May 16,,
New York,4371,1927,986,May 10,,
New York,3164,1944,617,May 11,,
New York,3833,1862,699,May 12,,
New York,3420,1409,609,May 13,,
New York,3072,1960,569,May 14,,
New York,3142,1578,968,May 15,,
New York,3272,1768,967,May 16,,
