,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIPS,NAME,STATE,longitude,latitude,death
0,0,0,0,0,1001,Autauga,Alabama,-86.642749235,32.5349201866,157.34632522286304
1,1,1,1,1,1003,Baldwin,Alabama,-87.7498400784,30.6609696648,117.18171315488277
2,2,2,2,2,1005,Barbour,Alabama,-85.3931969755,31.8696032448,257.58973887736744
3,3,3,3,3,1007,Bibb,Alabama,-87.1264391014,32.9986442965,145.18904601867771
4,4,4,4,4,1009,Blount,Alabama,-86.5673709608,33.9808673856,183.110717934668
5,5,5,5,5,1011,Bullock,Alabama,-85.7156972254,32.1005542205,212.2463489410055
6,6,6,6,6,1013,Butler,Alabama,-86.6802892154,31.7524339429,248.67301040712294
7,7,7,7,7,1015,Calhoun,Alabama,-85.8260308543,33.7714324565,229.20636297415427
8,8,8,8,8,1017,Chambers,Alabama,-85.3920429513,32.9143722298,186.775067696051
9,9,9,9,9,1019,Cherokee,Alabama,-85.6037937156,34.1759559677,120.97659345646335
10,10,10,10,10,1021,Chilton,Alabama,-86.718813672,32.847853212,228.86504716868566
11,11,11,11,11,1023,Choctaw,Alabama,-88.2632012743,32.0196107831,92.43989015859808
12,12,12,12,12,1025,Clarke,Alabama,-87.8308098507,31.6766595802,183.33852709822122
13,13,13,13,13,1027,Clay,Alabama,-85.8605470841,33.2690858673,261.28956927114183
14,14,14,14,14,1029,Cleburne,Alabama,-85.5187680028,33.6745577167,184.94003645739042
15,15,15,15,15,1031,Coffee,Alabama,-85.9882069262,31.4026271796,170.6264588818225
16,16,16,16,16,1033,Colbert,Alabama,-87.8049852867,34.7004337984,165.89125832454755
17,17,17,17,17,1035,Conecuh,Alabama,-86.9936742092,31.4292715445,257.4745466858367
18,18,18,18,18,1037,Coosa,Alabama,-86.2476592648,32.9362268304,105.06315647702512
19,19,19,19,19,1039,Covington,Alabama,-86.4512425439,31.2484923988,219.6914335889837
20,20,20,20,20,1041,Crenshaw,Alabama,-86.3135388959,31.7315001844,203.19412590004225
21,21,21,21,21,1043,Cullman,Alabama,-86.8676194614,34.1319410705,80.64814772580192
22,22,22,22,22,1045,Dale,Alabama,-85.6110368183,31.4318270699,85.6981837786239
23,23,23,23,23,1047,Dallas,Alabama,-87.1064763258,32.325973709,64.72154872236958
24,24,24,24,24,1049,DeKalb,Alabama,-85.8041426436,34.4597729557,178.6248820243875
25,25,25,25,25,1051,Elmore,Alabama,-86.1491465307,32.5966480504,138.49908963982404
26,26,26,26,26,1053,Escambia,Alabama,-87.1616198682,31.1261225461,112.4508015138884
27,27,27,27,27,1055,Etowah,Alabama,-86.034762324,34.0452544,234.73568707681207
28,28,28,28,28,1057,Fayette,Alabama,-87.7388619701,33.7212061505,98.11502307902613
29,29,29,29,29,1059,Franklin,Alabama,-87.8438119782,34.4416706415,88.25393025990107
30,30,30,30,30,1061,Geneva,Alabama,-85.8389848955,31.095016693,232.3033759298827
31,31,31,31,31,1063,Greene,Alabama,-87.9522309156,32.8531388427,138.58060596767498
32,32,32,32,32,1065,Hale,Alabama,-87.6291176816,32.7626642246,67.30147750438041
33,33,33,33,33,1067,Henry,Alabama,-85.2414063367,31.5146944202,133.7320175325361
34,34,34,34,34,1069,Houston,Alabama,-85.3025273835,31.1531879718,245.98603761748404
35,35,35,35,35,1071,Jackson,Alabama,-85.9993005443,34.7794159964,197.38425250913534
36,36,36,36,36,1073,Jefferson,Alabama,-86.8963982424,33.5543385118,259.4815509063036
37,37,37,37,37,1075,Lamar,Alabama,-88.0968988585,33.7792058021,130.1374587746492
38,38,38,38,38,1077,Lauderdale,Alabama,-87.6539980067,34.901372384,145.16514789448019
39,39,39,39,39,1079,Lawrence,Alabama,-87.311044513,34.5216520166,227.8933132848808
40,40,40,40,40,1081,Lee,Alabama,-85.355562704,32.6011364841,124.76892655206083
41,41,41,41,41,1083,Limestone,Alabama,-86.9813747654,34.8100783219,213.15999732436816
42,42,42,42,42,1085,Lowndes,Alabama,-86.6501076967,32.1547500095,124.19866305210357
43,43,43,43,43,1087,Macon,Alabama,-85.6926686622,32.3859736952,89.11651065353236
44,44,44,44,44,1089,Madison,Alabama,-86.5502065185,34.7630897031,193.6299564811699
45,45,45,45,45,1091,Marengo,Alabama,-87.7895192944,32.2476134122,219.53381924417275
46,46,46,46,46,1093,Marion,Alabama,-87.8871383639,34.1365496957,135.45792209093864
47,47,47,47,47,1095,Marshall,Alabama,-86.306636969,34.3669621021,228.1435963647314
48,48,48,48,48,1097,Mobile,Alabama,-88.1975233535,30.6851516211,90.93122702455462
49,49,49,49,49,1099,Monroe,Alabama,-87.3654375115,31.5708340246,195.61515105226326
50,50,50,50,50,1101,Montgomery,Alabama,-86.2076142923,32.2202579876,119.05427069631216
51,51,51,51,51,1103,Morgan,Alabama,-86.8529215684,34.453472028,153.0850669782176
52,52,52,52,52,1105,Perry,Alabama,-87.2944007854,32.6384656558,94.20722165901381
53,53,53,53,53,1107,Pickens,Alabama,-88.0886925942,33.2808768859,249.65073666872883
54,54,54,54,54,1109,Pike,Alabama,-85.9409081483,31.8027084904,94.62462035546406
55,55,55,55,55,1111,Randolph,Alabama,-85.4590701568,33.2937873448,134.39012811437902
56,56,56,56,56,1113,Russell,Alabama,-85.1849624464,32.2883800156,209.26561457433084
57,57,57,57,57,1115,St.,Alabama,,,
58,58,58,58,58,1117,Shelby,Alabama,-86.6606484037,33.2642770248,117.09391300288254
59,59,59,59,59,1119,Sumter,Alabama,-88.1987896089,32.5910175308,172.95622334795735
60,60,60,60,60,1121,Talladega,Alabama,-86.1659036872,33.3800616097,113.74283196713816
61,61,61,61,61,1123,Tallapoosa,Alabama,-85.7975022448,32.8624049426,146.77075024247853
62,62,62,62,62,1125,Tuscaloosa,Alabama,-87.525029952,33.2895498464,103.5204875028167
63,63,63,63,63,1127,Walker,Alabama,-87.2973573971,33.8033347429,66.64346996462668
64,64,64,64,64,1129,Washington,Alabama,-88.2078768076,31.4076037932,164.29020553658074
65,65,65,65,65,1131,Wilcox,Alabama,-87.3082017869,31.9892401922,218.2615945616494
66,66,66,66,66,1133,Winston,Alabama,-87.3736834128,34.1492251125,202.45022608783114
67,67,67,67,67,2013,Aleutians,Alaska,,,
68,68,68,68,68,2016,Aleutians,Alaska,,,
69,69,69,69,69,2020,"Anchorage,",Alaska,,,
70,70,70,70,70,2050,Bethel,Alaska,-160.195267975,60.8490903436,98.13829009706109
71,71,71,71,71,2060,Bristol,Alaska,,,
72,72,72,72,72,2068,Denali,Alaska,-150.011714676,63.6716419513,26.284694753740126
73,73,73,73,73,2070,Dillingham,Alaska,-158.348270189,59.7139951133,73.45524613943
74,74,74,74,74,2090,Fairbanks,Alaska,,,
75,75,75,75,75,2100,Haines,Alaska,-135.470092205,59.0758951471,161.1868887251061
76,76,76,76,76,2105,Hoonah–Angoon,Alaska,,,
77,77,77,77,77,2110,"Juneau,",Alaska,,,
78,78,78,78,78,2122,Kenai,Alaska,,,
79,79,79,79,79,2130,Ketchikan,Alaska,,,
80,80,80,80,80,2150,Kodiak,Alaska,,,
81,81,81,81,81,2158,Kusilvak,Alaska,-163.525464784,62.160012711,74.39659532890064
82,82,82,82,82,2164,Lake,Alaska,,,
83,83,83,83,83,2170,Matanuska-Susitna,Alaska,-149.580200458,62.3046703274,87.99337379036979
84,84,84,84,84,2180,Nome,Alaska,-164.244322616,64.8354505226,-24.284510340194252
85,85,85,85,85,2185,North,Alaska,,,
86,86,86,86,86,2188,Northwest,Alaska,,,
87,87,87,87,87,2195,Petersburg,Alaska,-133.002459292,57.1140130761,43.45704192340973
88,88,88,88,88,2198,Prince,Alaska,,,
89,89,89,89,89,2220,"Sitka,",Alaska,,,
90,90,90,90,90,2230,"Skagway,",Alaska,,,
91,91,91,91,91,2240,Southeast,Alaska,,,
92,92,92,92,92,2261,Valdez–Cordova,Alaska,,,
93,93,93,93,93,2275,"Wrangell,",Alaska,,,
94,94,94,94,94,2282,"Yakutat,",Alaska,,,
95,95,95,95,95,2290,Yukon–Koyukuk,Alaska,,,
96,96,96,96,96,60010,Eastern,American Samoa,-170.627332642,-14.2674550886,42.2529464995973
97,97,97,97,97,60020,Manu'a,American Samoa,-169.53673492,-14.2084357923,13.904035802671075
98,98,98,98,98,60030,Rose,American Samoa,,,
99,99,99,99,99,60040,Swain's,American Samoa,,,
100,100,100,100,100,60050,Western,American Samoa,-170.784527256,-14.3355554126,22.405894029966532
101,101,101,101,101,4001,Apache,Arizona,-109.488828707,35.3955080611,77.54279147986031
