iata,name,city,state,country,latitude,longitude,death
00M,Thigpen,Bay Springs,MS,USA,0.0,0.0,0.0
00R,Livingston Municipal,Livingston,TX,USA,0.0,0.0,61.0
00V,Meadow Lake,Colorado Springs,CO,USA,0.0,0.0,74.0
01G,Perry-Warsaw,Perry,NY,USA,42.74134667,-78.05208056,390.0
01J,Hilliard Airpark,Hilliard,FL,USA,0.0,0.0,0.0
01M,Tishomingo County,Belmont,MS,USA,0.0,0.0,247.0
02A,Gragg-Wade,Clanton,AL,USA,0.0,0.0,452.0
02C,Capitol,Brookfield,WI,USA,0.0,0.0,305.0
02G,Columbiana County,East Liverpool,OH,USA,0.0,0.0,104.0
03D,Memphis Memorial,Memphis,MO,USA,40.44725889,-92.22696056,0.0
04M,Calhoun County,Pittsboro,MS,USA,33.93011222,-89.34285194,353.0
04Y,Hawley Municipal,Hawley,MN,USA,0.0,0.0,189.0
05C,Griffith-Merrillville,Griffith,IN,USA,41.51961917,-87.40109333,92.0
05F,Gatesville - City/County,Gatesville,TX,USA,0.0,0.0,0.0
05U,Eureka,Eureka,NV,USA,39.60416667,-116.0050597,384.0
06A,Moton  Municipal,Tuskegee,AL,USA,0.0,0.0,0.0
06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278,0.0
06D,Rolla Municipal,Rolla,ND,USA,48.88434111,-99.62087694,0.0
06M,Eupora Municipal,Eupora,MS,USA,0.0,0.0,410.0
06N,Randall,Middletown,NY,USA,41.43156583,-74.39191722,191.0
06U,Jackpot/Hayden,Jackpot,NV,USA,41.97602222,-114.6580911,0.0
07C,Dekalb County,Auburn,IN,USA,0.0,0.0,0.0
07F,Gladewater Municipal,Gladewater,TX,USA,0.0,0.0,0.0
07G,Fitch H Beach,Charlotte,MI,USA,42.57450861,-84.81143139,0.0
07K,Central City Municipal,Central City,NE,USA,41.11668056,-98.05033639,340.0
08A,Wetumpka Municipal,Wetumpka,AL,USA,0.0,0.0,95.0
08D,Stanley Municipal,Stanley,ND,USA,48.30079861,-102.4063514,473.0
08K,Harvard State,Harvard,NE,USA,0.0,0.0,470.0
