Num,Country,Population,Region,,,
1,Hungary,"9,660,351",Eastern Europe,,,
2,Belarus,"9,449,323",Eastern Europe,,,
3,Austria,"9,006,398",Western Europe,,,
4,Serbia,"8,737,371",Southern Europe,,,
5,Switzerland,"8,654,622",Western Europe,,,
6,Germany,"83,783,942",Western Europe,,,
7,Holy See,801,Southern Europe,,,
8,Andorra,"77,265",Southern Europe,,,
9,Bulgaria,"6,948,445",Eastern Europe,,,
10,United Kingdom,"67,886,011",Northern Europe,,,
11,France,"65,273,511",Western Europe,,,
12,Montenegro,"628,066",Southern Europe,,,
13,Luxembourg,"625,978",Western Europe,,,
14,Italy,"60,461,826",Southern Europe,,,
15,Denmark,"5,792,202",Northern Europe,,,
16,Finland,"5,540,720",Northern Europe,,,
17,Slovakia,"5,459,642",Eastern Europe,,,
18,Norway,"5,421,241",Northern Europe,,,
19,Ireland,"4,937,786",Northern Europe,,,
20,Spain,"46,754,778",Southern Europe,,,
21,Malta,"441,543",Southern Europe,,,
22,Ukraine,"43,733,762",Eastern Europe,,,
23,Croatia,"4,105,267",Southern Europe,,,
24,Moldova,"4,033,963",Eastern Europe,,,
25,Monaco,"39,242",Western Europe,,,
26,Liechtenstein,"38,128",Western Europe,,,
27,Poland,"37,846,611",Eastern Europe,,,
28,Iceland,"341,243",Northern Europe,,,
29,San Marino,"33,931",Southern Europe,,,
30,Bosnia and Herzegovina,"3,280,819",Southern Europe,,,
31,Albania,"2,877,797",Southern Europe,,,
32,Lithuania,"2,722,289",Northern Europe,,,
33,North Macedonia,"2,083,374",Southern Europe,,,
34,Slovenia,"2,078,938",Southern Europe,,,
35,Romania,"19,237,691",Eastern Europe,,,
36,Latvia,"1,886,198",Northern Europe,,,
37,Netherlands,"17,134,872",Western Europe,,,
38,Russia,"145,934,462",Eastern Europe,,,
39,Estonia,"1,326,535",Northern Europe,,,
40,Belgium,"11,589,623",Western Europe,,,
41,Czech Republic (Czechia),"10,708,981",Eastern Europe,,,
42,Greece,"10,423,054",Southern Europe,,,
43,Portugal,"10,196,709",Southern Europe,,,
44,Sweden,"10,099,265",Northern Europe,,,
