Num,Country,Code,Population,Region,,,
1,Hungary,HU,"9,660,351",Eastern Europe,,,
2,Belarus,BY,"9,449,323",Eastern Europe,,,
3,Austria,AT,"9,006,398",Western Europe,,,
4,Serbia,RS,"8,737,371",Southern Europe,,,
5,Switzerland,CH,"8,654,622",Western Europe,,,
6,Germany,DE,"83,783,942",Western Europe,,,
7,Holy See,VA,801,Southern Europe,,,
8,Andorra,AD,"77,265",Southern Europe,,,
9,Bulgaria,BG,"6,948,445",Eastern Europe,,,
10,United Kingdom,GB,"67,886,011",Northern Europe,,,
11,France,FR,"65,273,511",Western Europe,,,
12,Montenegro,ME,"628,066",Southern Europe,,,
13,Luxembourg,LU,"625,978",Western Europe,,,
14,Italy,IT,"60,461,826",Southern Europe,,,
15,Denmark,DK,"5,792,202",Northern Europe,,,
16,Finland,FI,"5,540,720",Northern Europe,,,
17,Slovakia,SK,"5,459,642",Eastern Europe,,,
18,Norway,NO,"5,421,241",Northern Europe,,,
19,Ireland,IE,"4,937,786",Northern Europe,,,
20,Spain,ES,"46,754,778",Southern Europe,,,
21,Malta,MT,"441,543",Southern Europe,,,
22,Ukraine,UA,"43,733,762",Eastern Europe,,,
23,Croatia,HR,"4,105,267",Southern Europe,,,
24,Moldova,MD,"4,033,963",Eastern Europe,,,
25,Monaco,MC,"39,242",Western Europe,,,
26,Liechtenstein,LI,"38,128",Western Europe,,,
27,Poland,PL,"37,846,611",Eastern Europe,,,
28,Iceland,IS,"341,243",Northern Europe,,,
29,San Marino,SM,"33,931",Southern Europe,,,
30,Bosnia and Herzegovina,BA,"3,280,819",Southern Europe,,,
31,Albania,AL,"2,877,797",Southern Europe,,,
32,Lithuania,LT,"2,722,289",Northern Europe,,,
33,North Macedonia,MK,"2,083,374",Southern Europe,,,
34,Slovenia,SI,"2,078,938",Southern Europe,,,
35,Romania,RO,"19,237,691",Eastern Europe,,,
36,Latvia,LV,"1,886,198",Northern Europe,,,
37,Netherlands,NL,"17,134,872",Western Europe,,,
39,Estonia,EE,"1,326,535",Northern Europe,,,
40,Belgium,BE,"11,589,623",Western Europe,,,
41,Czech Republic (Czechia),CZ,"10,708,981",Eastern Europe,,,
42,Greece,GR,"10,423,054",Southern Europe,,,
43,Portugal,PT,"10,196,709",Southern Europe,,,
44,Sweden,SE,"10,099,265",Northern Europe,,,
