xDom,yDom,class
55.0879552146,64.4543000180,A
78.4270221430,12.5070732568,A
62.5008351062,31.4250332454,C
31.2951511904,101.3809385861,A
34.3389941778,47.0610171709,B
46.0495187255,36.6010376588,B
40.0926398295,92.3000515527,A
30.9665511699,17.1400442094,C
29.1188961661,8.5397270482,B
48.1815417151,52.2392925706,C
43.1163786476,53.1107402824,B
88.7854403713,29.4543254480,A
82.3630540732,4.9736515364,A
47.3494357709,35.0368442448,B
19.9225055418,-8.0858946778,B
99.0668360223,29.3230847335,C
67.8212257803,37.5020627073,C
28.1199586994,95.8183485763,A
52.5004492986,60.5243655812,B
34.0687560221,76.8941731900,A
72.2752276162,26.6494383911,C
40.9548005354,93.4886819294,A
83.6139874655,10.6356242743,B
47.8939918755,82.9460994404,A
115.5718166827,23.4731614237,B
86.4909537348,52.6413419637,C
38.8402253958,114.3688941088,B
31.3672638795,42.9769011590,C
6.3522339349,21.7967363038,B
-6.9761262579,19.3980699712,C
109.4288631391,19.1634616137,C
89.4851770567,34.8108704069,B
116.6648107362,33.8963542254,C
60.8322710264,26.2983183983,B
15.3309566734,81.4566940628,A
98.5542211843,41.8408621189,C
38.2461143531,62.4484328829,A
24.5591234375,31.5086074384,B
39.7168335148,37.6381542222,B
100.1689631199,14.3021918275,A
46.7131638793,51.8196452580,C
42.1269438290,30.8674172412,C
19.0837867098,46.5172609747,A
43.8883432140,44.8258043960,B
35.4968010805,42.5259865896,C
77.3104313590,25.0665139193,C
32.3195955062,46.9897743211,B
43.0225996123,30.8129227246,B
85.1973710802,8.7998419495,A
40.0272984048,88.3554968394,A
17.8059492810,93.2473918188,B
18.1956627821,9.1207975119,B
41.8682878554,74.4180141138,B
6.8557251884,12.9623390721,B
52.5020321068,115.9488799912,B
70.9666344203,13.0970375406,C
79.0032814602,93.3820351246,B
3.8162906069,29.0498675956,B
73.9569426927,19.3207498601,C
29.8469334448,0.9359017350,B
38.2548506832,91.3849035283,B
18.6131689032,75.5919604932,C
86.1307966640,2.9787197502,C
45.9918979554,112.2356711693,A
81.7718104743,54.6949112439,C
29.1382311594,59.9003647215,A
2.6483569855,10.2923013824,A
88.8397457782,8.6444169151,C
34.2821999471,11.3634208907,A
59.4716192582,109.0568026505,C
82.3471165815,8.9774875001,C
61.6392647566,87.6074932866,A
108.9579342966,47.1990996403,B
65.0861172483,38.5740712053,B
113.4530263601,31.4986128924,C
49.5204684408,49.9949828589,A
50.2476634988,59.8126061844,B
76.7062615580,90.4343105137,A
29.5467293055,36.6856369543,B
75.6745856945,94.2362634901,A
58.9863255832,68.1848815843,A
30.1662386796,107.3661253842,A
32.0286092195,42.1133418063,A
77.6590280447,28.6870700445,B
65.1140510428,67.1595674266,A
85.3003813719,34.3964589825,C
55.6442042499,21.0106605596,A
54.5343550307,73.4083643622,A
4.7145886412,35.2701542588,A
75.4613628329,82.2386246270,A
61.4028619815,70.8153459683,A
75.4534180358,38.3434302076,A
98.3117943392,54.3174003537,C
81.5323765381,26.6035977211,C
84.4414264254,56.1930795622,C
85.0087744885,36.8040807228,C
35.6924875843,4.3216247816,B
9.6547334048,-5.2188364411,B
106.8336134924,40.7243996574,C
-1.8450862036,36.2195575862,B
82.8851643208,96.9810360889,A
85.2394986401,56.2358130976,C
28.6093089497,8.8829405940,B
99.7449999930,44.3735768774,C
95.0477110425,51.0308303415,B
39.1645413050,37.5133466661,C
22.0462645992,44.3492141240,B
23.5236695489,-3.9388106629,B
27.5760259006,-2.4180063945,B
78.6281581473,25.2852261263,A
18.3690763122,57.2897552964,B
48.9332857557,102.9634448456,C
88.9876784370,55.9876409456,C
70.2888338417,60.6747596598,A
39.2306983448,88.4406651322,C
85.8272256702,31.6473781700,C
86.6228733357,55.6521357135,A
44.6286841721,-2.8951896498,B
44.4166185219,92.7397513820,A
108.6458000014,28.5451032589,C
85.3567468672,29.0711195662,B
42.7966270871,113.4805170271,C
70.1669112908,23.1514132167,A
55.0635997950,53.1378736666,A
51.7459632636,113.3702945379,B
7.1620121533,47.3417587887,B
24.5605556628,2.1791869699,A
99.0472848516,38.8218024119,C
37.6667172077,79.4058082799,A
40.2219883299,92.6689522568,A
26.8335264711,92.6142945775,A
42.3229864472,-3.0005888543,B
50.8157169673,0.5828281575,A
6.7207521864,49.3740925494,B
57.1853675246,99.2274238044,B
34.3294679983,1.0982691959,A
28.9375506068,108.9583523752,A
53.8982554379,35.5237181502,B
8.5462634944,23.1167199182,B
85.8343206071,54.5609557509,C
26.5971982003,12.7004759151,C
14.1045624875,87.5686033873,A
36.7653800655,11.8843292957,B
24.4898183287,65.1794855822,A
77.5071565844,77.9025417115,A
23.6771145183,98.5523554228,A
48.5934758171,51.9517933368,A
66.5072592097,85.4587233570,A
88.6208455555,49.8026012839,C
60.8815319665,91.2753723360,A
67.2139054599,85.8510420560,A
116.0869625326,21.9526767674,B
48.8869737710,46.0093789675,B
22.9598097490,69.6740014569,A
28.6278719061,64.0770394411,B
13.3266000065,56.0567302906,A
90.6048318842,42.2536628848,A
39.4157817368,99.2636376152,A
20.0995951841,-8.3623564959,C
36.2977187985,109.9835454554,B
99.2654905914,42.7453117713,C
5.7242889292,17.3508567829,B
65.3415103415,35.9432473787,A
33.6198342857,16.4656960689,B
94.9323031688,45.2901657012,C
3.5881342612,41.5526221129,C
71.2817709376,43.6670349221,C
89.4135691768,57.0263507499,A
27.3298153884,26.2621225822,B
113.7178804744,16.1938322248,B
57.5000801934,72.9346861878,A
73.4762601986,96.2326340834,A
-0.0315487727,39.1789527675,B
14.6937103841,-2.6630939714,B
95.0789454022,47.4386137480,C
80.7389930893,36.1689627756,C
66.4791739794,29.8593108469,C
62.3459300266,53.6034961152,A
96.5137616600,12.6689791268,C
60.1316934168,116.9015425124,A
66.6214498406,76.9159886229,B
18.9035846882,56.9589617118,B
84.4933998429,38.5111059512,A
4.1786733904,1.7341712818,B
33.8094111093,26.3574913858,B
26.6915166771,95.6842560917,A
100.2868711305,52.8941871188,A
21.6314996440,53.2093336979,B
93.5963825983,19.3312002790,C
39.1923350357,16.8820002289,B
38.7575616606,55.2891274297,A
36.2646666363,104.7310036731,B
93.5658009154,8.5130558589,C
83.8293917306,51.2153068000,A
81.5038434625,100.2396063121,A
