,Unnamed: 0,xDom,yDom,class
0,0,55.0879552146,64.454300018,Kepdon
1,1,78.427022143,12.5070732568,Kepdon
2,2,62.5008351062,31.4250332454,Zlale
3,3,31.2951511904,101.3809385861,Kepdon
4,4,34.3389941778,47.0610171709,Slashead
5,5,46.0495187255,36.6010376588,Slashead
6,6,40.0926398295,92.3000515527,Kepdon
7,7,30.9665511699,17.1400442094,Zlale
8,8,29.1188961661,8.5397270482,Slashead
9,9,48.1815417151,52.2392925706,Zlale
10,10,43.1163786476,53.1107402824,Slashead
11,11,88.7854403713,29.454325448,Kepdon
12,12,82.3630540732,4.9736515364,Kepdon
13,13,47.3494357709,35.0368442448,Slashead
14,14,19.9225055418,-8.0858946778,Slashead
15,15,99.0668360223,29.3230847335,Zlale
16,16,67.8212257803,37.5020627073,Zlale
17,17,28.1199586994,95.8183485763,Kepdon
18,18,52.5004492986,60.5243655812,Slashead
19,19,34.0687560221,76.89417319,Kepdon
20,20,72.2752276162,26.6494383911,Zlale
21,21,40.9548005354,93.4886819294,Kepdon
22,22,83.6139874655,10.6356242743,Slashead
23,23,47.8939918755,82.9460994404,Kepdon
24,24,115.5718166827,23.4731614237,Slashead
25,25,86.4909537348,52.6413419637,Zlale
26,26,38.8402253958,114.3688941088,Slashead
27,27,31.3672638795,42.976901159,Zlale
28,28,6.3522339349,21.7967363038,Slashead
29,29,-6.9761262579,19.3980699712,Zlale
30,30,109.4288631391,19.1634616137,Zlale
31,31,89.4851770567,34.8108704069,Slashead
32,32,116.6648107362,33.8963542254,Zlale
33,33,60.8322710264,26.2983183983,Slashead
34,34,15.3309566734,81.4566940628,Kepdon
35,35,98.5542211843,41.8408621189,Zlale
36,36,38.2461143531,62.4484328829,Kepdon
37,37,24.5591234375,31.5086074384,Slashead
38,38,39.7168335148,37.6381542222,Slashead
39,39,100.1689631199,14.3021918275,Kepdon
40,40,46.7131638793,51.819645258,Zlale
41,41,42.126943829,30.8674172412,Zlale
42,42,19.0837867098,46.5172609747,Kepdon
43,43,43.888343214,44.825804396,Slashead
44,44,35.4968010805,42.5259865896,Zlale
45,45,77.310431359,25.0665139193,Zlale
46,46,32.3195955062,46.9897743211,Slashead
47,47,43.0225996123,30.8129227246,Slashead
48,48,85.1973710802,8.7998419495,Kepdon
49,49,40.0272984048,88.3554968394,Kepdon
50,50,17.805949281,93.2473918188,Slashead
51,51,18.1956627821,9.1207975119,Slashead
52,52,41.8682878554,74.4180141138,Slashead
53,53,6.8557251884,12.9623390721,Slashead
54,54,52.5020321068,115.9488799912,Slashead
55,55,70.9666344203,13.0970375406,Zlale
56,56,79.0032814602,93.3820351246,Slashead
57,57,3.8162906069,29.0498675956,Slashead
58,58,73.9569426927,19.3207498601,Zlale
59,59,29.8469334448,0.935901735,Slashead
60,60,38.2548506832,91.3849035283,Slashead
61,61,18.6131689032,75.5919604932,Zlale
62,62,86.130796664,2.9787197502,Zlale
63,63,45.9918979554,112.2356711693,Kepdon
64,64,81.7718104743,54.6949112439,Zlale
65,65,29.1382311594,59.9003647215,Kepdon
66,66,2.6483569855,10.2923013824,Kepdon
67,67,88.8397457782,8.6444169151,Zlale
68,68,34.2821999471,11.3634208907,Kepdon
69,69,59.4716192582,109.0568026505,Zlale
70,70,82.3471165815,8.9774875001,Zlale
71,71,61.6392647566,87.6074932866,Kepdon
72,72,108.9579342966,47.1990996403,Slashead
73,73,65.0861172483,38.5740712053,Slashead
74,74,113.4530263601,31.4986128924,Zlale
75,75,49.5204684408,49.9949828589,Kepdon
76,76,50.2476634988,59.8126061844,Slashead
77,77,76.706261558,90.4343105137,Kepdon
78,78,29.5467293055,36.6856369543,Slashead
79,79,75.6745856945,94.2362634901,Kepdon
80,80,58.9863255832,68.1848815843,Kepdon
81,81,30.1662386796,107.3661253842,Kepdon
82,82,32.0286092195,42.1133418063,Kepdon
83,83,77.6590280447,28.6870700445,Slashead
84,84,65.1140510428,67.1595674266,Kepdon
85,85,85.3003813719,34.3964589825,Zlale
86,86,55.6442042499,21.0106605596,Kepdon
87,87,54.5343550307,73.4083643622,Kepdon
88,88,4.7145886412,35.2701542588,Kepdon
89,89,75.4613628329,82.238624627,Kepdon
90,90,61.4028619815,70.8153459683,Kepdon
91,91,75.4534180358,38.3434302076,Kepdon
92,92,98.3117943392,54.3174003537,Zlale
93,93,81.5323765381,26.6035977211,Zlale
94,94,84.4414264254,56.1930795622,Zlale
95,95,85.0087744885,36.8040807228,Zlale
96,96,35.6924875843,4.3216247816,Slashead
97,97,9.6547334048,-5.2188364411,Slashead
98,98,106.8336134924,40.7243996574,Zlale
99,99,-1.8450862036,36.2195575862,Slashead
100,100,82.8851643208,96.9810360889,Kepdon
101,101,85.2394986401,56.2358130976,Zlale
102,102,28.6093089497,8.882940594,Slashead
103,103,99.744999993,44.3735768774,Zlale
104,104,95.0477110425,51.0308303415,Slashead
105,105,39.164541305,37.5133466661,Zlale
106,106,22.0462645992,44.349214124,Slashead
107,107,23.5236695489,-3.9388106629,Slashead
108,108,27.5760259006,-2.4180063945,Slashead
109,109,78.6281581473,25.2852261263,Kepdon
110,110,18.3690763122,57.2897552964,Slashead
111,111,48.9332857557,102.9634448456,Zlale
112,112,88.987678437,55.9876409456,Zlale
113,113,70.2888338417,60.6747596598,Kepdon
114,114,39.2306983448,88.4406651322,Zlale
115,115,85.8272256702,31.64737817,Zlale
116,116,86.6228733357,55.6521357135,Kepdon
117,117,44.6286841721,-2.8951896498,Slashead
118,118,44.4166185219,92.739751382,Kepdon
119,119,108.6458000014,28.5451032589,Zlale
120,120,85.3567468672,29.0711195662,Slashead
121,121,42.7966270871,113.4805170271,Zlale
122,122,70.1669112908,23.1514132167,Kepdon
123,123,55.063599795,53.1378736666,Kepdon
124,124,51.7459632636,113.3702945379,Slashead
125,125,7.1620121533,47.3417587887,Slashead
126,126,24.5605556628,2.1791869699,Kepdon
127,127,99.0472848516,38.8218024119,Zlale
128,128,37.6667172077,79.4058082799,Kepdon
129,129,40.2219883299,92.6689522568,Kepdon
130,130,26.8335264711,92.6142945775,Kepdon
131,131,42.3229864472,-3.0005888543,Slashead
132,132,50.8157169673,0.5828281575,Kepdon
133,133,6.7207521864,49.3740925494,Slashead
134,134,57.1853675246,99.2274238044,Slashead
135,135,34.3294679983,1.0982691959,Kepdon
136,136,28.9375506068,108.9583523752,Kepdon
137,137,53.8982554379,35.5237181502,Slashead
138,138,8.5462634944,23.1167199182,Slashead
139,139,85.8343206071,54.5609557509,Zlale
140,140,26.5971982003,12.7004759151,Zlale
141,141,14.1045624875,87.5686033873,Kepdon
142,142,36.7653800655,11.8843292957,Slashead
143,143,24.4898183287,65.1794855822,Kepdon
144,144,77.5071565844,77.9025417115,Kepdon
145,145,23.6771145183,98.5523554228,Kepdon
146,146,48.5934758171,51.9517933368,Kepdon
147,147,66.5072592097,85.458723357,Kepdon
148,148,88.6208455555,49.8026012839,Zlale
149,149,60.8815319665,91.275372336,Kepdon
150,150,67.2139054599,85.851042056,Kepdon
151,151,116.0869625326,21.9526767674,Slashead
152,152,48.886973771,46.0093789675,Slashead
153,153,22.959809749,69.6740014569,Kepdon
154,154,28.6278719061,64.0770394411,Slashead
155,155,13.3266000065,56.0567302906,Kepdon
156,156,90.6048318842,42.2536628848,Kepdon
157,157,39.4157817368,99.2636376152,Kepdon
158,158,20.0995951841,-8.3623564959,Zlale
159,159,36.2977187985,109.9835454554,Slashead
160,160,99.2654905914,42.7453117713,Zlale
161,161,5.7242889292,17.3508567829,Slashead
162,162,65.3415103415,35.9432473787,Kepdon
163,163,33.6198342857,16.4656960689,Slashead
164,164,94.9323031688,45.2901657012,Zlale
165,165,3.5881342612,41.5526221129,Zlale
166,166,71.2817709376,43.6670349221,Zlale
167,167,89.4135691768,57.0263507499,Kepdon
168,168,27.3298153884,26.2621225822,Slashead
169,169,113.7178804744,16.1938322248,Slashead
170,170,57.5000801934,72.9346861878,Kepdon
171,171,73.4762601986,96.2326340834,Kepdon
172,172,-0.0315487727,39.1789527675,Slashead
173,173,14.6937103841,-2.6630939714,Slashead
174,174,95.0789454022,47.438613748,Zlale
175,175,80.7389930893,36.1689627756,Zlale
176,176,66.4791739794,29.8593108469,Zlale
177,177,62.3459300266,53.6034961152,Kepdon
178,178,96.51376166,12.6689791268,Zlale
179,179,60.1316934168,116.9015425124,Kepdon
180,180,66.6214498406,76.9159886229,Slashead
181,181,18.9035846882,56.9589617118,Slashead
182,182,84.4933998429,38.5111059512,Kepdon
183,183,4.1786733904,1.7341712818,Slashead
184,184,33.8094111093,26.3574913858,Slashead
185,185,26.6915166771,95.6842560917,Kepdon
186,186,100.2868711305,52.8941871188,Kepdon
187,187,21.631499644,53.2093336979,Slashead
188,188,93.5963825983,19.331200279,Zlale
189,189,39.1923350357,16.8820002289,Slashead
190,190,38.7575616606,55.2891274297,Kepdon
191,191,36.2646666363,104.7310036731,Slashead
192,192,93.5658009154,8.5130558589,Zlale
193,193,83.8293917306,51.2153068,Kepdon
194,194,81.5038434625,100.2396063121,Kepdon
195,195,114.8930501587,21.2258338459,Slashead
196,196,45.5852771068,94.6865686343,Kepdon
197,197,40.9979869274,41.8774443666,Slashead
198,198,103.8497266496,6.1406743811,Slashead
199,199,40.3217848327,24.2056575495,Slashead
200,200,3.8265557932,8.8610293344,Slashead
201,201,-1.8432931635,22.3455648476,Slashead
202,202,50.0356209261,29.4607904204,Zlale
203,203,0.5368866443,36.5097037806,Slashead
204,204,82.9372061615,38.7128963221,Slashead
205,205,53.9793703535,69.0187480694,Kepdon
206,206,30.6531140738,16.392240094,Slashead
207,207,33.532645487,5.1616572726,Slashead
208,208,31.770147607,43.2249459694,Slashead
209,209,69.859268988,111.7499579947,Kepdon
210,210,42.5409673877,1.6814217344,Slashead
211,211,7.9854951234,9.3044982576,Slashead
212,212,92.0696616458,44.5645119271,Zlale
213,213,13.954000303,13.5160356564,Slashead
214,214,-4.4225875246,28.4686703903,Zlale
215,215,70.4578828672,85.5034270891,Kepdon
216,216,102.5558366817,10.9388133754,Kepdon
217,217,37.6334057084,35.6273441849,Slashead
218,218,32.4047163099,9.7251264701,Zlale
219,219,27.6350909999,65.7169440958,Kepdon
220,220,82.7976283754,77.5988680639,Kepdon
221,221,99.6247227109,19.0544609726,Zlale
222,222,105.757394838,12.1069376846,Slashead
223,223,73.3358345801,75.7869166985,Kepdon
224,224,48.1083999334,100.4398624701,Kepdon
225,225,31.0439532015,93.2708307449,Kepdon
226,226,25.2357039489,38.6710171681,Slashead
227,227,41.0403567437,48.2987372214,Slashead
228,228,79.0041260982,30.9037196201,Zlale
229,229,22.8276501977,66.6489193583,Kepdon
230,230,29.0813690243,15.2389036022,Kepdon
231,231,-2.0221849133,25.363463338,Slashead
232,232,20.0347049313,-2.6274044877,Slashead
233,233,43.3423263961,76.8294273504,Slashead
234,234,18.2086730025,21.1509103982,Kepdon
235,235,36.5171832801,104.2984395515,Kepdon
236,236,91.6380534406,6.5730340674,Zlale
237,237,23.1636867955,98.5290549309,Kepdon
238,238,81.2172132671,11.1590468843,Slashead
239,239,81.8572496616,20.5281829778,Zlale
240,240,42.1523267085,50.5521757245,Zlale
241,241,22.9976380048,72.5555038365,Kepdon
242,242,18.1083028793,78.149106675,Kepdon
243,243,17.7783199093,54.806830749,Slashead
244,244,60.1707335756,51.7840041269,Zlale
245,245,77.7904854762,19.4131607268,Slashead
246,246,47.2857161501,98.7107608816,Kepdon
247,247,106.0957236423,41.9681369209,Kepdon
248,248,46.0685184886,12.4921637665,Slashead
249,249,30.0509027983,102.3482115636,Kepdon
250,250,27.2655242518,1.3654059315,Zlale
251,251,86.5344956744,7.3387910311,Kepdon
252,252,103.4225313559,18.3179498406,Kepdon
253,253,80.1866289841,29.4737631981,Zlale
254,254,24.9235680992,61.1280954414,Kepdon
255,255,72.0966574165,111.400783338,Kepdon
256,256,47.8336299868,63.4732859388,Kepdon
257,257,98.6627244555,40.8573677584,Slashead
258,258,42.8649278782,52.4359701958,Kepdon
259,259,15.7653062026,29.0279201036,Slashead
260,260,0.1848226155,5.1295923946,Slashead
261,261,92.4655618052,23.3836137605,Kepdon
262,262,25.5994939035,34.822258602,Slashead
263,263,34.8869426258,22.6671008451,Slashead
264,264,47.8962276567,1.8327351749,Slashead
265,265,66.8109626428,65.6242602529,Kepdon
266,266,26.4895899011,25.8259617191,Kepdon
267,267,31.9922565878,27.3695137012,Slashead
268,268,29.4188094428,37.8654836249,Kepdon
269,269,103.9312341433,25.5023400614,Kepdon
270,270,78.4612718373,47.2677548048,Kepdon
271,271,25.8626788102,49.8282743334,Zlale
272,272,54.4873749314,100.2221114081,Kepdon
273,273,39.788623583,77.7178801028,Kepdon
274,274,37.9561722672,71.1836450286,Slashead
275,275,48.3026697072,2.9603975841,Slashead
276,276,114.6800961051,40.4411542155,Zlale
277,277,70.5755767102,106.5207642155,Kepdon
278,278,90.3648696313,18.2514650229,Slashead
279,279,23.4172897723,-9.1611897483,Zlale
