,Unnamed: 0.1,Unnamed: 0,xDom,yDom,class
0,0.0,0.0,55.0879552146,64.454300018,Kepdon
1,1.0,1.0,78.427022143,12.5070732568,Kepdon
2,2.0,2.0,62.5008351062,31.4250332454,Zlale
3,3.0,3.0,31.2951511904,101.3809385861,Kepdon
4,4.0,4.0,34.3389941778,47.0610171709,Slashead
5,5.0,5.0,46.0495187255,36.6010376588,Slashead
6,6.0,6.0,40.0926398295,92.3000515527,Kepdon
7,7.0,7.0,30.9665511699,17.1400442094,Zlale
8,8.0,8.0,29.1188961661,8.5397270482,Slashead
9,9.0,9.0,48.1815417151,52.2392925706,Zlale
10,10.0,10.0,43.1163786476,53.1107402824,Slashead
11,11.0,11.0,88.7854403713,29.454325448,Kepdon
12,12.0,12.0,82.3630540732,4.9736515364,Kepdon
13,13.0,13.0,47.3494357709,35.0368442448,Slashead
14,14.0,14.0,19.9225055418,-8.0858946778,Slashead
15,15.0,15.0,99.0668360223,29.3230847335,Zlale
16,16.0,16.0,67.8212257803,37.5020627073,Zlale
17,17.0,17.0,28.1199586994,95.8183485763,Kepdon
18,18.0,18.0,52.5004492986,60.5243655812,Slashead
19,19.0,19.0,34.0687560221,76.89417319,Kepdon
20,20.0,20.0,72.2752276162,26.6494383911,Zlale
21,21.0,21.0,40.9548005354,93.4886819294,Kepdon
22,22.0,22.0,83.6139874655,10.6356242743,Slashead
23,23.0,23.0,47.8939918755,82.9460994404,Kepdon
24,24.0,24.0,115.5718166827,23.4731614237,Slashead
25,25.0,25.0,86.4909537348,52.6413419637,Zlale
26,26.0,26.0,38.8402253958,114.3688941088,Slashead
27,27.0,27.0,31.3672638795,42.976901159,Zlale
28,28.0,28.0,6.3522339349,21.7967363038,Slashead
29,29.0,29.0,-6.9761262579,19.3980699712,Zlale
30,30.0,30.0,109.4288631391,19.1634616137,Zlale
31,31.0,31.0,89.4851770567,34.8108704069,Slashead
32,32.0,32.0,116.6648107362,33.8963542254,Zlale
33,33.0,33.0,60.8322710264,26.2983183983,Slashead
34,34.0,34.0,15.3309566734,81.4566940628,Kepdon
35,35.0,35.0,98.5542211843,41.8408621189,Zlale
36,36.0,36.0,38.2461143531,62.4484328829,Kepdon
37,37.0,37.0,24.5591234375,31.5086074384,Slashead
38,38.0,38.0,39.7168335148,37.6381542222,Slashead
39,39.0,39.0,100.1689631199,14.3021918275,Kepdon
40,40.0,40.0,46.7131638793,51.819645258,Zlale
41,41.0,41.0,42.126943829,30.8674172412,Zlale
42,42.0,42.0,19.0837867098,46.5172609747,Kepdon
43,43.0,43.0,43.888343214,44.825804396,Slashead
44,44.0,44.0,35.4968010805,42.5259865896,Zlale
45,45.0,45.0,77.310431359,25.0665139193,Zlale
46,46.0,46.0,32.3195955062,46.9897743211,Slashead
47,47.0,47.0,43.0225996123,30.8129227246,Slashead
48,48.0,48.0,85.1973710802,8.7998419495,Kepdon
49,49.0,49.0,40.0272984048,88.3554968394,Kepdon
50,50.0,50.0,17.805949281,93.2473918188,Slashead
51,51.0,51.0,18.1956627821,9.1207975119,Slashead
52,52.0,52.0,41.8682878554,74.4180141138,Slashead
53,53.0,53.0,6.8557251884,12.9623390721,Slashead
54,54.0,54.0,52.5020321068,115.9488799912,Slashead
55,55.0,55.0,70.9666344203,13.0970375406,Zlale
56,56.0,56.0,79.0032814602,93.3820351246,Slashead
57,57.0,57.0,3.8162906069,29.0498675956,Slashead
58,58.0,58.0,73.9569426927,19.3207498601,Zlale
59,59.0,59.0,29.8469334448,0.935901735,Slashead
60,60.0,60.0,38.2548506832,91.3849035283,Slashead
61,61.0,61.0,18.6131689032,75.5919604932,Zlale
62,62.0,62.0,86.130796664,2.9787197502,Zlale
63,63.0,63.0,45.9918979554,112.2356711693,Kepdon
64,64.0,64.0,81.7718104743,54.6949112439,Zlale
65,65.0,65.0,29.1382311594,59.9003647215,Kepdon
66,66.0,66.0,2.6483569855,10.2923013824,Kepdon
67,67.0,67.0,88.8397457782,8.6444169151,Zlale
68,68.0,68.0,34.2821999471,11.3634208907,Kepdon
69,69.0,69.0,59.4716192582,109.0568026505,Zlale
70,70.0,70.0,82.3471165815,8.9774875001,Zlale
71,71.0,71.0,61.6392647566,87.6074932866,Kepdon
72,72.0,72.0,108.9579342966,47.1990996403,Slashead
73,73.0,73.0,65.0861172483,38.5740712053,Slashead
74,74.0,74.0,113.4530263601,31.4986128924,Zlale
75,75.0,75.0,49.5204684408,49.9949828589,Kepdon
76,76.0,76.0,50.2476634988,59.8126061844,Slashead
77,77.0,77.0,76.706261558,90.4343105137,Kepdon
78,78.0,78.0,29.5467293055,36.6856369543,Slashead
79,79.0,79.0,75.6745856945,94.2362634901,Kepdon
80,80.0,80.0,58.9863255832,68.1848815843,Kepdon
81,81.0,81.0,30.1662386796,107.3661253842,Kepdon
82,82.0,82.0,32.0286092195,42.1133418063,Kepdon
83,83.0,83.0,77.6590280447,28.6870700445,Slashead
84,84.0,84.0,65.1140510428,67.1595674266,Kepdon
85,85.0,85.0,85.3003813719,34.3964589825,Zlale
86,86.0,86.0,55.6442042499,21.0106605596,Kepdon
87,87.0,87.0,54.5343550307,73.4083643622,Kepdon
88,88.0,88.0,4.7145886412,35.2701542588,Kepdon
89,89.0,89.0,75.4613628329,82.238624627,Kepdon
90,90.0,90.0,61.4028619815,70.8153459683,Kepdon
91,91.0,91.0,75.4534180358,38.3434302076,Kepdon
92,92.0,92.0,98.3117943392,54.3174003537,Zlale
93,93.0,93.0,81.5323765381,26.6035977211,Zlale
94,94.0,94.0,84.4414264254,56.1930795622,Zlale
95,95.0,95.0,85.0087744885,36.8040807228,Zlale
96,96.0,96.0,35.6924875843,4.3216247816,Slashead
97,97.0,97.0,9.6547334048,-5.2188364411,Slashead
98,98.0,98.0,106.8336134924,40.7243996574,Zlale
99,99.0,99.0,-1.8450862036,36.2195575862,Slashead
100,100.0,100.0,82.8851643208,96.9810360889,Kepdon
101,101.0,101.0,85.2394986401,56.2358130976,Zlale
