xDom,yDom,class
55.0879552146,64.454300018,Kepdon
78.427022143,12.5070732568,Kepdon
62.5008351062,31.4250332454,Zlale
31.2951511904,101.3809385861,Kepdon
34.3389941778,47.0610171709,Slashead
46.0495187255,36.6010376588,Slashead
40.0926398295,92.3000515527,Kepdon
30.9665511699,17.1400442094,Zlale
29.1188961661,8.5397270482,Slashead
48.1815417151,52.2392925706,Zlale
43.1163786476,53.1107402824,Slashead
88.7854403713,29.454325448,Kepdon
82.3630540732,4.9736515364,Kepdon
47.3494357709,35.0368442448,Slashead
19.9225055418,-8.0858946778,Slashead
99.0668360223,29.3230847335,Zlale
67.8212257803,37.5020627073,Zlale
28.1199586994,95.8183485763,Kepdon
52.5004492986,60.5243655812,Slashead
34.0687560221,76.89417319,Kepdon
72.2752276162,26.6494383911,Zlale
40.9548005354,93.4886819294,Kepdon
83.6139874655,10.6356242743,Slashead
47.8939918755,82.9460994404,Kepdon
115.5718166827,23.4731614237,Slashead
86.4909537348,52.6413419637,Zlale
38.8402253958,114.3688941088,Slashead
31.3672638795,42.976901159,Zlale
6.3522339349,21.7967363038,Slashead
-6.9761262579,19.3980699712,Zlale
109.4288631391,19.1634616137,Zlale
89.4851770567,34.8108704069,Slashead
116.6648107362,33.8963542254,Zlale
60.8322710264,26.2983183983,Slashead
15.3309566734,81.4566940628,Kepdon
98.5542211843,41.8408621189,Zlale
38.2461143531,62.4484328829,Kepdon
24.5591234375,31.5086074384,Slashead
39.7168335148,37.6381542222,Slashead
100.1689631199,14.3021918275,Kepdon
46.7131638793,51.819645258,Zlale
42.126943829,30.8674172412,Zlale
19.0837867098,46.5172609747,Kepdon
43.888343214,44.825804396,Slashead
35.4968010805,42.5259865896,Zlale
77.310431359,25.0665139193,Zlale
32.3195955062,46.9897743211,Slashead
43.0225996123,30.8129227246,Slashead
85.1973710802,8.7998419495,Kepdon
40.0272984048,88.3554968394,Kepdon
17.805949281,93.2473918188,Slashead
18.1956627821,9.1207975119,Slashead
41.8682878554,74.4180141138,Slashead
6.8557251884,12.9623390721,Slashead
52.5020321068,115.9488799912,Slashead
70.9666344203,13.0970375406,Zlale
79.0032814602,93.3820351246,Slashead
3.8162906069,29.0498675956,Slashead
73.9569426927,19.3207498601,Zlale
29.8469334448,0.935901735,Slashead
38.2548506832,91.3849035283,Slashead
18.6131689032,75.5919604932,Zlale
86.130796664,2.9787197502,Zlale
45.9918979554,112.2356711693,Kepdon
81.7718104743,54.6949112439,Zlale
29.1382311594,59.9003647215,Kepdon
2.6483569855,10.2923013824,Kepdon
88.8397457782,8.6444169151,Zlale
34.2821999471,11.3634208907,Kepdon
59.4716192582,109.0568026505,Zlale
82.3471165815,8.9774875001,Zlale
61.6392647566,87.6074932866,Kepdon
108.9579342966,47.1990996403,Slashead
65.0861172483,38.5740712053,Slashead
113.4530263601,31.4986128924,Zlale
49.5204684408,49.9949828589,Kepdon
50.2476634988,59.8126061844,Slashead
76.706261558,90.4343105137,Kepdon
29.5467293055,36.6856369543,Slashead
75.6745856945,94.2362634901,Kepdon
58.9863255832,68.1848815843,Kepdon
30.1662386796,107.3661253842,Kepdon
32.0286092195,42.1133418063,Kepdon
77.6590280447,28.6870700445,Slashead
65.1140510428,67.1595674266,Kepdon
85.3003813719,34.3964589825,Zlale
55.6442042499,21.0106605596,Kepdon
54.5343550307,73.4083643622,Kepdon
4.7145886412,35.2701542588,Kepdon
75.4613628329,82.238624627,Kepdon
61.4028619815,70.8153459683,Kepdon
75.4534180358,38.3434302076,Kepdon
98.3117943392,54.3174003537,Zlale
81.5323765381,26.6035977211,Zlale
84.4414264254,56.1930795622,Zlale
85.0087744885,36.8040807228,Zlale
35.6924875843,4.3216247816,Slashead
9.6547334048,-5.2188364411,Slashead
106.8336134924,40.7243996574,Zlale
-1.8450862036,36.2195575862,Slashead
82.8851643208,96.9810360889,Kepdon
85.2394986401,56.2358130976,Zlale
28.6093089497,8.882940594,Slashead
99.744999993,44.3735768774,Zlale
95.0477110425,51.0308303415,Slashead
39.164541305,37.5133466661,Zlale
22.0462645992,44.349214124,Slashead
23.5236695489,-3.9388106629,Slashead
27.5760259006,-2.4180063945,Slashead
78.6281581473,25.2852261263,Kepdon
18.3690763122,57.2897552964,Slashead
48.9332857557,102.9634448456,Zlale
88.987678437,55.9876409456,Zlale
70.2888338417,60.6747596598,Kepdon
