,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,xDom,yDom,class
0,0.0,0.0,0.0,55.0879552146,64.454300018,Kepdon
1,1.0,1.0,1.0,78.427022143,12.5070732568,Kepdon
2,2.0,2.0,2.0,62.5008351062,31.4250332454,Zlale
3,3.0,3.0,3.0,31.2951511904,101.3809385861,Kepdon
4,4.0,4.0,4.0,34.3389941778,47.0610171709,Slashead
5,5.0,5.0,5.0,46.0495187255,36.6010376588,Slashead
6,6.0,6.0,6.0,40.0926398295,92.3000515527,Kepdon
7,7.0,7.0,7.0,30.9665511699,17.1400442094,Zlale
8,8.0,8.0,8.0,29.1188961661,8.5397270482,Slashead
9,9.0,9.0,9.0,48.1815417151,52.2392925706,Zlale
10,10.0,10.0,10.0,43.1163786476,53.1107402824,Slashead
11,11.0,11.0,11.0,88.7854403713,29.454325448,Kepdon
12,12.0,12.0,12.0,82.3630540732,4.9736515364,Kepdon
13,13.0,13.0,13.0,47.3494357709,35.0368442448,Slashead
14,14.0,14.0,14.0,19.9225055418,-8.0858946778,Slashead
15,15.0,15.0,15.0,99.0668360223,29.3230847335,Zlale
16,16.0,16.0,16.0,67.8212257803,37.5020627073,Zlale
17,17.0,17.0,17.0,28.1199586994,95.8183485763,Kepdon
18,18.0,18.0,18.0,52.5004492986,60.5243655812,Slashead
19,19.0,19.0,19.0,34.0687560221,76.89417319,Kepdon
20,20.0,20.0,20.0,72.2752276162,26.6494383911,Zlale
21,21.0,21.0,21.0,40.9548005354,93.4886819294,Kepdon
22,22.0,22.0,22.0,83.6139874655,10.6356242743,Slashead
23,23.0,23.0,23.0,47.8939918755,82.9460994404,Kepdon
24,24.0,24.0,24.0,115.5718166827,23.4731614237,Slashead
25,25.0,25.0,25.0,86.4909537348,52.6413419637,Zlale
26,26.0,26.0,26.0,38.8402253958,114.3688941088,Slashead
27,27.0,27.0,27.0,31.3672638795,42.976901159,Zlale
28,28.0,28.0,28.0,6.3522339349,21.7967363038,Slashead
29,29.0,29.0,29.0,-6.9761262579,19.3980699712,Zlale
30,30.0,30.0,30.0,109.4288631391,19.1634616137,Zlale
