xDom,yDom,class
50.8839352803,59.5685848887,A
89.8789513134,66.0806708914,A
86.4984378702,80.1414141551,B
85.6513240414,90.0728038026,B
85.4443904649,79.3698360430,B
83.0566384783,50.0811007171,B
97.4084332385,52.4795730819,C
64.5805147787,74.1041760904,A
66.2293976763,82.1586684425,A
55.4119679488,76.2200330954,B
73.3206161088,76.9589872844,A
59.7547626042,58.0690287615,B
66.5012881908,64.9656850620,B
93.2409261035,70.0625575450,A
68.3125275204,66.0228836418,C
80.7792154115,75.2746147816,B
71.3192030787,67.9858788927,B
63.0416347308,75.3353997940,B
74.3267903862,65.0252485667,B
85.5547260758,100.5382311343,A
61.3653858844,92.8945400878,B
52.5425631221,66.5707925205,B
74.0863561004,105.0667380870,B
63.8483816569,94.0574724894,B
63.0646492019,50.8914002085,B
68.1737253787,86.6497716630,C
69.1294429115,62.4376916430,C
78.0976205178,82.2450927761,C
91.1192705951,80.5984320957,A
66.3758948178,97.9558021813,A
63.6559090049,96.1363743644,C
67.1225027215,97.9943939898,C
87.7762557246,78.5367826452,B
78.6633212325,54.0555565790,A
98.9297000928,52.2703688728,C
73.6530362290,59.6919012442,A
90.9020987029,67.5541049586,A
49.8374493547,68.4918832285,A
84.5821328545,64.7156136123,A
66.2944809497,68.2318082803,B
57.8681719146,53.0253108900,B
93.9756748419,74.3996519545,B
79.3734968341,101.8495738558,A
84.4183919852,61.9135780528,A
73.9718210989,105.2589823991,B
61.8044825364,59.3499237223,B
59.5437988793,51.4127891976,A
67.0456504446,65.6352485526,B
58.5887995859,76.1868056752,B
62.4352971327,52.5487086136,B
70.6011461219,63.1299258600,B
83.3616892081,68.2542712827,A
54.5185054086,63.5104657111,A
87.5626013221,69.3866211003,A
60.6892651270,59.5439859081,C
73.7759193314,82.1763224880,B
73.5271913704,63.8321017031,A
55.2358415800,58.7984523113,C
75.6107633122,78.3364202071,C
79.7759049802,98.5089638869,C
85.9410461794,99.1722062015,B
68.4454682181,83.4582569467,C
56.9883323870,78.0066163449,A
68.1758589155,100.8967297698,A
87.0327747509,70.2419888032,B
69.3295840109,99.8751337517,A
76.2725044942,70.5672854964,A
88.7195864804,73.3702220867,C
90.2010502391,78.7246293437,B
99.2087092679,56.6962553473,B
86.9871462562,71.9820214580,A
65.0947050523,52.3300677907,B
60.5384362509,88.2762252914,B
54.7022869629,63.8671317204,B
62.1847199799,58.1421687698,B
76.9503793889,54.1135800194,B
103.3154746445,69.5081305639,B
60.8125470856,61.7563805509,B
76.1946850250,97.1725830890,A
90.5584933329,50.4595469092,A
93.4906384241,49.7171263248,B
95.7989463832,53.7696989689,A
60.9265169090,83.4362335855,C
73.6435039050,92.9071769786,A
66.7541574378,69.5545136974,C
