,xDom,yDom,class
0,50.8839352803,59.5685848887,A
1,89.8789513134,66.0806708914,A
2,86.4984378702,80.1414141551,B
3,85.6513240414,90.0728038026,B
4,85.4443904649,79.369836043,B
5,83.0566384783,50.0811007171,B
6,97.4084332385,52.4795730819,C
7,64.5805147787,74.1041760904,A
8,66.2293976763,82.1586684425,A
9,55.4119679488,76.2200330954,B
10,73.3206161088,76.9589872844,A
11,59.7547626042,58.0690287615,B
12,66.5012881908,64.965685062,B
13,93.2409261035,70.062557545,A
14,68.3125275204,66.0228836418,C
15,80.7792154115,75.2746147816,B
16,71.3192030787,67.9858788927,B
17,63.0416347308,75.335399794,B
18,74.3267903862,65.0252485667,B
19,85.5547260758,100.5382311343,A
20,61.3653858844,92.8945400878,B
21,52.5425631221,66.5707925205,B
22,74.0863561004,105.066738087,B
23,63.8483816569,94.0574724894,B
24,63.0646492019,50.8914002085,B
25,68.1737253787,86.649771663,C
26,69.1294429115,62.437691643,C
27,78.0976205178,82.2450927761,C
28,91.1192705951,80.5984320957,A
29,66.3758948178,97.9558021813,A
30,63.6559090049,96.1363743644,C
31,67.1225027215,97.9943939898,C
32,87.7762557246,78.5367826452,B
33,78.6633212325,54.055556579,A
34,98.9297000928,52.2703688728,C
35,73.653036229,59.6919012442,A
36,90.9020987029,67.5541049586,A
37,49.8374493547,68.4918832285,A
38,84.5821328545,64.7156136123,A
39,66.2944809497,68.2318082803,B
40,57.8681719146,53.02531089,B
41,93.9756748419,74.3996519545,B
42,79.3734968341,101.8495738558,A
43,84.4183919852,61.9135780528,A
44,73.9718210989,105.2589823991,B
45,61.8044825364,59.3499237223,B
46,59.5437988793,51.4127891976,A
47,67.0456504446,65.6352485526,B
48,58.5887995859,76.1868056752,B
49,62.4352971327,52.5487086136,B
50,70.6011461219,63.12992586,B
51,83.3616892081,68.2542712827,A
52,54.5185054086,63.5104657111,A
53,87.5626013221,69.3866211003,A
54,60.689265127,59.5439859081,C
55,73.7759193314,82.176322488,B
56,73.5271913704,63.8321017031,A
57,55.23584158,58.7984523113,C
58,75.6107633122,78.3364202071,C
59,79.7759049802,98.5089638869,C
60,85.9410461794,99.1722062015,B
61,68.4454682181,83.4582569467,C
62,56.988332387,78.0066163449,A
63,68.1758589155,100.8967297698,A
64,87.0327747509,70.2419888032,B
65,69.3295840109,99.8751337517,A
66,76.2725044942,70.5672854964,A
67,88.7195864804,73.3702220867,C
68,90.2010502391,78.7246293437,B
69,99.2087092679,56.6962553473,B
70,86.9871462562,71.982021458,A
71,65.0947050523,52.3300677907,B
72,60.5384362509,88.2762252914,B
73,54.7022869629,63.8671317204,B
74,62.1847199799,58.1421687698,B
75,76.9503793889,54.1135800194,B
76,103.3154746445,69.5081305639,B
77,60.8125470856,61.7563805509,B
78,76.194685025,97.172583089,A
79,90.5584933329,50.4595469092,A
80,93.4906384241,49.7171263248,B
81,95.7989463832,53.7696989689,A
82,60.926516909,83.4362335855,C
83,73.643503905,92.9071769786,A
84,66.7541574378,69.5545136974,C
85,83.4395030227,93.9734301019,C
86,60.7854222079,71.2434458708,B
87,76.6798310986,88.0025569101,B
88,74.8914894184,83.8954582021,B
89,83.0760692337,75.6788108265,A
90,75.2478445558,79.3034265461,B
91,78.3215822731,76.2995940099,A
92,79.5624931163,73.9186928792,B
93,67.2445919631,75.4353656225,C
94,64.7364566981,74.3780620988,B
95,92.6484908958,77.0954953539,C
96,61.6533564177,73.7285827764,B
97,54.5848106433,74.7860199465,B
98,65.9449161566,74.2487880077,C
99,72.5876048428,103.6463408979,C
100,61.5736176208,87.6617789467,A
101,69.7261597222,70.5983364398,B
102,70.8866020206,103.8293611109,A
103,68.1216657624,68.643642975,B
104,54.9507611778,52.2721668426,B
105,95.9644410908,75.5717429498,A
106,83.9994845978,101.5203399546,A
107,98.24710486,55.9076698333,A
108,84.6633195204,80.6380267972,A
109,77.4360834699,100.2767801014,B
110,63.5178277897,67.4784432381,C
111,102.3620700721,75.0005681831,C
112,67.1871009177,57.9654614206,C
113,83.4014522355,78.5784859828,C
114,104.1242128318,58.1175586461,A
115,96.7023804436,52.6742706634,A
116,58.6793828472,50.9814117575,A
117,76.6291796796,76.41405247,C
118,65.7121623789,90.1130735885,A
119,60.7836499902,72.4846185138,B
120,77.9417153829,76.2641007662,C
121,84.7822116912,97.803802578,C
122,87.3689749429,83.9804454856,C
123,70.1534587468,62.7412061648,C
124,69.6542103266,81.8922150526,A
125,74.4171010502,99.801371028,B
126,50.8099724161,61.9013852652,A
127,91.6456908779,76.9441980116,B
128,63.7961413494,74.9235854021,A
129,58.4904365244,54.2029444774,B
130,69.8437560537,61.7351404188,B
131,57.4990922542,58.4018496658,B
132,50.6197018567,65.4548308391,B
133,90.4097611435,90.0513291975,A
134,59.2977866286,53.5815077257,B
135,86.6612744059,48.5905518249,A
136,60.2792135183,52.2258742771,A
137,71.0136045665,58.0509572327,B
138,86.3068771851,97.0465527513,B
139,88.2149169262,71.0446327418,A
140,63.632836602,96.76142631,C
141,66.6902643614,55.340654383,B
142,81.6964886276,77.293720462,B
143,96.7692637057,54.3293261181,C
144,72.7457826146,61.4402994773,B
145,56.218574938,67.9746537029,B
146,83.1038123145,54.2718852733,B
147,77.5799277644,64.1939838528,C
148,73.6111853101,70.0367749586,A
149,81.4632504879,69.8774123369,A
150,63.9326655346,55.008357936,B
151,59.0203034621,69.7920833994,B
152,63.9399474954,71.3608527963,B
153,101.2914085832,64.8999448362,B
154,88.596977258,76.0209775552,C
155,62.9506063684,64.7224066909,B
156,81.8818501186,82.909923547,A
157,71.1998966215,69.5748817347,A
158,56.6895068713,67.3545211533,C
159,90.0366745937,71.9571372171,A
160,77.4585081488,90.0013588278,C
161,69.234086428,69.8235362312,B
162,105.6669793497,61.8398550221,C
163,58.5566366698,65.0561946605,B
164,65.301210966,54.4556914468,C
165,84.3891411841,64.0022511342,A
166,52.7065555558,57.4142320571,B
167,84.0495912601,99.9173226153,C
168,64.9038122542,73.0877702119,B
169,90.5992102061,71.9798937884,B
170,75.9126347478,86.0143928869,C
171,65.1823041576,61.1589666152,B
172,68.6977104689,83.7065108969,A
173,69.3520083668,79.0033923779,B
174,75.1922773601,94.9934227056,A
175,80.3081459706,57.5391619077,A
176,82.0572241631,70.1458359665,A
177,52.0762641317,54.319673694,C
178,72.571819402,69.0877255387,B
179,96.2700157402,68.2508562598,B
180,61.9551527209,63.1570675546,B
181,71.6629031175,100.4602981146,A
182,64.3659961363,59.6523064015,B
183,72.9397911674,69.5887048707,B
184,80.3744663002,93.4853745678,C
185,91.0844206791,62.080954652,A
186,83.613831412,100.2931189897,B
187,62.1599484114,58.809660797,C
188,82.6729437312,92.9699845927,A
189,94.8550469989,78.1962323881,A
190,67.2446956604,94.8560758605,A
