FIPS,NAME,STATE,longitude,latitude,precipitation
1001,Autauga,Alabama,-86.642749235,32.5349201866,590.6130959183250
1003,Baldwin,Alabama,-87.7498400784,30.6609696648,572.3233808610110
1005,Barbour,Alabama,-85.3931969755,31.8696032448,548.5654588526210
1007,Bibb,Alabama,-87.1264391014,32.9986442965,576.9740855231840
1009,Blount,Alabama,-86.5673709608,33.9808673856,545.2176238129220
1011,Bullock,Alabama,-85.7156972254,32.1005542205,533.6833167832250
1013,Butler,Alabama,-86.6802892154,31.7524339429,584.9832143218490
1015,Calhoun,Alabama,-85.8260308543,33.7714324565,524.6188986615860
1017,Chambers,Alabama,-85.3920429513,32.9143722298,583.4612018257130
1019,Cherokee,Alabama,-85.6037937156,34.1759559677,549.3885969723280
1021,Chilton,Alabama,-86.718813672,32.847853212,591.1303568750820
1023,Choctaw,Alabama,-88.2632012743,32.0196107831,574.6034029896300
1025,Clarke,Alabama,-87.8308098507,31.6766595802,585.4682965418060
1027,Clay,Alabama,-85.8605470841,33.2690858673,576.8064133005630
1029,Cleburne,Alabama,-85.5187680028,33.6745577167,550.1215874983810
1031,Coffee,Alabama,-85.9882069262,31.4026271796,528.8314265345690
1033,Colbert,Alabama,-87.8049852867,34.7004337984,504.1589993145270
1035,Conecuh,Alabama,-86.9936742092,31.4292715445,533.2223573377830
1037,Coosa,Alabama,-86.2476592648,32.9362268304,526.9550093373690
1039,Covington,Alabama,-86.4512425439,31.2484923988,583.2615198616460
1041,Crenshaw,Alabama,-86.3135388959,31.7315001844,532.0244037360450
1043,Cullman,Alabama,-86.8676194614,34.1319410705,520.9312038421410
1045,Dale,Alabama,-85.6110368183,31.4318270699,550.9926805228960
1047,Dallas,Alabama,-87.1064763258,32.325973709,593.7467121125540
1049,DeKalb,Alabama,-85.8041426436,34.4597729557,546.4832641625150
1051,Elmore,Alabama,-86.1491465307,32.5966480504,571.4664264156680
1053,Escambia,Alabama,-87.1616198682,31.1261225461,592.073958880622
1055,Etowah,Alabama,-86.034762324,34.0452544,570.3732816431240
1057,Fayette,Alabama,-87.7388619701,33.7212061505,502.35881548126500
1059,Franklin,Alabama,-87.8438119782,34.4416706415,553.8642460027420
1061,Geneva,Alabama,-85.8389848955,31.095016693,503.3658624614310
1063,Greene,Alabama,-87.9522309156,32.8531388427,595.1555316739990
1065,Hale,Alabama,-87.6291176816,32.7626642246,571.0848380688540
1067,Henry,Alabama,-85.2414063367,31.5146944202,594.1591511160200
1069,Houston,Alabama,-85.3025273835,31.1531879718,526.9622547915780
1071,Jackson,Alabama,-85.9993005443,34.7794159964,552.1719816051900
1073,Jefferson,Alabama,-86.8963982424,33.5543385118,506.99134183635000
1075,Lamar,Alabama,-88.0968988585,33.7792058021,561.6887676321180
1077,Lauderdale,Alabama,-87.6539980067,34.901372384,545.0860690103080
1079,Lawrence,Alabama,-87.311044513,34.5216520166,570.3819214841540
1081,Lee,Alabama,-85.355562704,32.6011364841,552.687426273239
1083,Limestone,Alabama,-86.9813747654,34.8100783219,575.4329219911000
1085,Lowndes,Alabama,-86.6501076967,32.1547500095,505.65459757658300
1087,Macon,Alabama,-85.6926686622,32.3859736952,582.1888002642820
1089,Madison,Alabama,-86.5502065185,34.7630897031,563.6871772648500
1091,Marengo,Alabama,-87.7895192944,32.2476134122,575.8541838267990
1093,Marion,Alabama,-87.8871383639,34.1365496957,538.3021305636340
1095,Marshall,Alabama,-86.306636969,34.3669621021,598.2592124176410
1097,Mobile,Alabama,-88.1975233535,30.6851516211,572.2526523075870
1099,Monroe,Alabama,-87.3654375115,31.5708340246,594.4981248514600
