,FIPS,NAME,STATE,longitude,latitude,precipitation
0,1001,Autauga,Alabama,-86.642749235,32.5349201866,518.581170287085
1,1003,Baldwin,Alabama,-87.7498400784,30.6609696648,547.0417828419172
2,1005,Barbour,Alabama,-85.3931969755,31.8696032448,504.3696717826669
3,1007,Bibb,Alabama,-87.1264391014,32.9986442965,549.148666908289
4,1009,Blount,Alabama,-86.5673709608,33.9808673856,587.0060781682485
5,1011,Bullock,Alabama,-85.7156972254,32.1005542205,582.5355075008088
6,1013,Butler,Alabama,-86.6802892154,31.7524339429,557.2533652264995
7,1015,Calhoun,Alabama,-85.8260308543,33.7714324565,517.224420515497
8,1017,Chambers,Alabama,-85.3920429513,32.9143722298,599.4932152571232
9,1019,Cherokee,Alabama,-85.6037937156,34.1759559677,561.1763471253594
10,1021,Chilton,Alabama,-86.718813672,32.847853212,544.652856467699
11,1023,Choctaw,Alabama,-88.2632012743,32.0196107831,577.0089090662786
12,1025,Clarke,Alabama,-87.8308098507,31.6766595802,557.175279706694
13,1027,Clay,Alabama,-85.8605470841,33.2690858673,572.3301754532259
14,1029,Cleburne,Alabama,-85.5187680028,33.6745577167,598.7442957173187
15,1031,Coffee,Alabama,-85.9882069262,31.4026271796,504.89352001781464
16,1033,Colbert,Alabama,-87.8049852867,34.7004337984,511.01736807497326
17,1035,Conecuh,Alabama,-86.9936742092,31.4292715445,575.2918372939023
18,1037,Coosa,Alabama,-86.2476592648,32.9362268304,589.381357794975
19,1039,Covington,Alabama,-86.4512425439,31.2484923988,545.0869745575286
20,1041,Crenshaw,Alabama,-86.3135388959,31.7315001844,527.8131767707736
21,1043,Cullman,Alabama,-86.8676194614,34.1319410705,503.1412486119631
22,1045,Dale,Alabama,-85.6110368183,31.4318270699,573.3481244734544
23,1047,Dallas,Alabama,-87.1064763258,32.325973709,586.750525157432
24,1049,DeKalb,Alabama,-85.8041426436,34.4597729557,584.5214730847623
25,1051,Elmore,Alabama,-86.1491465307,32.5966480504,558.1289924930195
26,1053,Escambia,Alabama,-87.1616198682,31.1261225461,598.44439241014
27,1055,Etowah,Alabama,-86.034762324,34.0452544,554.8981475305548
28,1057,Fayette,Alabama,-87.7388619701,33.7212061505,520.3323770532862
29,1059,Franklin,Alabama,-87.8438119782,34.4416706415,521.819536294974
30,1061,Geneva,Alabama,-85.8389848955,31.095016693,565.0125496584999
31,1063,Greene,Alabama,-87.9522309156,32.8531388427,583.013980076678
32,1065,Hale,Alabama,-87.6291176816,32.7626642246,560.8555086887154
33,1067,Henry,Alabama,-85.2414063367,31.5146944202,535.2948797658656
34,1069,Houston,Alabama,-85.3025273835,31.1531879718,586.8609939016641
35,1071,Jackson,Alabama,-85.9993005443,34.7794159964,550.449119524929
36,1073,Jefferson,Alabama,-86.8963982424,33.5543385118,548.7441542698217
37,1075,Lamar,Alabama,-88.0968988585,33.7792058021,551.3226160614746
38,1077,Lauderdale,Alabama,-87.6539980067,34.901372384,585.567455938563
39,1079,Lawrence,Alabama,-87.311044513,34.5216520166,593.8417178469765
40,1081,Lee,Alabama,-85.355562704,32.6011364841,517.1991094458583
41,1083,Limestone,Alabama,-86.9813747654,34.8100783219,524.2928569798811
42,1085,Lowndes,Alabama,-86.6501076967,32.1547500095,566.327367551601
43,1087,Macon,Alabama,-85.6926686622,32.3859736952,576.9751219126334
44,1089,Madison,Alabama,-86.5502065185,34.7630897031,512.8477622819373
45,1091,Marengo,Alabama,-87.7895192944,32.2476134122,559.7850455145522
46,1093,Marion,Alabama,-87.8871383639,34.1365496957,514.131803139719
47,1095,Marshall,Alabama,-86.306636969,34.3669621021,565.3837472450019
48,1097,Mobile,Alabama,-88.1975233535,30.6851516211,508.42028444657916
49,1099,Monroe,Alabama,-87.3654375115,31.5708340246,504.14454128325673
50,1101,Montgomery,Alabama,-86.2076142923,32.2202579876,598.1811872464674
51,1103,Morgan,Alabama,-86.8529215684,34.453472028,530.4654497510867
52,1105,Perry,Alabama,-87.2944007854,32.6384656558,548.6338504715069
53,1107,Pickens,Alabama,-88.0886925942,33.2808768859,507.6308156861599
54,1109,Pike,Alabama,-85.9409081483,31.8027084904,585.7935440180803
55,1111,Randolph,Alabama,-85.4590701568,33.2937873448,542.5497893364352
56,1113,Russell,Alabama,-85.1849624464,32.2883800156,579.3322832370443
57,1117,Shelby,Alabama,-86.6606484037,33.2642770248,519.4562541940887
58,1119,Sumter,Alabama,-88.1987896089,32.5910175308,563.2209663481898
59,1121,Talladega,Alabama,-86.1659036872,33.3800616097,595.6758307520482
60,1123,Tallapoosa,Alabama,-85.7975022448,32.8624049426,592.395196163415
61,1125,Tuscaloosa,Alabama,-87.525029952,33.2895498464,552.5455971345776
62,1127,Walker,Alabama,-87.2973573971,33.8033347429,545.3834853682623
63,1129,Washington,Alabama,-88.2078768076,31.4076037932,501.1097088296958
64,1131,Wilcox,Alabama,-87.3082017869,31.9892401922,573.7869118374961
65,1133,Winston,Alabama,-87.3736834128,34.1492251125,512.8464685234835
66,2050,Bethel,Alaska,-160.195267975,60.8490903436,125.72710603541799
67,2068,Denali,Alaska,-150.011714676,63.6716419513,134.07471480653248
68,2070,Dillingham,Alaska,-158.348270189,59.7139951133,193.36594759994517
69,2100,Haines,Alaska,-135.470092205,59.0758951471,146.677869402994
70,2158,Kusilvak,Alaska,-163.525464784,62.160012711,195.56699714600546
71,2170,Matanuska-Susitna,Alaska,-149.580200458,62.3046703274,127.51822040565352
72,2180,Nome,Alaska,-164.244322616,64.8354505226,109.5229570059378
73,2195,Petersburg,Alaska,-133.002459292,57.1140130761,167.0017672693101
74,60010,Eastern,American Samoa,-170.627332642,-14.2674550886,126.34709833343084
75,60020,Manu'a,American Samoa,-169.53673492,-14.2084357923,109.51641592195597
76,60050,Western,American Samoa,-170.784527256,-14.3355554126,136.42924951386325
77,4001,Apache,Arizona,-109.488828707,35.3955080611,19.094020630429654
78,4003,Cochise,Arizona,-109.751263137,31.8796370864,20.157526882139262
79,4005,Coconino,Arizona,-111.770512718,35.8386956734,27.843721477697454
80,4007,Gila,Arizona,-110.811737097,33.7997498678,18.69488545010718
81,4009,Graham,Arizona,-109.887451628,32.9326627045,8.48605133346721
82,4011,Greenlee,Arizona,-109.240355413,33.2154016682,12.237585852576126
83,4013,Maricopa,Arizona,-112.491486812,33.3489778227,0.8214092162756514
84,4015,Mohave,Arizona,-113.757910618,35.7040584995,156.23882563794209
