,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIPS,NAME,STATE,longitude,latitude,precipitation
0,0,0,0,0,0,1001,Autauga,Alabama,-86.642749235,32.5349201866,445.6730357921465
1,1,1,1,1,1,1003,Baldwin,Alabama,-87.7498400784,30.6609696648,302.63569465019435
2,2,2,2,2,2,1005,Barbour,Alabama,-85.3931969755,31.8696032448,451.31662398820396
3,3,3,3,3,3,1007,Bibb,Alabama,-87.1264391014,32.9986442965,200.42278087183328
4,4,4,4,4,4,1009,Blount,Alabama,-86.5673709608,33.9808673856,429.8488924174234
5,5,5,5,5,5,1011,Bullock,Alabama,-85.7156972254,32.1005542205,413.65435221567736
6,6,6,6,6,6,1013,Butler,Alabama,-86.6802892154,31.7524339429,212.65527192241552
7,7,7,7,7,7,1015,Calhoun,Alabama,-85.8260308543,33.7714324565,247.98442752508765
8,8,8,8,8,8,1017,Chambers,Alabama,-85.3920429513,32.9143722298,390.2658149559647
9,9,9,9,9,9,1019,Cherokee,Alabama,-85.6037937156,34.1759559677,406.49894867217847
10,10,10,10,10,10,1021,Chilton,Alabama,-86.718813672,32.847853212,397.2394495457526
11,11,11,11,11,11,1023,Choctaw,Alabama,-88.2632012743,32.0196107831,329.54826232023663
12,12,12,12,12,12,1025,Clarke,Alabama,-87.8308098507,31.6766595802,218.65210547601265
13,13,13,13,13,13,1027,Clay,Alabama,-85.8605470841,33.2690858673,262.3123151056161
14,14,14,14,14,14,1029,Cleburne,Alabama,-85.5187680028,33.6745577167,343.0959497849914
15,15,15,15,15,15,1031,Coffee,Alabama,-85.9882069262,31.4026271796,369.2801900474493
16,16,16,16,16,16,1033,Colbert,Alabama,-87.8049852867,34.7004337984,206.48839064223364
17,17,17,17,17,17,1035,Conecuh,Alabama,-86.9936742092,31.4292715445,446.82477903001643
18,18,18,18,18,18,1037,Coosa,Alabama,-86.2476592648,32.9362268304,219.58736282720352
19,19,19,19,19,19,1039,Covington,Alabama,-86.4512425439,31.2484923988,444.128325449293
20,20,20,20,20,20,1041,Crenshaw,Alabama,-86.3135388959,31.7315001844,275.2013558239566
