,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIPS,NAME,STATE,longitude,latitude,precipitation
0,0,0,0,1001,Autauga,Alabama,-86.642749235,32.5349201866,590.6130959183251
1,1,1,1,1003,Baldwin,Alabama,-87.7498400784,30.6609696648,572.3233808610105
2,2,2,2,1005,Barbour,Alabama,-85.3931969755,31.8696032448,548.5654588526205
3,3,3,3,1007,Bibb,Alabama,-87.1264391014,32.9986442965,576.9740855231836
4,4,4,4,1009,Blount,Alabama,-86.5673709608,33.9808673856,545.2176238129217
5,5,5,5,1011,Bullock,Alabama,-85.7156972254,32.1005542205,533.6833167832253
6,6,6,6,1013,Butler,Alabama,-86.6802892154,31.7524339429,584.9832143218491
7,7,7,7,1015,Calhoun,Alabama,-85.8260308543,33.7714324565,524.6188986615857
8,8,8,8,1017,Chambers,Alabama,-85.3920429513,32.9143722298,583.4612018257129
9,9,9,9,1019,Cherokee,Alabama,-85.6037937156,34.1759559677,549.3885969723284
10,10,10,10,1021,Chilton,Alabama,-86.718813672,32.847853212,591.1303568750819
11,11,11,11,1023,Choctaw,Alabama,-88.2632012743,32.0196107831,574.6034029896298
12,12,12,12,1025,Clarke,Alabama,-87.8308098507,31.6766595802,585.4682965418059
13,13,13,13,1027,Clay,Alabama,-85.8605470841,33.2690858673,576.8064133005627
14,14,14,14,1029,Cleburne,Alabama,-85.5187680028,33.6745577167,550.1215874983806
15,15,15,15,1031,Coffee,Alabama,-85.9882069262,31.4026271796,528.8314265345689
16,16,16,16,1033,Colbert,Alabama,-87.8049852867,34.7004337984,504.1589993145267
17,17,17,17,1035,Conecuh,Alabama,-86.9936742092,31.4292715445,533.2223573377825
18,18,18,18,1037,Coosa,Alabama,-86.2476592648,32.9362268304,526.9550093373693
19,19,19,19,1039,Covington,Alabama,-86.4512425439,31.2484923988,583.2615198616463
20,20,20,20,1041,Crenshaw,Alabama,-86.3135388959,31.7315001844,532.0244037360452
21,21,21,21,1043,Cullman,Alabama,-86.8676194614,34.1319410705,520.9312038421406
22,22,22,22,1045,Dale,Alabama,-85.6110368183,31.4318270699,550.9926805228957
23,23,23,23,1047,Dallas,Alabama,-87.1064763258,32.325973709,593.7467121125535
24,24,24,24,1049,DeKalb,Alabama,-85.8041426436,34.4597729557,546.4832641625148
25,25,25,25,1051,Elmore,Alabama,-86.1491465307,32.5966480504,571.4664264156683
26,26,26,26,1053,Escambia,Alabama,-87.1616198682,31.1261225461,592.073958880622
27,27,27,27,1055,Etowah,Alabama,-86.034762324,34.0452544,570.3732816431236
28,28,28,28,1057,Fayette,Alabama,-87.7388619701,33.7212061505,502.35881548126497
29,29,29,29,1059,Franklin,Alabama,-87.8438119782,34.4416706415,553.8642460027418
30,30,30,30,1061,Geneva,Alabama,-85.8389848955,31.095016693,503.3658624614305
31,31,31,31,1063,Greene,Alabama,-87.9522309156,32.8531388427,595.1555316739993
32,32,32,32,1065,Hale,Alabama,-87.6291176816,32.7626642246,571.0848380688541
33,33,33,33,1067,Henry,Alabama,-85.2414063367,31.5146944202,594.1591511160204
34,34,34,34,1069,Houston,Alabama,-85.3025273835,31.1531879718,526.9622547915782
35,35,35,35,1071,Jackson,Alabama,-85.9993005443,34.7794159964,552.1719816051896
36,36,36,36,1073,Jefferson,Alabama,-86.8963982424,33.5543385118,506.99134183635016
37,37,37,37,1075,Lamar,Alabama,-88.0968988585,33.7792058021,561.6887676321182
38,38,38,38,1077,Lauderdale,Alabama,-87.6539980067,34.901372384,545.0860690103076
39,39,39,39,1079,Lawrence,Alabama,-87.311044513,34.5216520166,570.3819214841537
40,40,40,40,1081,Lee,Alabama,-85.355562704,32.6011364841,552.687426273239
41,41,41,41,1083,Limestone,Alabama,-86.9813747654,34.8100783219,575.4329219910995
42,42,42,42,1085,Lowndes,Alabama,-86.6501076967,32.1547500095,505.6545975765829
43,43,43,43,1087,Macon,Alabama,-85.6926686622,32.3859736952,582.1888002642817
44,44,44,44,1089,Madison,Alabama,-86.5502065185,34.7630897031,563.6871772648498
45,45,45,45,1091,Marengo,Alabama,-87.7895192944,32.2476134122,575.8541838267994
46,46,46,46,1093,Marion,Alabama,-87.8871383639,34.1365496957,538.3021305636339
47,47,47,47,1095,Marshall,Alabama,-86.306636969,34.3669621021,598.2592124176413
48,48,48,48,1097,Mobile,Alabama,-88.1975233535,30.6851516211,572.2526523075873
49,49,49,49,1099,Monroe,Alabama,-87.3654375115,31.5708340246,594.4981248514598
50,50,50,50,1101,Montgomery,Alabama,-86.2076142923,32.2202579876,599.983860194644
51,51,51,51,1103,Morgan,Alabama,-86.8529215684,34.453472028,564.7821277253156
52,52,52,52,1105,Perry,Alabama,-87.2944007854,32.6384656558,546.6523629616031
53,53,53,53,1107,Pickens,Alabama,-88.0886925942,33.2808768859,596.4949840136126
54,54,54,54,1109,Pike,Alabama,-85.9409081483,31.8027084904,592.9194791515366
55,55,55,55,1111,Randolph,Alabama,-85.4590701568,33.2937873448,526.7326737530752
56,56,56,56,1113,Russell,Alabama,-85.1849624464,32.2883800156,516.3702269991711
57,57,57,57,1115,St.,Alabama,,,154.1919330677818
58,58,58,58,1117,Shelby,Alabama,-86.6606484037,33.2642770248,507.5974866548117
59,59,59,59,1119,Sumter,Alabama,-88.1987896089,32.5910175308,549.099093288686
60,60,60,60,1121,Talladega,Alabama,-86.1659036872,33.3800616097,539.7853166653991
61,61,61,61,1123,Tallapoosa,Alabama,-85.7975022448,32.8624049426,515.4069355419274
62,62,62,62,1125,Tuscaloosa,Alabama,-87.525029952,33.2895498464,541.2769700194871
63,63,63,63,1127,Walker,Alabama,-87.2973573971,33.8033347429,553.7497598040485
64,64,64,64,1129,Washington,Alabama,-88.2078768076,31.4076037932,595.216393329507
65,65,65,65,1131,Wilcox,Alabama,-87.3082017869,31.9892401922,581.546973614849
