year, temp,temp
1880,,-0.96
1881,,0.56
1882,,0.37
1883,,-0.88
1884,,0.61
1885,,-0.66
1886,,-0.64
1887,,-0.31
1888,,-0.89
1889,,0.16
1890,,-0.47
1891,,0.5
1892,,-0.05
1893,,0.82
1894,,0.22
1895,,-0.71
1896,,0.7
1897,,-0.45
1898,,0.21
1899,,-0.46
1900,,-0.08
1901,,-0.87
1902,,0.08
1903,,-0.45
1904,,-0.1
1905,,0.44
1906,,0.39
1907,,-0.18
1908,,0.66
1909,,0.7
1910,,-0.48
1911,,-0.59
1912,,0.07
1913,,0.61
1914,,0.35
1915,,-0.67
1916,,0.2
1917,,0.98
1918,,-0.39
1919,,0.76
1920,,-0.54
1921,,-0.7
1922,,0.21
1923,,-0.39
1924,,0.66
1925,,-0.86
1926,,0.37
1927,,0.93
1928,,-0.45
1929,,0.35
1930,,-0.53
1931,,0.98
1932,,-0.07
1933,,0.51
1934,,-0.39
1935,,0.64
1936,,0.87
1937,,0.31
1938,,0.93
1939,,0.14
1940,,0.4
1941,,-0.92
1942,,-0.71
1943,,0.04
1944,,-0.8
1945,,0.18
1946,,-0.26
1947,,0.55
1948,,-0.57
1949,,-0.98
1950,,-0.15
1951,,-0.14
1952,,0.65
1953,,-0.74
1954,,-0.09
1955,,0.39
1956,,0.65
1957,,0.52
1958,,-0.86
1959,,0.62
1960,,0.77
1961,,-0.75
1962,,-0.04
1963,,0.51
1964,,0.94
1965,,-0.96
1966,,-0.79
1967,,-0.58
1968,,0.61
1969,,0.88
1970,,-0.54
1971,,-0.28
1972,,-0.84
1973,,0.46
1974,,-0.29
1975,,-0.09
1976,,-0.28
1977,,0.16
1978,,0.7
1979,,-0.98
1980,,-0.47
1981,,-0.41
1982,,0.77
1983,,0.63
1984,,0.85
1985,,-0.23
1986,,-0.04
1987,,-0.35
1988,,-0.08
1989,,-0.23
1990,,-0.05
1991,,0.08
1992,,0.03
1993,,0.44
1994,,-0.59
1995,,-0.53
1996,,-0.32
1997,,-0.19
1998,,-0.76
1999,,0.49
