Country,Percentage,Year
Canada,67.1500015258789,1991
Germany,58.0400009155273,1991
Denmark,68.120002746582,1991
France,55.8499984741211,1991
Jordan,40.068000793457,1991
Japan,63.2999992370605,1991
United States,65.4550018310547,1991
Canada,66.5800018310547,1992
Germany,59.4199981689453,1992
Denmark,67.8300018310547,1992
France,55.4099998474121,1992
Jordan,40.3940010070801,1992
Japan,63.7999992370605,1992
United States,65.1510009765625,1992
Canada,65.6999969482422,1993
Germany,58.7299995422363,1993
Denmark,68.1100006103516,1993
France,55.560001373291,1993
Jordan,39.9720001220703,1993
Japan,64,1993
United States,65.4540023803711,1993
Canada,65.3399963378906,1994
Germany,58.310001373291,1994
Denmark,67.370002746582,1994
France,55.5499992370605,1994
Jordan,40.1419982910156,1994
Japan,63.7999992370605,1994
United States,65.318000793457,1994
Canada,65.1600036621094,1995
Germany,58.1599998474121,1995
Denmark,64.379997253418,1995
France,55.4799995422363,1995
Jordan,40.2700004577637,1995
Japan,63.5999984741211,1995
United States,65.6579971313477,1995
Canada,64.8199996948242,1996
Germany,57.7200012207031,1996
Denmark,64.6100006103516,1996
France,55.439998626709,1996
Jordan,40.3110008239746,1996
Japan,63.4000015258789,1996
United States,65.7330017089844,1996
Canada,64.6699981689453,1997
Germany,57.6100006103516,1997
Denmark,65.1999969482422,1997
France,55.7700004577637,1997
Jordan,40.3759994506836,1997
Japan,63.5,1997
United States,65.8840026855469,1997
Canada,64.870002746582,1998
Germany,57.6699981689453,1998
Denmark,65.4400024414063,1998
France,55.4500007629395,1998
Jordan,40.3660011291504,1998
Japan,63.7000007629395,1998
United States,66.1949996948242,1998
Canada,65.129997253418,1999
Germany,57.6800003051758,1999
Denmark,65.1800003051758,1999
France,55.4599990844727,1999
Jordan,40.3580017089844,1999
Japan,63.2999992370605,1999
United States,66.0859985351563,1999
Canada,65.5299987792969,2000
Germany,57.8699989318848,2000
Denmark,65.8000030517578,2000
France,55.75,2000
Jordan,40.3199996948242,2000
Japan,62.9000015258789,2000
United States,66.0999984741211,2000
Canada,65.9100036621094,2001
Germany,57.4799995422363,2001
Denmark,65.1500015258789,2001
France,55.5,2001
Jordan,40.117000579834,2001
Japan,61.9900016784668,2001
United States,65.8379974365234,2001
Canada,66.8600006103516,2002
Germany,57.2700004577637,2002
Denmark,65.6399993896484,2002
France,55.7200012207031,2002
Jordan,39.9710006713867,2002
Japan,61.2299995422363,2002
United States,65.5930023193359,2002
Canada,67.5599975585938,2003
Germany,57.3199996948242,2003
Denmark,65.4800033569336,2003
France,56.4099998474121,2003
Jordan,39.9150009155273,2003
Japan,60.7700004577637,2003
United States,65.2360000610352,2003
Canada,67.4899978637695,2004
Germany,56.8699989318848,2004
Denmark,65.9300003051758,2004
France,56.25,2004
Jordan,39.6699981689453,2004
Japan,60.4199981689453,2004
United States,64.9729995727539,2004
Canada,67.1399993896484,2005
Germany,58.4199981689453,2005
Denmark,65.6500015258789,2005
France,56.2400016784668,2005
Jordan,39.4659996032715,2005
Japan,60.4199981689453,2005
United States,65,2005
Canada,67.0199966430664,2006
Germany,58.9599990844727,2006
Denmark,65.9300003051758,2006
France,56.1500015258789,2006
Jordan,39.2830009460449,2006
Japan,60.4199981689453,2006
United States,65.120002746582,2006
Canada,67.4899978637695,2007
Germany,56.8699989318848,2007
Denmark,65.9300003051758,2007
France,56.25,2007
Jordan,39.6699981689453,2007
Japan,60.4199981689453,2007
United States,64.9729995727539,2007
Canada,67.1399993896484,2008
Germany,58.4199981689453,2008
Denmark,65.6500015258789,2008
France,56.2400016784668,2008
Jordan,39.4659996032715,2008
Japan,60.4199981689453,2008
United States,65,2008
Canada,67.0199966430664,2009
Germany,58.9599990844727,2009
Denmark,65.9300003051758,2009
France,56.1500015258789,2009
Jordan,39.2830009460449,2009
Japan,60.4199981689453,2009
United States,65.120002746582,2009
Canada,67.4400024414063,2010
Germany,59.1500015258789,2010
Denmark,65.7099990844727,2010
France,56.2799987792969,2010
Jordan,39.1220016479492,2010
Japan,60.3899993896484,2010
United States,64.9729995727539,2010
Canada,67.5599975585938,2011
Germany,59.2400016784668,2011
Denmark,65.0800018310547,2011
France,56.3699989318848,2011
Jordan,39.0250015258789,2011
Japan,60.1599998474121,2011
United States,64.9240036010742,2011
Canada,67.0899963378906,2012
Germany,59.3899993896484,2012
Denmark,64.3899993896484,2012
France,56.5800018310547,2012
Jordan,39.0289993286133,2012
Japan,59.8600006103516,2012
United States,64.2939987182617,2012
Canada,66.9100036621094,2013
Germany,59.3699989318848,2013
Denmark,63.5,2013
France,56.5099983215332,2013
Jordan,39.201000213623,2013
Japan,59.5800018310547,2013
United States,63.6520004272461,2013
Canada,66.7099990844727,2014
Germany,60.0900001525879,2014
Denmark,63.0499992370605,2014
France,56.2599983215332,2014
Jordan,39.3689994812012,2014
Japan,59.25,2014
United States,63.0699996948242,2014
Canada,66.5,2015
Germany,60.0699996948242,2015
Denmark,62.310001373291,2015
France,56.4700012207031,2015
Jordan,39.5429992675781,2015
Japan,59.0099983215332,2015
United States,62.7210006713867,2015
Canada,66.4599990844727,2016
Germany,60.3499984741211,2016
Denmark,61.4199981689453,2016
France,56.439998626709,2016
Jordan,39.7039985656738,2016
Japan,59.2999992370605,2016
United States,62.2900009155273,2016
Canada,65.9899978637695,2017
Germany,60.4099998474121,2017
Denmark,61.2599983215332,2017
France,56.1100006103516,2017
Jordan,39.8320007324219,2017
Japan,59.4000015258789,2017
United States,61.9370002746582,2017
Canada,65.8399963378906,2018
Germany,60.1699981689453,2018
Denmark,61.3199996948242,2018
France,56.0099983215332,2018
Jordan,39.9729995727539,2018
Japan,59.5999984741211,2018
United States,61.7229995727539,2018
Canada,65.7099990844727,2019
Germany,61.0099983215332,2019
Denmark,61.6500015258789,2019
France,55.8199996948242,2019
Jordan,40.0970001220703,2019
Japan,60,2019
United States,61.8610000610352,2019
Canada,65.7600021362305,2020
Germany,61.2099990844727,2020
Denmark,61.7200012207031,2020
France,55.6399993896484,2020
Jordan,40.189998626709,2020
Japan,60.5,2020
United States,61.9370002746582,2020
