State,Value,Category,Date,,,
Vermont,3269,Cases,May 10,,,
Vermont,3739,Cases,May 11,,,
Vermont,4727,Cases,May 12,,,
Vermont,4208,Cases,May 13,,,
Vermont,4363,Cases,May 14,,,
Vermont,3192,Cases,May 15,,,
Vermont,4543,Cases,May 16,,,
Vermont,1582,Hospitalization,May 10,,,
Vermont,1666,Hospitalization,May 11,,,
Vermont,1174,Hospitalization,May 12,,,
Vermont,1165,Hospitalization,May 13,,,
Vermont,1993,Hospitalization,May 14,,,
Vermont,2000,Hospitalization,May 15,,,
Vermont,1308,Hospitalization,May 16,,,
Vermont,548,Deaths,May 10,,,
Vermont,702,Deaths,May 11,,,
Vermont,850,Deaths,May 12,,,
Vermont,857,Deaths,May 13,,,
Vermont,925,Deaths,May 14,,,
Vermont,850,Deaths,May 15,,,
Vermont,549,Deaths,May 16,,,
Rhode Island,3226,Cases,May 10,,,
Rhode Island,4653,Cases,May 11,,,
Rhode Island,3078,Cases,May 12,,,
Rhode Island,3666,Cases,May 13,,,
Rhode Island,3370,Cases,May 14,,,
Rhode Island,4760,Cases,May 15,,,
Rhode Island,3782,Cases,May 16,,,
Rhode Island,1113,Hospitalization,May 10,,,
Rhode Island,1312,Hospitalization,May 11,,,
Rhode Island,1383,Hospitalization,May 12,,,
Rhode Island,1006,Hospitalization,May 13,,,
Rhode Island,1614,Hospitalization,May 14,,,
Rhode Island,1697,Hospitalization,May 15,,,
Rhode Island,1131,Hospitalization,May 16,,,
Rhode Island,596,Deaths,May 10,,,
Rhode Island,952,Deaths,May 11,,,
Rhode Island,748,Deaths,May 12,,,
Rhode Island,543,Deaths,May 13,,,
Rhode Island,607,Deaths,May 14,,,
Rhode Island,770,Deaths,May 15,,,
Rhode Island,992,Deaths,May 16,,,
New York,4371,Cases,May 10,,,
New York,3164,Cases,May 11,,,
New York,3833,Cases,May 12,,,
New York,3420,Cases,May 13,,,
New York,3072,Cases,May 14,,,
New York,3142,Cases,May 15,,,
New York,3272,Cases,May 16,,,
New York,1927,Hospitalization,May 10,,,
New York,1944,Hospitalization,May 11,,,
New York,1862,Hospitalization,May 12,,,
New York,1409,Hospitalization,May 13,,,
New York,1960,Hospitalization,May 14,,,
New York,1578,Hospitalization,May 15,,,
New York,1768,Hospitalization,May 16,,,
New York,986,Deaths,May 10,,,
New York,617,Deaths,May 11,,,
New York,699,Deaths,May 12,,,
New York,609,Deaths,May 13,,,
New York,569,Deaths,May 14,,,
New York,968,Deaths,May 15,,,
New York,967,Deaths,May 16,,,
