State,Value,Category,Date
Marion County,4310,Cases,January
Marion County,3926,Cases,February
Marion County,4116,Cases,March
Marion County,4411,Cases,April
Marion County,4063,Cases,May
Marion County,4431,Cases,June
Marion County,4018,Cases,July
Marion County,4118,Cases,August
Marion County,4036,Cases,September
Marion County,4285,Cases,October
Marion County,4292,Cases,November
Marion County,4140,Cases,December
Marion County,1981,Hospitalization,January
Marion County,2010,Hospitalization,February
Marion County,1758,Hospitalization,March
Marion County,2058,Hospitalization,April
Marion County,1993,Hospitalization,May
Marion County,1642,Hospitalization,June
Marion County,1858,Hospitalization,July
Marion County,1620,Hospitalization,August
Marion County,1646,Hospitalization,September
Marion County,1544,Hospitalization,October
Marion County,2095,Hospitalization,November
Marion County,2027,Hospitalization,December
Marion County,953,Deaths,January
Marion County,500,Deaths,February
Marion County,799,Deaths,March
Marion County,577,Deaths,April
Marion County,591,Deaths,May
Marion County,719,Deaths,June
Marion County,532,Deaths,July
Marion County,528,Deaths,August
Marion County,929,Deaths,September
Marion County,894,Deaths,October
Marion County,889,Deaths,November
Marion County,833,Deaths,December
Grant County,4172,Cases,January
Grant County,4215,Cases,February
Grant County,4131,Cases,March
Grant County,3959,Cases,April
Grant County,3915,Cases,May
Grant County,4311,Cases,June
Grant County,4275,Cases,July
Grant County,4111,Cases,August
Grant County,4430,Cases,September
Grant County,4064,Cases,October
Grant County,4199,Cases,November
Grant County,4077,Cases,December
Grant County,1793,Hospitalization,January
Grant County,1858,Hospitalization,February
Grant County,1601,Hospitalization,March
Grant County,1747,Hospitalization,April
Grant County,1670,Hospitalization,May
Grant County,2076,Hospitalization,June
Grant County,1636,Hospitalization,July
Grant County,1717,Hospitalization,August
Grant County,1750,Hospitalization,September
Grant County,1995,Hospitalization,October
Grant County,1968,Hospitalization,November
Grant County,1827,Hospitalization,December
Grant County,970,Deaths,January
Grant County,943,Deaths,February
Grant County,767,Deaths,March
Grant County,716,Deaths,April
Grant County,805,Deaths,May
Grant County,667,Deaths,June
Grant County,762,Deaths,July
Grant County,580,Deaths,August
Grant County,752,Deaths,September
Grant County,818,Deaths,October
Grant County,570,Deaths,November
Grant County,648,Deaths,December
Francis County,4346,Cases,January
Francis County,4316,Cases,February
Francis County,4120,Cases,March
Francis County,4323,Cases,April
Francis County,3931,Cases,May
Francis County,3922,Cases,June
Francis County,4003,Cases,July
Francis County,3964,Cases,August
Francis County,4082,Cases,September
Francis County,3920,Cases,October
Francis County,4202,Cases,November
Francis County,3966,Cases,December
Francis County,1681,Hospitalization,January
Francis County,1908,Hospitalization,February
Francis County,1620,Hospitalization,March
Francis County,1792,Hospitalization,April
Francis County,1886,Hospitalization,May
Francis County,1771,Hospitalization,June
Francis County,1881,Hospitalization,July
Francis County,1838,Hospitalization,August
Francis County,2042,Hospitalization,September
Francis County,1772,Hospitalization,October
Francis County,1568,Hospitalization,November
Francis County,1972,Hospitalization,December
Francis County,1000,Deaths,January
Francis County,873,Deaths,February
Francis County,951,Deaths,March
Francis County,593,Deaths,April
Francis County,859,Deaths,May
Francis County,843,Deaths,June
Francis County,516,Deaths,July
Francis County,561,Deaths,August
Francis County,890,Deaths,September
Francis County,579,Deaths,October
Francis County,833,Deaths,November
Francis County,688,Deaths,December
