Name,Latitude,Longitude,Text,Text2,,
"Capitol Reef National Park, UT, USA",38.089600,-111.149910,🌲,🦌,UT,
"Pinnacles National Park, CA, USA",36.491508,-121.197243,🌲,🦌,CA,
"Rocky Mountain National Park, CO, USA",40.343182,-105.688103,🌲,🦌,CO,
"Steller Sea Lion Protection Area, AL, the US",57.466667,-153.433334,🌲,🦌,AL,
"Danville Conservation Area, New Florence, MO, USA",38.865097,-91.504852,🌲,🦌,MO,
"Sand Harbor State Park, Incline Village, NV, USA",39.198364,-119.930984,🌲,🦌,NV,
"White Sands National Park, NM, the US",32.779720,-106.171669,🌲,🦌,NM,
"Jackson Hole, WY, USA",43.582767,-110.821999,🌲,🦌,WY,
"Mojave National Preserve, Kelso, CA, USA",35.141689,-115.510399,🌲,🦌,CA,
"Joshua Tree National Park, California, USA",33.881866,-115.900650,🌲,🦌,CA,
"Buffalo National River, St Joe, AR, USA",35.985512,-92.757652,🌲,🦌,AR,
"Hot Springs National Park, Hot Springs, AR, USA",34.521530,-93.042267,🌲,🦌,AR,
"Kartchner Caverns State Park, Benson, AZ, USA",31.837551,-110.347382,🌲,🦌,AZ,
"Navajo Nation Reservation, New Mexico, USA",36.075321,-109.196930,🌲,🦌,NM,
"Sipsey Wilderness, Mt Hope, AL, USA",34.332035,-87.434799,🌲,🦌,AL,
"Wrangell-St. Elias National Park & Preserve, Alaska, USA",61.710445,-142.985687,🌲,🦌,AK,
"Lake Clark National Park and Preserve, Port Alsworth, AK, USA",60.412697,-154.323502,🌲,🦌,AK,
"Katmai National Park and Preserve, King Salmon, AK, USA",58.597813,-154.693756,🌲,🦌,AK,
"Glacier Bay National Park and Preserve, Alaska, USA",58.665806,-136.900208,🌲,🦌,AK,
"Turtle Mountain, ND, USA",48.852882,-99.803535,🌲,🦌,ND,
"Odiorne Point State Park, Rye, NH, USA",43.049023,-70.720192,🌲,🦌,NH,
"Channel Islands National Park, Ventura, CA, USA",33.998028,-119.772949,🌲,🦌,CA,
"Maplewood State Park, Pelican Rapids, MN, USA",46.520966,-95.951576,🌲,🦌,MN,
"Bear Butte State Park, Sturgis, SD, USA",44.475296,-103.424309,🌲,🦌,SD,
"Okefenokee National Wildlife Refuge, Folkston, GA, USA",30.773230,-82.292732,🌲,🦌,GA,
"Denali National Park and Preserve, Alaska, USA",63.129887,-151.197418,🌲,🦌,AK,
"Acadia National Park, Maine, USA",44.338974,-68.273430,🌲,🦌,MA,
"Topanga State Park, Topanga, CA, USA",34.093182,-118.587318,🌲,🦌,CA,
"Gates of the Arctic National Park and Preserve, AK, USA",67.915199,-153.463730,🌲,🦌,AK,
"Kaloko-Honokōhau National Historical Park, Kailua-Kona, HI, USA",19.678328,-156.020477,🌲,🦌,HI,
"Pedernales Falls State Park, Johnson City, TX, USA",30.308069,-98.257729,🌲,🦌,TX,
"Whiskeytown National Recreation Area, Whiskeytown, CA, USA",40.633495,-122.564247,🌲,🦌,CA,
"Mesa Verde National Park, Mesa Verde, CO, USA",37.230873,-108.461838,🌲,🦌,CO,
"Arches National Park, Utah, USA",38.733082,-109.592514,🌲,🦌,UT,
"Mount Rainier National Park, Washington, USA",46.879967,-121.726906,🌲,🦌,WA,
"Kenai Fjords National Park, Alaska, USA",60.043777,-149.816360,🌲,🦌,AK,
"Anahuac National Wildlife Refuge, Anahuac, TX, USA",29.610300,-94.449081,🌲,🦌,TX,
"Bandelier National Monument, Los Alamos, NM, USA",35.767288,-106.311607,🌲,🦌,NM,
"Summit Bechtel Reserve, Glen Jean, WV, USA",37.916035,-81.123047,🌲,🦌,WV,
"Yellowstone National Park, WY, USA",44.427895,-110.588379,🌲,🦌,WY,
"Rothrock State Forest, State College, PA, USA",40.720585,-77.826965,🌲,🦌,PA,
"Great Smoky Mountains National Park, Tennessee, USA",35.611763,-83.489548,🌲,🦌,TN,
