,class,value
0,D,116.19
1,B,52.589999999999975
2,C,82.19
3,A,84.71000000000001
4,D,117.19
5,D,103.36
6,C,106.78999999999999
7,D,28.0
8,C,51.389999999999986
9,D,92.71000000000001
10,A,20.310000000000002
11,C,85.0
12,C,103.75
13,C,64.79000000000002
14,D,114.91
15,D,34.70999999999998
16,D,62.359999999999985
17,D,-13.0
18,A,56.389999999999986
19,C,74.0
20,C,31.79000000000002
21,B,0.0
22,A,98.35999999999999
23,D,91.50999999999999
24,D,29.75
25,C,19.79000000000002
26,A,99.44
27,A,52.44
28,D,34.589999999999975
29,D,59.359999999999985
30,D,64.91
31,D,95.99000000000001
32,A,95.99000000000001
33,B,85.0
34,C,70.58999999999997
35,D,61.99000000000001
36,C,95.84
37,D,72.96000000000001
38,B,107.03999999999999
39,A,89.63999999999999
40,C,122.31
41,C,110.0
42,A,65.24000000000001
43,B,98.84
44,A,1.9599999999999795
45,C,104.03999999999999
46,B,91.24000000000001
47,A,64.75
48,B,28.189999999999998
49,A,105.31
50,B,90.10999999999999
51,B,111.0
52,B,110.16
53,C,80.63999999999999
54,D,52.75999999999999
55,C,35.360000000000014
56,A,21.189999999999998
57,A,81.96000000000001
58,D,53.31
59,A,66.91
60,A,70.35999999999999
61,D,90.31
62,D,92.38999999999999
63,D,57.0
64,C,83.91
65,B,89.64
66,C,85.84
67,D,93.0
68,A,31.70999999999998
69,A,2.990000000000009
70,D,83.50999999999999
71,C,78.44
72,C,117.16
73,A,116.16
74,C,109.56
75,B,97.31
76,A,60.24000000000001
77,A,118.10999999999999
78,B,78.0
79,B,123.99
80,C,86.11
81,D,90.91
82,A,98.03999999999999
83,C,-2.0
84,D,117.51
85,C,36.19
86,C,71.50999999999999
87,C,81.71000000000001
88,A,25.50999999999999
89,B,95.63999999999999
90,D,17.560000000000002
91,C,27.189999999999998
92,C,79.0
93,A,105.59
94,A,105.91
95,D,15.95999999999998
96,D,73.96000000000001
97,B,16.75
98,A,82.71000000000001
99,C,33.75
100,A,91.99
101,D,114.56
