class,value,x
A,87.44,116.0
D,19.51000000000000,193.0
D,109.19,91.0
C,80.71000000000000,123.0
C,63.390000000000000,169.0
A,86.64,106.0
A,90.64,106.0
C,55.590000000000000,171.0
A,88.0,120.0
D,91.96000000000000,152.0
A,111.39000000000000,119.0
C,75.79000000000000,139.0
D,29.24000000000000,174.0
B,97.0,130.0
A,108.11000000000000,133.0
B,11.640000000000000,194.0
A,59.76000000000000,168.0
A,63.44,166.0
D,63.75,155.0
A,83.71000000000000,123.0
D,49.0,170.0
D,12.0,200.0
D,106.75,135.0
B,21.390000000000000,181.0
B,83.56,112.0
D,96.31,87.0
D,55.590000000000000,171.0
A,113.11000000000000,117.0
B,105.24000000000000,124.0
A,61.04000000000000,164.0
B,53.590000000000000,171.0
B,107.56,112.0
B,95.0,140.0
D,42.04000000000000,186.0
A,13.75,185.0
D,43.75,185.0
A,99.75,105.0
D,99.75,105.0
B,-4.360000000000010,194.0
B,71.36000000000000,158.0
A,74.44,166.0
D,43.04000000000000,186.0
D,86.99000000000000,149.0
B,101.64,94.0
C,76.64000000000000,144.0
C,46.71000000000000,177.0
A,95.19,91.0
B,44.79000000000000,189.0
B,72.19,141.0
C,104.19,141.0
A,61.71000000000000,173.0
D,66.16000000000000,172.0
A,49.16000000000000,178.0
D,29.640000000000000,194.0
A,64.75,155.0
D,102.16,122.0
A,8.360000000000010,192.0
A,85.39000000000000,131.0
A,97.84,104.0
C,89.76000000000000,132.0
C,47.44,166.0
D,116.11000000000000,117.0
D,16.79000000000000,189.0
A,25.71000000000000,177.0
A,90.96,98.0
B,15.360000000000000,192.0
C,102.84,104.0
D,63.96000000000000,152.0
B,19.190000000000000,191.0
A,106.44,134.0
C,13.910000000000000,197.0
A,112.39000000000000,119.0
D,115.75,115.0
A,118.96,102.0
A,74.76000000000000,132.0
C,111.76000000000000,132.0
D,95.11,83.0
D,28.640000000000000,194.0
D,27.0,180.0
C,81.0,130.0
D,101.96,102.0
D,95.84,104.0
B,24.110000000000000,183.0
C,83.75,85.0
C,65.64000000000000,156.0
C,117.76000000000000,118.0
B,105.31,137.0
D,42.71000000000000,177.0
D,105.51000000000000,143.0
C,68.75,155.0
D,119.56,112.0
A,92.99000000000000,151.0
B,101.91,97.0
A,80.96000000000000,148.0
D,-5.0400000000000200,198.0
B,33.640000000000000,194.0
B,98.04000000000000,86.0
B,56.56,162.0
B,7.9599999999999800,198.0
A,43.110000000000000,167.0
C,100.16,122.0
B,4.9599999999999800,198.0
A,112.64,94.0
D,87.59,129.0
C,123.91,103.0
D,15.75,195.0
A,103.79000000000000,89.0
D,57.110000000000000,167.0
B,97.99,99.0
C,86.76,82.0
D,97.91,97.0
D,114.56,112.0
D,51.71000000000000,173.0
B,53.590000000000000,171.0
C,106.24000000000000,126.0
B,86.75,105.0
A,62.19,159.0
C,84.04000000000000,86.0
C,60.24000000000000,176.0
B,72.91,147.0
C,98.91,147.0
C,80.16,122.0
A,93.75,125.0
D,92.91,153.0
A,107.79000000000000,139.0
D,103.04000000000000,86.0
B,88.64000000000000,156.0
C,76.44,166.0
D,35.19,191.0
D,42.44,166.0
D,26.0,190.0
B,65.51000000000000,143.0
A,94.36,108.0
A,64.96000000000000,148.0
B,88.84,96.0
C,59.16000000000000,172.0
C,93.11000000000000,117.0
D,118.51,93.0
D,49.590000000000000,171.0
A,90.31,87.0
D,82.04000000000000,86.0
D,97.99000000000000,149.0
B,92.79000000000000,139.0
C,122.19,91.0
C,113.0,110.0
B,90.75,105.0
A,52.04000000000000,164.0
D,107.79000000000000,89.0
D,17.310000000000000,187.0
C,56.16000000000000,178.0
D,105.36,92.0
A,106.84,104.0
C,97.84,104.0
B,94.11000000000000,117.0
C,26.310000000000000,187.0
D,9.75,195.0
D,53.19,159.0
A,56.71000000000000,177.0
B,30.0,190.0
D,101.64,106.0
A,72.44,166.0
A,86.11000000000000,133.0
C,84.79000000000000,111.0
A,90.0,140.0
D,77.0,140.0
D,41.110000000000000,167.0
A,88.56,138.0
C,29.440000000000000,184.0
A,96.59,129.0
C,46.75,165.0
A,27.110000000000000,183.0
A,64.99000000000000,151.0
D,6.839999999999980,196.0
D,7.909999999999970,197.0
B,96.16,122.0
B,118.75,85.0
D,97.79000000000000,89.0
D,101.91,103.0
C,83.91,97.0
C,96.31,113.0
C,94.04000000000000,114.0
A,45.44,184.0
C,90.96,102.0
B,66.91,153.0
A,29.390000000000000,181.0
D,113.16,128.0
C,47.76000000000000,182.0
A,59.44,166.0
C,58.04000000000000,164.0
D,47.71000000000000,173.0
D,99.75,135.0
B,80.76000000000000,118.0
B,89.71000000000000,123.0
B,25.590000000000000,179.0
A,101.91,97.0
A,82.51000000000000,143.0
A,28.71000000000000,177.0
A,117.56,88.0
D,95.91,153.0
A,21.51000000000000,193.0
C,65.64000000000000,144.0
A,82.11000000000000,117.0
B,46.04000000000000,186.0
B,97.75,125.0
D,108.76000000000000,118.0
A,84.51000000000000,157.0
B,58.51000000000000,157.0
D,47.590000000000000,171.0
C,97.76000000000000,118.0
D,95.75,135.0
C,102.75,95.0
A,114.0,80.0
C,91.36,108.0
A,109.75,85.0
D,83.0,150.0
A,104.99,101.0
B,98.36000000000000,142.0
C,93.99,101.0
C,89.31,113.0
A,90.75,145.0
B,55.91,153.0
D,91.99000000000000,151.0
B,100.51000000000000,143.0
B,13.990000000000000,199.0
C,55.19,159.0
C,78.91,147.0
D,90.96,102.0
A,50.360000000000000,158.0
D,87.04000000000000,86.0
C,116.71000000000000,127.0
B,22.79000000000000,189.0
A,113.36,92.0
C,82.04000000000000,164.0
C,112.75,95.0
B,92.84,154.0
B,89.56,88.0
A,31.560000000000000,188.0
C,107.36,108.0
B,101.75,105.0
C,9.0,190.0
A,89.44,116.0
A,58.71000000000000,177.0
A,103.51000000000000,143.0
B,29.24000000000000,176.0
D,117.56,112.0
A,115.99,101.0
A,96.19,109.0
C,34.360000000000000,192.0
C,89.96,102.0
B,99.79000000000000,89.0
B,82.99000000000000,151.0
D,5.0,190.0
D,15.75,185.0
C,60.96000000000000,148.0
D,48.56,162.0
D,-6.25,195.0
A,83.0,150.0
B,89.36,92.0
C,64.31,163.0
C,95.11000000000000,133.0
C,101.71000000000000,123.0
C,95.31,137.0
D,76.99000000000000,149.0
A,87.16,128.0
C,22.79000000000000,189.0
C,87.0,160.0
C,92.91,97.0
C,95.19,91.0
B,112.11,83.0
B,84.51000000000000,157.0
D,81.24000000000000,124.0
B,66.0,150.0
B,109.0,130.0
C,12.96000000000000,198.0
C,17.560000000000000,188.0
C,110.16,128.0
A,52.16000000000000,172.0
C,0.839999999999975,196.0
C,101.24000000000000,124.0
B,59.44,166.0
B,86.75,115.0
B,119.75,105.0
C,94.0,80.0
B,116.19,109.0
A,114.71000000000000,127.0
