,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,X,Y,class
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.37900921621801,40.962533566749016,class1
1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.70545748086423,42.47383655487387,class1
2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,104.23425566615695,41.86607299906619,class1
3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,84.18145458148307,49.75131895902682,class1
4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,109.44106869920984,26.400586318727214,class1
5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,93.07335483994056,50.61329608721466,class1
6,6,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,98.66089459018151,50.55448888772191,class1
7,7,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,100.99798522112194,55.0339070344773,class1
8,8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,86.10783453583399,58.030527127371315,class1
9,9,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,83.54663588588389,47.3758245726988,class1
10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,111.1679717626831,68.51099349467424,class1
11,11,11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,115.33485042984773,46.20838243874488,class1
12,12,12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,100.26175470328592,53.104357781196626,class1
13,13,13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,102.17945961992103,48.946682105558764,class1
14,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,88.84728805561812,53.5119833689783,class1
15,15,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,87.06662542358976,53.86130219709364,class1
16,16,16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,93.44494300258114,51.47824773681967,class1
17,17,17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,97.82292701406686,34.65872046085686,class1
18,18,18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,91.30300375280686,43.22167856608567,class1
19,19,19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,95.74816657387179,47.86682737478046,class1
20,20,20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,83.64476387836564,35.27014091760967,class1
21,21,21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,99.164349993472,40.57667978510427,class1
22,22,22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,104.82978209252784,52.899743116871974,class1
23,23,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,102.36878330302956,74.80181364533917,class1
24,24,24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,91.62881829807782,36.61051172288747,class1
25,25,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,88.56950621898451,49.61676170394373,class1
26,26,26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,89.94049636286708,49.96620339427221,class1
27,27,27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,94.6782685560105,48.91521168068937,class1
28,28,28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,93.31977054888407,53.534588423107316,class1
29,29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,96.68650590268861,53.56110011622291,class1
30,30,30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,82.46673267087925,59.117965858563146,class1
