,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,X,Y,class
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.79132497682367,78.19268061705372,class1
1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.50903006433919,84.28651083667482,class1
2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,76.65448791691198,83.15104234217529,class1
3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,71.29328591668417,73.41677086045648,class1
4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,74.65711018164878,76.32792496952182,class1
5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,79.82544691811961,72.08266384839732,class1
6,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,92.7371592518023,80.4243803750172,class1
7,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,87.76212405815379,84.48837021907465,class1
8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,84.96143981962669,86.85318301906185,class1
9,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,77.60136613614499,75.49399280902374,class1
10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,75.44727804764536,84.8142355079807,class1
11,11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,79.50413680588758,73.85772635760569,class1
12,12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,73.68126570640612,75.32962002872316,class1
13,13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,86.04244583228233,79.07538916655022,class1
14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,75.37901263952519,72.8955704036205,class1
15,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,83.6423798431462,88.05561880905296,class1
16,16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,76.37915634778207,79.50160641382627,class1
17,17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,80.09615587101902,79.85709522029768,class1
18,18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,77.22660229774436,67.8991420031323,class1
19,19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,88.77894066960542,83.04039813608277,class1
20,20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,90.20608639453351,73.96123284922422,class1
21,21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,69.98134272509341,87.52941938918515,class1
22,22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,79.80259683871279,81.15293902866607,class1
23,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,78.94070136415176,82.56666749493408,class1
24,24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,90.64983135236062,81.19246807345654,class1
25,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,72.04748158484267,75.94513129561463,class1
26,26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,87.2961985268254,79.15871025501055,class1
27,27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,84.14232960481561,75.0996341982291,class1
28,28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,82.32063409498,79.69932766330415,class1
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,86.50676095595027,83.80045184016915,class1
30,30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,83.17382997234598,73.32615878758156,class1
31,31,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,82.35508701055875,80.32106440070815,class1
32,32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,78.24644863587807,88.67117007537448,class1
33,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,80.20202653705707,75.04074443224083,class1
34,34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,78.07208168442958,82.92044766221497,class1
35,35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,75.13110400260048,74.4424656155993,class1
36,36,36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,80.31805382006651,85.20540803752091,class1
37,37,37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,81.16381934280163,78.30740833606593,class1
38,38,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,84.61902428190456,83.92743350847067,class1
39,39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,86.2399282721943,90.51683378371114,class1
40,40,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,83.23077778454446,79.04347955538451,class1
41,41,41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,85.50818013990691,89.81886411485307,class1
42,42,42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,77.0683127693674,74.31155594763737,class1
43,43,43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,78.42011078273309,76.1178355041153,class1
44,44,44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,71.48744093702912,88.84188991691559,class1
45,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,81.4803805353189,83.02328458944594,class1
46,46,46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,75.71343158276056,93.65614716638557,class1
47,47,47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,90.35651366737324,82.55834536747129,class1
48,48,48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,76.99459989621657,71.94744759346293,class1
49,49,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,79.50155688219922,73.163277027214,class1
50,50,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,78.79000339872476,89.38848384624931,class1
51,51,51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,75.38106342304506,89.51645897402045,class1
52,52,52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,88.41427357421092,78.2587056808441,class1
53,53,53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,75.71440875196916,73.77560278032723,class1
54,54,54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,73.74838798131807,76.68788542881425,class1
55,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,84.26751510605553,75.93852292564152,class1
56,56,56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,73.27846434074414,64.51953372740043,class1
57,57,57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,88.77973020979807,77.24905752428623,class1
58,58,58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,79.82545227690154,82.48965697060373,class1
