,design_type,count_type,count,,,
0,line chart-SC,2,8,,,
1,scatterplot-SC-J,3,9,,,
2,scatterplot-MC,3,10,,,
3,line chart-MC-J,2,10,,,
4,line chart-MC,3,9,,,
5,bar chart-MC,2,11,,,
6,bar chart-SC,3,6,,,
7,line chart-SC-J,2,9,,,
8,bar chart-MC-J,2,12,,,
9,bar chart-SC-J,2,7,,,
10,scatterplot-MC-J,3,10,,,
11,scatterplot-SC,2,9,,,
12,line chart-MC,1,6,,,
13,line chart-SC,1,6,,,
14,scatterplot-MC,1,5,,,
15,line chart-SC-J,1,3,,,
16,bar chart-SC,1,4,,,
17,scatterplot-SC,1,5,,,
18,scatterplot-SC-J,1,7,,,
19,scatterplot-MC-J,1,3,,,
20,bar chart-MC,1,2,,,
21,bar chart-SC-J,1,4,,,
22,bar chart-MC-J,1,2,,,
23,line chart-MC-J,1,3,,,
24,line chart-SC,3,6,,,
25,bar chart-SC,4,5,,,
26,bar chart-SC-J,3,9,,,
27,bar chart-MC-J,3,6,,,
28,line chart-SC-J,4,3,,,
29,scatterplot-MC,4,2,,,
30,scatterplot-SC-J,2,7,,,
31,scatterplot-SC,3,7,,,
32,line chart-MC-J,3,6,,,
33,line chart-MC,2,4,,,
34,scatterplot-MC-J,2,7,,,
35,bar chart-SC,2,8,,,
36,scatterplot-MC-J,4,3,,,
37,line chart-SC-J,3,7,,,
38,bar chart-MC,4,2,,,
39,line chart-MC-J,4,2,,,
40,line chart-MC,5,1,,,
41,bar chart-MC,3,6,,,
42,bar chart-SC-J,4,3,,,
43,bar chart-SC,0,1,,,
44,scatterplot-SC,0,1,,,
45,bar chart-MC,0,1,,,
46,line chart-MC-J,0,1,,,
47,scatterplot-MC,0,2,,,
48,line chart-MC,0,1,,,
49,scatterplot-MC-J,0,1,,,
50,line chart-SC,0,1,,,
51,line chart-SC-J,0,1,,,
52,scatterplot-MC,2,4,,,
53,bar chart-SC-J,0,1,,,
54,bar chart-MC,6,1,,,
55,line chart-SC,4,2,,,
56,bar chart-MC-J,4,2,,,
57,line chart-MC,4,3,,,
58,scatterplot-SC,4,2,,,
59,scatterplot-SC-J,4,1,,,
60,bar chart-MC-J,5,1,,,
61,line chart-SC,5,1,,,
62,line chart-SC-J,5,1,,,
63,bar chart-MC,5,1,,,
64,scatterplot-MC-J,5,1,,,
65,line chart-MC-J,5,1,,,
66,bar chart-MC-J,0,1,,,
67,line chart-MC-J,7,1,,,
