Country,Acronym,Year,Population
Afghanistan,AFG,2010,29185511
Afghanistan,AFG,2011,30117411
Afghanistan,AFG,2012,31161378
Afghanistan,AFG,2013,32269592
Afghanistan,AFG,2014,33370803
Afghanistan,AFG,2015,34413603
Afghanistan,AFG,2016,35383028
Afghanistan,AFG,2017,36296111
Afghanistan,AFG,2018,37171922
Afghanistan,AFG,2019,38041757
Afghanistan,AFG,2020,38928341
Pakistan,PAK,2010,179424643
Pakistan,PAK,2011,183340168
Pakistan,PAK,2012,187280125
Pakistan,PAK,2013,191260799
Pakistan,PAK,2014,195305012
Pakistan,PAK,2015,199426953
Pakistan,PAK,2016,203631356
Pakistan,PAK,2017,207906210
Pakistan,PAK,2018,212228288
Pakistan,PAK,2019,216565317
Pakistan,PAK,2020,220892331
Kazakhstan,KAZ,2010,16252273
Kazakhstan,KAZ,2011,16490669
Kazakhstan,KAZ,2012,16751523
Kazakhstan,KAZ,2013,17026118
Kazakhstan,KAZ,2014,17302619
Kazakhstan,KAZ,2015,17572010
Kazakhstan,KAZ,2016,17830902
Kazakhstan,KAZ,2017,18080023
Kazakhstan,KAZ,2018,18319616
Kazakhstan,KAZ,2019,18551428
Kazakhstan,KAZ,2020,18776707
Uzbekistan,UZB,2010,28515908
Uzbekistan,UZB,2011,28977006
Uzbekistan,UZB,2012,29449415
Uzbekistan,UZB,2013,29932630
Uzbekistan,UZB,2014,30426394
Uzbekistan,UZB,2015,30929556
Uzbekistan,UZB,2016,31441753
Uzbekistan,UZB,2017,31959774
Uzbekistan,UZB,2018,32476232
Uzbekistan,UZB,2019,32981714
Uzbekistan,UZB,2020,33469199
