FIPS,Name,State,precipitation
1001,Autauga,AL,125.94323791478100
1003,Baldwin,AL,108.97825335134600
1005,Barbour,AL,129.54381178596200
1007,Bibb,AL,544.8030058108040
1009,Blount,AL,146.21889146497900
1011,Bullock,AL,108.2577451129750
1013,Butler,AL,150.31909787104500
1015,Calhoun,AL,107.82907609627100
1017,Chambers,AL,121.76258245929400
1019,Cherokee,AL,564.4884003311090
1021,Chilton,AL,567.4064162674280
1023,Choctaw,AL,106.37547615930200
1025,Clarke,AL,502.5579810533430
1027,Clay,AL,197.08466226002700
1029,Cleburne,AL,149.1421682095090
1031,Coffee,AL,124.97419139230400
1033,Colbert,AL,583.5290875055750
1035,Conecuh,AL,590.713660140968
1037,Coosa,AL,172.3895594906890
1039,Covington,AL,591.3779976380270
1041,Crenshaw,AL,150.4483186654990
1043,Cullman,AL,130.2888259847700
1045,Dale,AL,155.68556988921900
1047,Dallas,AL,561.704851559211
1049,De Kalb,AL,503.93214555574800
1051,Elmore,AL,166.40091980176300
1053,Escambia,AL,27.352753321686600
1055,Etowah,AL,121.61195875095100
1057,Fayette,AL,141.10024343667100
1059,Franklin,AL,189.8793761818120
1061,Geneva,AL,157.30930850609800
1063,Greene,AL,107.0826804224170
1065,Hale,AL,196.58844404907300
1067,Henry,AL,188.77836945025100
1069,Houston,AL,524.4669973504270
1071,Jackson,AL,197.2469830185330
1073,Jefferson,AL,198.40023387233000
1075,Lamar,AL,177.70728408000600
1077,Lauderdale,AL,549.3214274316930
1079,Lawrence,AL,173.803002072159
1081,Lee,AL,554.9280586352290
1083,Limestone,AL,584.4343199514000
1085,Lowndes,AL,546.507608184163
1087,Macon,AL,127.40927921528000
1089,Madison,AL,180.12637195036400
1091,Marengo,AL,145.95491611787500
1093,Marion,AL,584.0845569991330
1095,Marshall,AL,175.67313799328700
1097,Mobile,AL,13.778440645508000
1099,Monroe,AL,131.9006377340700
1101,Montgomery,AL,145.55695938614900
1103,Morgan,AL,179.2281524260970
1105,Perry,AL,102.30536746047600
1107,Pickens,AL,178.56676306879800
1109,Pike,AL,139.9345580509790
1111,Randolph,AL,111.57305573625200
1113,Russell,AL,580.1485533993090
1115,St Clair,AL,167.8642238418670
1117,Shelby,AL,105.83840763152500
1119,Sumter,AL,164.4240088055610
1121,Talladega,AL,161.46334373985900
1123,Tallapoosa,AL,163.0499988153410
1125,Tuscaloosa,AL,187.5489656867230
1127,Walker,AL,591.4227780620490
1129,Washington,AL,156.42623092235400
1131,Wilcox,AL,140.686303019104
1133,Winston,AL,127.98807792767700
2013,Aleutians East,AK,141.85551200999200
2016,Aleutians West,AK,153.90109340723300
2020,Anchorage,AK,136.29681267690500
2050,Bethel,AK,146.41623169642700
2060,Bristol Bay,AK,125.45204599748000
2068,Denali,AK,148.44012092940900
2070,Dillingham,AK,121.54752105845200
2090,Fairbanks North Star,AK,197.15571987664100
2100,Haines,AK,180.44093782389900
2110,Juneau,AK,126.4224644810130
2122,Kenai Peninsula,AK,195.30488698646000
2130,Ketchikan Gateway,AK,182.42861019811300
2150,Kodiak Island,AK,150.70145270597800
2164,Lake and Peninsula,AK,511.51093397107500
2170,Matanuska-Susitna,AK,125.09209085201200
2180,Nome,AK,154.51419753497300
2185,North Slope,AK,124.85205022079500
2188,Northwest Arctic,AK,191.78212285200600
2201,Prince of Wales-Outer Ketchikan,AK,155.15164844307000
2220,Sitka,AK,114.06885364499100
