,iata,name,city,state,country,latitude,longitude,precipitation
0,00M,Thigpen,Bay Springs,MS,USA,0.0,0.0,82.06384352317280
1,00R,Livingston Municipal,Livingston,TX,USA,0.0,0.0,67.35421693936120
2,00V,Meadow Lake,Colorado Springs,CO,USA,0.0,0.0,92.2916360678916
3,01G,Perry-Warsaw,Perry,NY,USA,42.74134667,-78.05208056,155.3108782831860
4,01J,Hilliard Airpark,Hilliard,FL,USA,0.0,0.0,97.48840237716730
5,01M,Tishomingo County,Belmont,MS,USA,0.0,0.0,37.96624045207520
6,02A,Gragg-Wade,Clanton,AL,USA,0.0,0.0,56.11683719952370
7,02C,Capitol,Brookfield,WI,USA,0.0,0.0,68.7992608821915
8,02G,Columbiana County,East Liverpool,OH,USA,0.0,0.0,59.58838158547890
9,03D,Memphis Memorial,Memphis,MO,USA,40.44725889,-92.22696056,175.63631250386700
10,04M,Calhoun County,Pittsboro,MS,USA,33.93011222,-89.34285194,127.25172642925900
11,04Y,Hawley Municipal,Hawley,MN,USA,0.0,0.0,59.2535294242348
12,05C,Griffith-Merrillville,Griffith,IN,USA,41.51961917,-87.40109333,170.23363989204200
13,05F,Gatesville - City/County,Gatesville,TX,USA,0.0,0.0,49.78161938406210
14,05U,Eureka,Eureka,NV,USA,39.60416667,-116.0050597,63.0806170842738
15,06A,Moton  Municipal,Tuskegee,AL,USA,0.0,0.0,95.48205827184580
16,06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278,106.81158395973300
17,06D,Rolla Municipal,Rolla,ND,USA,48.88434111,-99.62087694,158.79694000180800
18,06M,Eupora Municipal,Eupora,MS,USA,0.0,0.0,85.38774201449460
19,06N,Randall,Middletown,NY,USA,41.43156583,-74.39191722,178.74691772245800
20,06U,Jackpot/Hayden,Jackpot,NV,USA,41.97602222,-114.6580911,59.95557487930010
21,07C,Dekalb County,Auburn,IN,USA,0.0,0.0,88.12860448350400
22,07F,Gladewater Municipal,Gladewater,TX,USA,0.0,0.0,34.92270299619370
23,07G,Fitch H Beach,Charlotte,MI,USA,42.57450861,-84.81143139,113.3276462164000
24,07K,Central City Municipal,Central City,NE,USA,41.11668056,-98.05033639,104.02496718814800
25,08A,Wetumpka Municipal,Wetumpka,AL,USA,0.0,0.0,52.7120671682631
26,08D,Stanley Municipal,Stanley,ND,USA,48.30079861,-102.4063514,23.79746219090150
27,08K,Harvard State,Harvard,NE,USA,0.0,0.0,75.45620378421510
28,08M,Carthage-Leake County,Carthage,MS,USA,0.0,0.0,37.00217337525430
29,09A,Butler-Choctaw County,Butler,AL,USA,0.0,0.0,62.166789168383300
30,09J,Jekyll Island,Jekyll Island,GA,USA,0.0,0.0,38.35233980900420
31,09K,Sargent Municipal,Sargent,NE,USA,0.0,0.0,86.07806374107870
32,09M,Charleston Municipal,Charleston,MS,USA,0.0,0.0,36.68960415079700
33,09W,South Capitol Street,Washington,DC,USA,0.0,0.0,94.79661776022450
34,0A3,Smithville Municipal,Smithville,TN,USA,35.98531194,-85.80931806,112.65685162133000
35,0A8,Bibb County,Centreville,AL,USA,0.0,0.0,33.4277808075762
36,0A9,Elizabethton Municipal,Elizabethton,TN,USA,0.0,0.0,96.32515905161290
37,0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358,72.38933668114400
38,0B1,Col. Dyke,Bethel,ME,USA,44.42506444,-70.80784778,164.80757519148000
39,0B4,Hartington Municipal,Hartington,NE,USA,0.0,0.0,57.9287585729365
40,0B5,Turners Falls,Montague,MA,USA,42.59136361,-72.52275472,126.33443300112200
41,0B7,Warren-Sugar Bush,Warren,VT,USA,44.11672722,-72.82705806,121.45468614695300
42,0B8,Elizabeth,Fishers Island,NY,USA,41.25130806,-72.03161139,152.56921214709900
43,0C0,Dacy,Chicago/Harvard,IL,USA,0.0,0.0,64.6300285756046
44,0C4,Pender Municipal,Pender,NE,USA,0.0,0.0,66.49799101368190
45,0D1,South Haven Municipal,South Haven,MI,USA,0.0,0.0,94.5744180746361
46,0D8,Gettysburg Municipal,Gettysburg,SD,USA,44.98730556,-99.9535,105.59664042952400
47,0E+00,Moriarty,Moriarty,NM,USA,0.0,0.0,64.86933206014340
48,0E+00,Crownpoint,Crownpoint,NM,USA,35.71765889,-108.2015961,5.816203090374480
49,0F2,Bowie Municipal,Bowie,TX,USA,0.0,0.0,37.11415938613970
50,0F4,Loup City Municipal,Loup City,NE,USA,0.0,0.0,97.09054650159330
51,0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,0.0,0.0,40.19171229612140
52,0F8,William R Pogue Municipal,Sand Springs,OK,USA,0.0,0.0,94.47483428635600
53,0F9,Tishomingo Airpark,Tishomingo,OK,USA,0.0,0.0,75.17427717838760
54,0G0,North Buffalo Suburban,Lockport,NY,USA,0.0,0.0,39.18893192952140
55,0G3,Tecumseh Municipal,Tecumseh,NE,USA,0.0,0.0,39.92836497391340
56,0G6,Williams County,Bryan,OH,USA,41.46736111,-84.50655556,102.71577352073300
57,0G7,Finger Lakes Regional,Seneca Falls,NY,USA,0.0,0.0,80.97073989784300
58,0H1,Trego Wakeeney,Wakeeney,KS,USA,0.0,0.0,75.08058575447070
59,0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,0.0,0.0,53.699843212369000
60,0J0,Abbeville Municipal,Abbeville,AL,USA,0.0,0.0,80.93401886368880
61,0J4,Florala Municipal,Florala,AL,USA,0.0,0.0,87.8729750851466
62,0J6,Headland Municipal,Headland,AL,USA,0.0,0.0,96.9901062038939
63,0K7,Humboldt Municipal,Humboldt,IA,USA,42.7360825,-94.24524167,151.3187351566110
64,0L5,Goldfield,Goldfield,NV,USA,37.71798833,-117.2384119,54.41698121290190
65,0L7,Jean,Jean,NV,USA,35.76827222,-115.3296378,51.369837398203300
66,0L9,Echo Bay,Overton,NV,USA,0.0,0.0,42.59171066307950
67,0M0,Dumas Municipal,Dumas,AR,USA,0.0,0.0,84.32589184247040
68,0M1,Scott,Parsons,TN,USA,0.0,0.0,86.93130020393930
69,0M4,Benton County,Camden,TN,USA,0.0,0.0,33.93109647671360
70,0M5,Humphreys County,Waverly,TN,USA,0.0,0.0,98.86064577889290
71,0M6,Panola County,Batesville,MS,USA,0.0,0.0,38.87195766182920
72,0M8,Byerley,Lake Providence,LA,USA,0.0,0.0,82.7467594249705
73,0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,USA,38.14611639,-120.6481733,59.67449085986320
74,0O4,Corning Municipal,Corning,CA,USA,39.94376806,-122.1713781,83.20238931368290
75,0O5,University,Davis,CA,USA,38.53146222,-121.7864906,48.534343095462600
76,0Q5,Shelter Cove,Shelter Cove,CA,USA,40.02764333,-124.0733639,62.065607529817600
77,0Q6,Shingletown,Shingletown,CA,USA,40.52210111,-121.8177683,75.78266220342110
78,0R0,Columbia-Marion County,Columbia,MS,USA,0.0,0.0,95.10700541714360
79,0R1,Atmore Municipal,Atmore,AL,USA,0.0,0.0,32.08672279272210
80,0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,29.97576083,-92.08415167,178.38885736405100
81,0R4,Concordia Parish,Vidalia,LA,USA,0.0,0.0,98.51722509935440
82,0R5,David G Joyce,Winnfield,LA,USA,0.0,0.0,40.9332048951478
83,0R7,Red River,Coushatta,LA,USA,0.0,0.0,32.616409739306300
84,0S7,Dorothy Scott,Oroville,WA,USA,48.958965,-119.4119622,80.9113647156516
85,0S9,Jefferson County International,Port Townsend,WA,USA,48.04981361,-122.8012792,33.96600345177990
86,0V2,Harriet Alexander,Salida,CO,USA,0.0,0.0,37.44253389020220
