Date,Share,Type
January 2021,6.3,C/C++
February 2021,6.52,C/C++
March 2021,6.710000000000000,C/C++
April 2021,6.68,C/C++
May 2021,6.65,C/C++
June 2021,6.64,C/C++
July 2021,6.6000000000000000,C/C++
August 2021,6.5,C/C++
September 2021,6.68,C/C++
October 2021,6.99,C/C++
November 2021,6.99,C/C++
December 2021,7.01,C/C++
January 2021,6.550000000000000,C#
February 2021,6.78,C#
March 2021,6.87,C#
April 2021,6.93,C#
May 2021,6.97,C#
June 2021,7.04,C#
July 2021,7.16,C#
August 2021,6.99,C#
September 2021,7.17,C#
October 2021,7.380000000000000,C#
November 2021,7.31,C#
December 2021,7.26,C#
January 2021,0.5600000000000000,Dart
February 2021,0.5700000000000000,Dart
March 2021,0.5500000000000000,Dart
April 2021,0.5700000000000000,Dart
May 2021,0.53,Dart
June 2021,0.53,Dart
July 2021,0.5500000000000000,Dart
August 2021,0.5700000000000000,Dart
September 2021,0.58,Dart
October 2021,0.5500000000000000,Dart
November 2021,0.61,Dart
December 2021,0.65,Dart
January 2021,1.3300000000000000,Go
February 2021,1.26,Go
March 2021,1.26,Go
April 2021,1.34,Go
May 2021,1.46,Go
June 2021,1.48,Go
July 2021,1.46,Go
August 2021,1.5,Go
September 2021,1.5700000000000000,Go
October 2021,1.54,Go
November 2021,1.4200000000000000,Go
December 2021,1.35,Go
January 2021,16.8,Java
February 2021,16.88,Java
March 2021,17.26,Java
April 2021,17.53,Java
May 2021,18.02,Java
June 2021,18.35,Java
July 2021,18.25,Java
August 2021,18.27,Java
September 2021,18.04,Java
October 2021,18.11,Java
November 2021,17.560000000000000,Java
December 2021,17.82,Java
January 2021,8.470000000000000,JavaScript
February 2021,8.540000000000000,JavaScript
March 2021,8.470000000000000,JavaScript
April 2021,8.59,JavaScript
May 2021,8.780000000000000,JavaScript
June 2021,8.870000000000000,JavaScript
July 2021,9.17,JavaScript
August 2021,9.3,JavaScript
September 2021,9.54,JavaScript
October 2021,9.34,JavaScript
November 2021,9.31,JavaScript
December 2021,9.1,JavaScript
