Date,Share,Type
January,6.3,C/C++
February,6.52,C/C++
March,6.710000000000000,C/C++
April,6.68,C/C++
May,6.65,C/C++
June,6.64,C/C++
July,6.6000000000000000,C/C++
August,6.5,C/C++
September,6.68,C/C++
October,6.99,C/C++
November,6.99,C/C++
December,7.01,C/C++
January,6.550000000000000,C#
February,6.78,C#
March,6.87,C#
April,6.93,C#
May,6.97,C#
June,7.04,C#
July,7.16,C#
August,6.99,C#
September,7.17,C#
October,7.380000000000000,C#
November,7.31,C#
December,7.26,C#
January,0.5600000000000000,Dart
February,0.5700000000000000,Dart
March,0.5500000000000000,Dart
April,0.5700000000000000,Dart
May,0.53,Dart
June,0.53,Dart
July,0.5500000000000000,Dart
August,0.5700000000000000,Dart
September,0.58,Dart
October,0.5500000000000000,Dart
November,0.61,Dart
December,0.65,Dart
January,1.3300000000000000,Go
February,1.26,Go
March,1.26,Go
April,1.34,Go
May,1.46,Go
June,1.48,Go
July,1.46,Go
August,1.5,Go
September,1.5700000000000000,Go
October,1.54,Go
November,1.4200000000000000,Go
December,1.35,Go
January,16.8,Java
February,16.88,Java
March,17.26,Java
April,17.53,Java
May,18.02,Java
June,18.35,Java
July,18.25,Java
August,18.27,Java
September,18.04,Java
October,18.11,Java
November,17.560000000000000,Java
December,17.82,Java
January,8.470000000000000,JavaScript
February,8.540000000000000,JavaScript
March,8.470000000000000,JavaScript
April,8.59,JavaScript
May,8.780000000000000,JavaScript
June,8.870000000000000,JavaScript
July,9.17,JavaScript
August,9.3,JavaScript
September,9.54,JavaScript
October,9.34,JavaScript
November,9.31,JavaScript
December,9.1,JavaScript
