date,precipitation,temp_max,temp_min,wind,weather,Season
2012-08-01,0.0,23.9,13.3,2.2,drizzle,Summer
2012-08-02,0.0,23.3,12.2,2.5,sun,Summer
2012-08-03,0.0,27.2,12.8,3.9,sun,Summer
2012-08-04,0.0,33.9,16.7,3.7,sun,Summer
2012-08-05,0.0,33.9,17.8,1.9,sun,Summer
2012-08-06,0.0,28.3,15.6,2.5,rain,Summer
2012-08-07,0.0,21.1,15.0,2.6,drizzle,Summer
2012-08-08,0.0,22.2,15.0,3.1,sun,Summer
2012-08-09,0.0,24.4,14.4,3.8,drizzle,Summer
2012-08-10,0.0,25.6,12.2,2.3,sun,Summer
2012-08-11,0.0,28.3,13.3,2.5,sun,Summer
2012-08-12,0.0,30.6,15.0,3.0,sun,Summer
2012-08-13,0.0,30.6,15.0,2.8,sun,Summer
2012-08-14,0.0,28.9,13.9,2.8,sun,Summer
2012-08-15,0.0,31.1,16.7,4.7,sun,Summer
2012-08-16,0.0,34.4,18.3,2.8,sun,Summer
2012-08-17,0.0,32.8,16.1,1.8,sun,Summer
2012-08-18,0.0,21.7,14.4,3.0,drizzle,Summer
2012-08-19,0.0,23.3,15.0,2.7,drizzle,Summer
2012-08-20,0.0,25.6,15.0,1.9,sun,Summer
2012-08-21,0.0,23.3,13.3,3.0,rain,Summer
2012-08-22,0.0,22.2,13.3,2.3,sun,Summer
2012-08-23,0.0,21.1,13.9,3.8,sun,Summer
2012-08-24,0.0,22.2,10.0,3.3,sun,Summer
2012-08-25,0.0,26.1,11.7,3.2,sun,Summer
2012-08-26,0.0,21.1,12.2,3.4,sun,Summer
2012-08-27,0.0,23.9,13.3,1.8,sun,Summer
2012-08-28,0.0,22.8,12.2,3.2,sun,Summer
2012-08-29,0.0,22.8,13.3,2.4,sun,Summer
2012-08-30,0.0,22.8,12.8,1.9,sun,Summer
2012-08-31,0.0,22.2,10.6,2.9,sun,Summer
2012-09-01,0.0,21.7,10.6,2.1,sun,Fall
2012-09-02,0.0,21.1,10.0,2.0,sun,Fall
2012-09-03,0.0,22.8,12.8,3.3,sun,Fall
2012-09-04,0.0,24.4,11.1,3.1,sun,Fall
2012-09-05,0.0,26.1,11.7,2.6,sun,Fall
2012-09-06,0.0,28.3,14.4,4.2,sun,Fall
2012-09-07,0.0,32.2,13.3,3.1,sun,Fall
2012-09-08,0.0,25.0,13.3,3.0,sun,Fall
2012-09-09,0.3,18.9,13.9,5.0,rain,Fall
2012-09-10,0.3,20.0,11.7,3.9,rain,Fall
2012-09-11,0.0,20.0,8.9,4.2,sun,Fall
2012-09-12,0.0,22.2,10.0,5.6,sun,Fall
2012-09-13,0.0,27.8,11.7,3.6,sun,Fall
2012-09-14,0.0,26.1,11.1,1.5,sun,Fall
2012-09-15,0.0,22.2,11.1,1.9,sun,Fall
2012-09-16,0.0,24.4,9.4,2.3,sun,Fall
2012-09-17,0.0,27.8,11.7,2.2,fog,Fall
2012-09-18,0.0,27.8,11.7,1.4,sun,Fall
2012-09-19,0.0,23.9,11.7,1.9,drizzle,Fall
2012-09-20,0.0,19.4,10.0,2.5,drizzle,Fall
2012-09-21,0.0,16.1,12.8,2.1,drizzle,Fall
2012-09-22,0.3,19.4,11.7,1.1,rain,Fall
2012-09-23,0.0,19.4,10.0,1.4,fog,Fall
2012-09-24,0.0,21.1,10.0,1.8,fog,Fall
2012-09-25,0.0,19.4,11.1,1.7,sun,Fall
2012-09-26,0.0,19.4,9.4,1.7,drizzle,Fall
2012-09-27,0.0,22.8,10.0,1.7,drizzle,Fall
2012-09-28,0.0,25.0,12.2,1.1,rain,Fall
2012-09-29,0.0,20.6,12.2,4.3,sun,Fall
2012-09-30,0.0,21.1,7.8,3.1,sun,Fall
2012-10-01,0.0,23.3,8.9,3.0,sun,Fall
