,age,income,class
0,48,3601,class 1
1,53,9393,class 1
2,39,9075,class 1
3,61,6342,class 1
4,57,3914,class 1
5,51,9465,class 1
6,69,3361,class 1
7,34,7327,class 1
8,71,9676,class 1
9,27,3236,class 1
10,20,6191,class 1
11,74,6232,class 1
12,51,4057,class 1
13,31,8906,class 1
14,40,9968,class 1
15,65,6119,class 1
16,68,4738,class 1
17,72,8694,class 1
18,70,9668,class 1
19,59,7911,class 1
20,61,5358,class 1
21,74,5423,class 1
22,60,3131,class 1
23,52,6265,class 1
24,48,5493,class 1
25,43,7280,class 1
26,71,7722,class 1
27,78,3642,class 1
28,67,7333,class 1
29,76,4882,class 1
30,61,8888,class 1
31,33,7657,class 1
32,31,3819,class 1
33,73,6880,class 1
34,76,3832,class 1
35,68,8217,class 1
36,46,4457,class 1
37,27,8701,class 1
38,47,5831,class 1
39,69,5619,class 1
40,43,6233,class 1
41,78,8621,class 1
42,67,5267,class 1
43,78,8167,class 1
44,26,6578,class 1
45,31,6002,class 1
46,35,9393,class 1
47,58,5146,class 1
48,49,6079,class 1
49,68,5474,class 1
50,74,3728,class 1
51,52,4972,class 1
52,61,3326,class 1
53,44,5863,class 1
54,47,4316,class 1
55,61,6983,class 1
56,40,6453,class 1
57,24,6846,class 1
58,30,9341,class 1
59,76,5612,class 1
60,73,5466,class 1
61,50,3258,class 1
62,68,8853,class 1
63,33,4220,class 1
64,25,6749,class 1
65,64,9112,class 1
66,20,7681,class 1
67,68,8743,class 1
68,54,8600,class 1
69,80,4407,class 1
70,76,9184,class 1
71,31,5990,class 1
72,68,9029,class 1
73,63,8616,class 1
74,28,8849,class 1
75,23,5405,class 1
76,57,3968,class 1
77,47,6920,class 1
78,37,5824,class 1
79,41,3502,class 1
80,33,8171,class 1
81,70,7309,class 1
82,72,6817,class 1
83,36,8426,class 1
84,66,4311,class 1
85,34,3269,class 1
86,22,3320,class 1
87,35,4252,class 1
88,37,8770,class 1
89,37,7353,class 1
90,37,4659,class 1
91,52,7763,class 1
92,71,9130,class 1
93,41,9910,class 1
94,24,4257,class 1
95,76,5814,class 1
96,80,3493,class 1
97,30,7482,class 1
98,58,9689,class 1
99,20,6689,class 1
100,72,4655,class 1
101,35,4996,class 1
102,30,9529,class 1
103,40,6440,class 1
104,36,8985,class 1
105,34,7360,class 1
106,51,4118,class 1
107,73,9274,class 1
108,80,3061,class 1
109,66,8603,class 1
110,57,4868,class 1
111,31,6484,class 1
112,29,7674,class 1
113,49,9854,class 1
114,22,8045,class 1
115,32,3122,class 1
116,77,3102,class 1
117,43,3111,class 1
118,40,3399,class 1
119,56,7904,class 1
120,42,7829,class 1
121,73,5641,class 1
122,74,8182,class 1
123,48,5425,class 1
124,74,8275,class 1
125,28,5663,class 1
126,33,7666,class 1
127,72,9354,class 1
128,57,9707,class 1
129,77,7142,class 1
130,54,4019,class 1
131,56,7005,class 1
132,36,4312,class 1
133,30,4733,class 1
134,74,7980,class 1
135,40,6232,class 1
136,68,3882,class 1
137,58,9411,class 1
138,70,8479,class 1
139,55,8651,class 1
140,71,8066,class 1
141,71,9003,class 1
142,44,3615,class 1
143,79,4226,class 1
144,22,5919,class 1
145,34,4472,class 1
146,20,9126,class 1
147,39,7814,class 1
148,39,5675,class 1
149,65,9192,class 1
150,26,3683,class 1
151,48,6368,class 1
152,44,9407,class 1
153,53,4648,class 1
154,71,7790,class 1
155,48,4136,class 1
156,41,7195,class 1
157,45,8716,class 1
158,31,5879,class 1
159,57,3408,class 1
160,21,7496,class 1
161,39,9502,class 1
162,23,6786,class 1
163,28,9506,class 1
164,28,5798,class 1
165,37,5017,class 1
166,28,6068,class 1
167,23,5737,class 1
168,61,6435,class 1
169,56,7864,class 1
170,61,4601,class 1
171,37,3135,class 1
172,73,4011,class 1
173,34,8512,class 1
174,50,6279,class 1
175,20,7524,class 1
176,70,7947,class 1
177,30,5157,class 1
178,33,8388,class 1
179,25,9611,class 1
180,70,8660,class 1
181,27,3855,class 1
182,32,9928,class 1
183,70,3796,class 1
184,46,8533,class 1
185,58,3106,class 1
186,39,9493,class 1
187,36,3848,class 1
188,23,9929,class 1
189,80,3612,class 1
190,44,9430,class 1
191,71,6893,class 1
192,59,8116,class 1
193,35,5144,class 1
194,72,5899,class 1
195,70,9548,class 1
196,41,3351,class 1
197,51,9118,class 1
198,75,6445,class 1
199,46,3362,class 1
200,42,4821,class 1
201,67,8168,class 1
202,52,9573,class 1
203,64,3013,class 1
204,48,9407,class 1
205,64,3932,class 1
206,31,4209,class 1
207,57,9278,class 1
208,74,7976,class 1
209,60,8951,class 1
210,25,3165,class 1
211,23,5700,class 1
212,67,3913,class 1
213,27,5924,class 1
214,69,8880,class 1
215,52,8930,class 1
216,27,3851,class 1
217,25,5868,class 1
218,23,4807,class 1
219,66,7883,class 1
220,61,7317,class 1
221,79,6799,class 1
222,39,7833,class 1
223,64,6168,class 1
224,31,9052,class 1
225,66,7198,class 1
226,21,9892,class 1
227,55,4064,class 1
228,78,4041,class 1
229,75,9386,class 1
230,22,9554,class 1
231,49,6296,class 1
232,34,3481,class 1
233,24,4099,class 1
234,67,8840,class 1
235,34,5878,class 1
236,45,5610,class 1
237,21,5697,class 1
238,73,8735,class 1
239,55,8949,class 1
240,59,4553,class 1
241,78,8621,class 1
242,25,4102,class 1
243,30,7191,class 1
244,77,9232,class 1
245,68,8511,class 1
246,30,9326,class 1
247,21,5202,class 1
248,59,4437,class 1
249,74,8204,class 1
250,72,9682,class 1
251,29,3367,class 1
252,40,3896,class 1
253,46,9159,class 1
254,24,7617,class 1
255,77,4678,class 1
256,74,9197,class 1
257,80,6401,class 1
258,62,8791,class 1
259,49,5606,class 1
260,53,9010,class 1
261,56,7858,class 1
262,67,3647,class 1
263,66,4441,class 1
264,46,4169,class 1
265,55,3514,class 1
266,52,3874,class 1
267,38,3315,class 1
268,38,8524,class 1
269,42,7773,class 1
270,45,6312,class 1
271,31,6842,class 1
272,77,5283,class 1
273,21,3111,class 1
274,75,9366,class 1
275,42,5546,class 1
276,25,5789,class 1
277,33,7960,class 1
278,26,7922,class 1
279,45,7360,class 1
280,35,9861,class 1
281,41,3344,class 1
282,32,3258,class 1
283,79,5755,class 1
284,64,4454,class 1
285,61,8474,class 1
286,80,9243,class 1
287,79,8075,class 1
288,34,4484,class 1
289,40,3843,class 1
290,80,9751,class 1
291,56,9418,class 1
292,43,8313,class 1
293,49,9484,class 1
294,31,4056,class 1
295,77,4034,class 1
296,40,3186,class 1
297,40,6600,class 1
298,56,6153,class 1
299,29,4492,class 1
300,50,9068,class 1
301,53,9677,class 1
302,66,3807,class 1
303,24,4797,class 1
304,45,5698,class 1
305,35,6206,class 1
306,52,3172,class 1
307,38,9834,class 1
308,54,5503,class 1
309,73,6985,class 1
310,48,6246,class 1
311,52,4218,class 1
312,24,9645,class 1
313,78,6410,class 1
314,21,8279,class 1
315,79,8043,class 1
316,77,8735,class 1
317,37,7841,class 1
318,46,9780,class 1
319,73,6561,class 1
320,21,3659,class 1
321,25,8679,class 1
322,54,9112,class 1
323,22,9199,class 1
324,77,3415,class 1
325,30,6256,class 1
326,29,3869,class 1
327,28,8362,class 1
328,75,3568,class 1
