age,income,class
44,3906,Third Class
69,6791,Third Class
40,4432,Third Class
68,6131,Third Class
49,8383,Third Class
23,6342,Third Class
58,5055,Third Class
24,7342,Third Class
56,8605,Third Class
51,9851,Third Class
58,8073,Third Class
54,5776,Third Class
55,7225,Third Class
49,5180,Third Class
21,9129,Third Class
46,3564,Third Class
61,3959,Third Class
67,3564,Third Class
63,7468,Third Class
62,7333,Third Class
30,8175,Third Class
65,9564,Third Class
62,3798,Third Class
47,9282,Third Class
34,4245,Third Class
71,8192,Third Class
67,6534,Third Class
45,4037,Third Class
45,4751,Third Class
21,7015,Third Class
68,5325,Third Class
36,3130,Third Class
21,7598,Third Class
39,6444,Third Class
65,6777,Third Class
27,8407,Third Class
31,3772,Third Class
27,3794,Third Class
20,7115,Third Class
56,8295,Third Class
68,9214,Third Class
58,7429,Third Class
33,7470,Third Class
40,3896,Third Class
36,5503,Third Class
67,7769,Third Class
50,6872,Third Class
68,5258,Third Class
45,5591,Third Class
72,4186,Third Class
21,5279,Third Class
51,7949,Third Class
52,5979,Third Class
50,9329,Third Class
52,7120,Third Class
54,7803,Third Class
65,9508,Third Class
57,7832,Third Class
28,4474,Third Class
67,4631,Third Class
31,5253,Third Class
55,4565,Third Class
70,4880,Third Class
61,6422,Third Class
65,8436,Third Class
62,6390,Third Class
71,6497,Third Class
76,4454,Third Class
31,9411,Third Class
31,9412,Third Class
22,6025,Third Class
51,3341,Third Class
37,6774,Third Class
78,5763,Third Class
61,4200,Third Class
71,4780,Third Class
79,8463,Third Class
38,4623,Third Class
52,4431,Third Class
74,9502,Third Class
60,4844,Third Class
36,9431,Third Class
62,5976,Third Class
38,9806,Third Class
26,8979,Third Class
47,7787,Third Class
42,5518,Third Class
79,9720,Third Class
30,7817,Third Class
40,7284,Third Class
46,8917,Third Class
35,7271,Third Class
51,5350,Third Class
38,3255,Third Class
59,5611,Third Class
75,9560,Third Class
42,9264,Third Class
41,8877,Third Class
78,6356,Third Class
50,8280,Third Class
62,9917,Third Class
45,7574,Third Class
26,4086,Third Class
23,8836,Third Class
56,5868,Third Class
56,5327,Third Class
51,5561,Third Class
21,7971,Third Class
53,5978,Third Class
49,7358,Third Class
24,6736,Third Class
57,4395,Third Class
56,7066,Third Class
58,5513,Third Class
22,4368,Third Class
37,9517,Third Class
59,3322,Third Class
25,3367,Third Class
68,6062,Third Class
72,3606,Third Class
29,3108,Third Class
30,4855,Third Class
76,4965,Third Class
76,7378,Third Class
46,4086,Third Class
64,3963,Third Class
22,4326,Third Class
20,6668,Third Class
57,5491,Third Class
60,5051,Third Class
65,9025,Third Class
23,8172,Third Class
46,8976,Third Class
37,6661,Third Class
73,5806,Third Class
53,6175,Third Class
37,7021,Third Class
29,4773,Third Class
24,9706,Third Class
37,3740,Third Class
62,8655,Third Class
51,9031,Third Class
35,4844,Third Class
80,8317,Third Class
60,8085,Third Class
34,5625,Third Class
73,5762,Third Class
31,6490,Third Class
51,8819,Third Class
78,7421,Third Class
25,8847,Third Class
35,9461,Third Class
43,6603,Third Class
66,5749,Third Class
79,3474,Third Class
32,9636,Third Class
78,8683,Third Class
52,5936,Third Class
51,6541,Third Class
70,9054,Third Class
67,5706,Third Class
42,8879,Third Class
53,9860,Third Class
40,7343,Third Class
44,3470,Third Class
26,4763,Third Class
30,4131,Third Class
66,5301,Third Class
