2021 Date,City,State,Dead,Injured,Total,Description
December 31,Capitol Heights,Maryland,0,4,4,An adult and three juveniles were wounded in an evening shooting.[19]
December 31,Los Angeles (4),California,0,6,6,Six shoppers were wounded at a grocery supermarket by two black male shooters.[20]
December 31,Gulfport,Mississippi,4,3,7,"During an outdoor New Year's Eve party, a physical fight started escalated to a shooting, with multiple people firing guns.[21]"
December 30,Philadelphia (23),Pennsylvania,0,6,6,Six shooters opened fire on a busy street with six wounded.[22]
December 30,Kirksville,Missouri,2,2,4,An adult and infant were killed and two adults wounded in an afternoon shooting.[23]
December 27,Mobile (4),Alabama,1,3,4,A man was killed and three others wounded at a local gas station.[24]
December 27,Denver (2) and Lakewood (2),Colorado,6[n 2],2,8,A gunman went on a shooting spree across multiple locations in the Denver metropolitan area before dying in a shootout with police.[25][26]
December 27,Youngstown (3),Ohio,1,3,4,A man was killed and three others were wounded at a local apartment complex.[27]
December 26,Buffalo (3),New York,0,4,4,Four adults were wounded inside a pop-up store.[28]
December 26,Clear Brook,Virginia,1[n 2],4,5,"Four people were wounded at a rest stop, and the shooter fled before police arrived. The shooter was later found dead.[29]"
December 26,Garland,Texas,3,1,4,Three teenagers were killed and a fourth wounded in a convenience store.[30]
December 26,Fayette,Mississippi,0,7,7,Seven people were wounded at a party in the early morning. An 18-year-old was later arrested.[31]
December 26,Philadelphia (22),Pennsylvania,0,4,4,Four people were wounded in a drive by shooting in North Philadelphia.[32]
December 25,Lafayette,Louisiana,0,4,4,Four people were wounded near a Waffle House in the early morning.[33]
December 24,New York City (19),New York,0,4,4,Four men were wounded outside a Brooklyn deli shortly before midnight.[34]
December 24,Roswell,Georgia,1,3,4,A woman was arrested after killing one and wounding three in a domestic incident at an apartment.[35]
December 24,Swissvale,Pennsylvania,0,6[n 2],6,"Six people were found wounded in a local home, with one identified as the potential shooter.[36]"
December 19,Brooklyn,Illinois,1,3,4,One man was killed and three others were wounded in a shooting across the street from a strip club.[37]
December 17,Baltimore (12),Maryland,1,3,4,One person was killed and three wounded in Upton.[38]
December 17,Portsmouth,Virginia,0,4,4,Four adults were wounded in the early morning at a gentleman's club.[39]
