Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable,
2017-04-07,13042637,6533680.0,9736931.0,8055220.0,317011.0,
2017-04-08,12815920,6660608.0,9334494.0,7280150.0,308838.0,
2017-04-09,11291392,5683746.0,8077875.0,6396104.0,756145.0,
2017-04-10,11819128,5762588.0,8678774.0,7162611.0,954504.0,
2017-04-11,11736951,5877897.0,8591469.0,7468021.0,953037.0,
2017-04-12,11716914,6041766.0,8590463.0,7495873.0,972755.0,
2017-04-13,11958775,6327822.0,8553816.0,7573209.0,1047409.0,
2017-04-14,11443718,5846681.0,8048741.0,13144962.0,1124587.0,
2017-04-15,11042206,5617332.0,7450464.0,11963789.0,1181031.0,
2017-04-16,10010095,5108739.0,6713215.0,10040949.0,1200146.0,
2017-04-17,10765545,10236693.0,7481411.0,11302669.0,1469013.0,
2017-04-18,11003682,13837155.0,7720202.0,11967713.0,1699884.0,
2017-04-19,10766018,14530591.0,7608793.0,11640174.0,1725940.0,
2017-04-20,10826572,15603034.0,7578070.0,11181908.0,1820033.0,
2017-04-21,11324112,18076042.0,7818554.0,11363409.0,1953608.0,
2017-04-22,11234996,17750769.0,7449324.0,10274500.0,1890190.0,
2017-04-23,9744436,15592441.0,6498748.0,8892731.0,1696541.0,
2017-04-24,10226555,17174198.0,7108710.0,10131992.0,1976553.0,
2017-04-25,10416529,17794232.0,7215107.0,10156513.0,2105738.0,
2017-04-26,10483469,18053510.0,7252547.0,10145977.0,2620606.0,
2017-04-27,10222461,18150660.0,7135760.0,10016786.0,2698186.0,
2017-04-28,10818508,20021846.0,7545200.0,10309105.0,3028343.0,
2017-04-29,10836688,20266973.0,7228232.0,9535829.0,3191729.0,
2017-04-30,9754326,18406851.0,6545783.0,8415625.0,2971223.0,
