Name,Postal Code,FIPS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Type
Alabama,AL,1,,,,,1
Alaska,AK,2,,,,,1
Arizona,AZ,4,,,,,1
Arkansas,AR,5,,,,,1
California,CA,6,,,,,1
Colorado,CO,8,,,,,1
Connecticut,CT,9,,,,,0
Delaware,DE,10,,,,,0
Florida,FL,12,,,,,1
Georgia,GA,13,,,,,1
Hawaii,HI,15,,,,,1
Idaho,ID,16,,,,,1
Illinois,IL,17,,,,,1
Indiana,IN,18,,,,,0
Iowa,IA,19,,,,,0
Kansas,KS,20,,,,,1
Kentucky,KY,21,,,,,1
Louisiana,LA,22,,,,,0
Maine,ME,23,,,,,0
Maryland,MD,24,,,,,0
Massachusetts,MA,25,,,,,1
Michigan,MI,26,,,,,0
Minnesota,MN,27,,,,,1
Mississippi,MS,28,,,,,0
Missouri,MO,29,,,,,1
Montana,MT,30,,,,,1
Nebraska,NE,31,,,,,0
Nevada,NV,32,,,,,1
New Hampshire,NH,33,,,,,1
New Jersey,NJ,34,,,,,0
New Mexico,NM,35,,,,,1
New York,NY,36,,,,,0
North Carolina,NC,37,,,,,1
North Dakota,ND,38,,,,,1
Ohio,OH,39,,,,,1
Oklahoma,OK,40,,,,,0
Oregon,OR,41,,,,,1
Pennsylvania,PA,42,,,,,1
Rhode Island,RI,44,,,,,0
South Carolina,SC,45,,,,,1
South Dakota,SD,46,,,,,1
Tennessee,TN,47,,,,,1
Texas,TX,48,,,,,1
Utah,UT,49,,,,,1
Vermont,VT,50,,,,,0
Virginia,VA,51,,,,,1
Washington,WA,53,,,,,1
West Virginia,WV,54,,,,,1
Wisconsin,WI,55,,,,,1
Wyoming,WY,56,,,,,1
American Samoa,AS,60,,,,,0
Guam,GU,66,,,,,0
Northern Mariana Islands,MP,69,,,,,0
