,Name,Postal Code,FIPS,Type,Fertility
0,Alabama,AL,1,4.0,3
1,Alaska,AK,2,7.0,1
2,Arizona,AZ,4,2.0,14
3,Arkansas,AR,5,2.0,5
4,California,CA,6,11.0,17
5,Colorado,CO,8,6.0,13
6,Connecticut,CT,9,0.0,2
7,Delaware,DE,10,0.0,1
8,Florida,FL,12,6.0,3
9,Georgia,GA,13,3.0,2
10,Hawaii,HI,15,5.0,3
11,Idaho,ID,16,1.0,15
12,Illinois,IL,17,1.0,5
13,Indiana,IN,18,0.0,4
14,Iowa,IA,19,0.0,6
15,Kansas,KS,20,1.0,7
16,Kentucky,KY,21,1.0,4
17,Louisiana,LA,22,0.0,6
18,Maine,ME,23,0.0,1
19,Maryland,MD,24,0.0,1
20,Massachusetts,MA,25,1.0,1.7
21,Michigan,MI,26,0.0,5
22,Minnesota,MN,27,1.0,7
23,Mississippi,MS,28,0.0,6
24,Missouri,MO,29,2.0,6
25,Montana,MT,30,1.0,11
26,Nebraska,NE,31,0.0,12
27,Nevada,NV,32,1.0,9
28,New Hampshire,NH,33,1.0,2
29,New Jersey,NJ,34,0.0,1.3
30,New Mexico,NM,35,3.0,8
31,New York,NY,36,0.0,2
32,North Carolina,NC,37,2.0,1.3
33,North Dakota,ND,38,2.0,7
34,Ohio,OH,39,1.0,3
35,Oklahoma,OK,40,0.0,6
36,Oregon,OR,41,4.0,14
37,Pennsylvania,PA,42,3.0,1.3
38,Rhode Island,RI,44,0.0,2
39,South Carolina,SC,45,1.0,2.5
40,South Dakota,SD,46,1.0,7
41,Tennessee,TN,47,2.0,4
42,Texas,TX,48,3.0,9
43,Utah,UT,49,4.0,12
44,Vermont,VT,50,0.0,4
45,Virginia,VA,51,1.0,2
46,Washington,WA,53,1.0,16
47,West Virginia,WV,54,2.0,3
48,Wisconsin,WI,55,1.0,5.3
49,Wyoming,WY,56,5.0,13

