year,age,type,percentage
2011,Middle school,E-cigarettes,3.8
2012,Middle school,E-cigarettes,3.9
2013,Middle school,E-cigarettes,3.0
2014,Middle school,E-cigarettes,3.7
2015,Middle school,E-cigarettes,1.6
2016,Middle school,E-cigarettes,4.0
2017,Middle school,E-cigarettes,1.5
2018,Middle school,E-cigarettes,3.9
2011,Middle school,Any tobacco product,5.8
2012,Middle school,Any tobacco product,9.8
2013,Middle school,Any tobacco product,5.3
2014,Middle school,Any tobacco product,8.7
2015,Middle school,Any tobacco product,6.3
2016,Middle school,Any tobacco product,7.2
2017,Middle school,Any tobacco product,5.8
2018,Middle school,Any tobacco product,9.7
2011,High school,E-cigarettes,10.0
2012,High school,E-cigarettes,18.7
2013,High school,E-cigarettes,7.6
2014,High school,E-cigarettes,19.4
2015,High school,E-cigarettes,8.4
2016,High school,E-cigarettes,20.6
2017,High school,E-cigarettes,9.4
2018,High school,E-cigarettes,7.1
2011,High school,Any tobacco product,21.1
2012,High school,Any tobacco product,20.7
2013,High school,Any tobacco product,21.3
2014,High school,Any tobacco product,20.5
2015,High school,Any tobacco product,21.4
2016,High school,Any tobacco product,23.6
2017,High school,Any tobacco product,21.6
2018,High school,Any tobacco product,21.9
