Change,Year
0.943,1961
-0.771,1962
-1.17,1963
0.901,1964
0.747,1965
-1.654,1966
1.635,1967
-0.081,1968
-0.487,1969
-1.646,1970
-1.209,1971
-0.216,1972
-0.504,1973
0.538,1974
0.798,1975
0.146,1976
-1.311,1977
-0.435,1978
-2.283,1979
0.542,1980
2.946,1981
-1.677,1982
1.42,1983
-0.066,1984
0.274,1985
2.62,1986
1.545,1987
-0.157,1988
0.805,1989
2.814,1990
0.228,1991
2.205,1992
0.615,1993
0.355,1994
1.817,1995
-0.293,1996
0.038,1997
2.286,1998
1.365,1999
1.524,2000
2.046,2001
2.79,2002
2.166,2003
0.104,2004
2.161,2005
3.539,2006
1.164,2007
0.206,2008
0.418,2009
0.512,2010
0.616,2011
1.548,2012
2.06,2013
1.913,2014
2.033,2015
2.675,2016
2.128,2017
1.6,2018
1.866,2019
