,Change,Year
0,-0.33342795125861135,1864
1,-1.7504542647293726,1865
2,-1.0665694079892847,1866
3,-0.8343569519717433,1867
4,-0.4885103098510615,1868
5,-0.40453935325464685,1869
6,-1.6685389093954228,1870
7,-1.3211629882291773,1871
8,-1.1737820704790047,1872
9,-1.0529250447372311,1873
10,-2.024413705138143,1874
11,-2.1632629532807157,1875
12,-1.5003908104674863,1876
13,-1.440085615978648,1877
14,-0.451252116124371,1878
15,-1.6227120471051601,1879
16,-2.12764399908102,1880
17,-0.4005532243613992,1881
18,-1.7327916769253267,1882
19,-1.9741530772780664,1883
20,-1.2285854149751163,1884
21,-1.5637419880840615,1885
22,-0.4678758985278684,1886
23,-1.9388714089330876,1887
24,-1.6881417810560642,1888
25,-2.019809769773987,1889
26,-1.798315315269614,1890
27,-0.972909199903276,1891
28,-1.5277551501222684,1892
29,-0.6707178029988463,1893
30,-0.5435786339171775,1894
31,-1.9524020264139212,1895
32,-1.9695573041463854,1896
33,-1.0904700071890205,1897
34,-1.810632846064717,1898
35,-0.44349372370040907,1899
36,-0.6685243562578469,1900
37,-1.8728796375289964,1901
38,-0.6537939627024594,1902
39,-1.023261043127835,1903
40,-1.906430297694041,1904
41,-1.1665886740984415,1905
42,-1.8333711551375078,1906
43,-0.36244547560318097,1907
44,-0.8511773646868277,1908
45,-2.0341900145980563,1909
46,-1.163901152307996,1910
47,-1.2423241711560957,1911
48,-0.6012878286350807,1912
49,-2.1604856173773253,1913
50,-1.6448579864128887,1914
51,-0.5038143480405659,1915
52,-1.2604606064953907,1916
53,-1.1779395976049714,1917
54,-1.2372363167572615,1918
55,-0.8829495831726055,1919
56,-2.2089757797843643,1920
57,-1.2476871562235163,1921
58,-1.330716670670812,1922
59,-1.0988168588171037,1923
60,-1.5316229707588573,1924
61,-1.9999740247879079,1925
62,-1.511854609822151,1926
63,-0.9249876458854114,1927
64,-2.040165963739632,1928
65,-0.9996883826149199,1929
66,-1.0744785856249564,1930
67,-1.466051456120773,1931
68,-1.1286802830794258,1932
69,-1.509523992413226,1933
70,-1.1870986098025527,1934
71,-0.5190172063378169,1935
72,-1.3689547353245914,1936
73,-1.874178154586969,1937
74,-1.0097958969988592,1938
75,-1.4347913018439824,1939
76,-1.538660248261635,1940
77,-2.219229724833561,1941
78,-1.6075485060426802,1942
79,-1.070047627316835,1943
80,-1.5167384146389558,1944
81,-1.986703865917553,1945
82,-0.5308765008567276,1946
83,-1.572911560622178,1947
84,-2.1505299509843496,1948
85,-0.815077361094394,1949
86,-0.7383011165137536,1950
87,0.769533457104586,1951
88,0.772225223953262,1952
89,0.601261836120299,1953
90,0.882476486793572,1954
91,0.293734456172697,1955
92,0.547128144475116,1956
93,0.222743954131066,1957
94,0.560056508132237,1958
95,0.388570963157008,1959
96,0.143645630874192,1960
97,0.943,1961
98,-0.771,1962
99,-1.17,1963
100,0.901,1964
101,0.747,1965
102,-1.654,1966
103,1.635,1967
104,-0.081,1968
105,-0.487,1969
106,-1.646,1970
107,-1.209,1971
108,-0.216,1972
109,-0.504,1973
110,0.538,1974
111,0.798,1975
112,0.146,1976
113,-1.311,1977
114,-0.435,1978
115,-2.283,1979
116,0.542,1980
117,2.946,1981
118,-1.677,1982
119,1.42,1983
120,-0.066,1984
121,0.274,1985
122,2.62,1986
123,1.545,1987
124,-0.157,1988
125,0.805,1989
126,2.814,1990
127,0.228,1991
128,2.205,1992
129,0.615,1993
130,0.355,1994
131,1.817,1995
132,-0.293,1996
133,0.038,1997
134,2.286,1998
135,1.365,1999
136,1.524,2000
137,2.046,2001
138,2.79,2002
139,2.166,2003
140,0.104,2004
141,2.161,2005
142,3.539,2006
143,1.164,2007
144,0.206,2008
145,0.418,2009
146,0.512,2010
147,0.616,2011
148,1.548,2012
149,2.06,2013
150,1.913,2014
151,2.033,2015
152,2.675,2016
153,2.128,2017
154,1.6,2018
155,1.866,2019
