price,odometer,age
16990.0,16930.0,3
3700.0,142000.0,17
0.0,4074.0,2
11975.0,207000.0,18
0.0,47287.0,7
21950.0,202537.0,18
0.0,9564.0,1
27590.0,20420.0,3
21990.0,7233.0,3
22590.0,33826.0,3
29990.0,30244.0,2
15590.0,60291.0,6
24990.0,24116.0,3
56995.0,2498.0,1
3975.0,187000.0,15
8000.0,61000.0,49
32500.0,177313.0,34
0.0,106993.0,6
0.0,55985.0,3
0.0,9143.0,1
13999.0,115012.0,11
5995.0,52396.0,10
7995.0,102161.0,8
11995.0,102457.0,6
17995.0,33603.0,3
12995.0,80410.0,9
0.0,87775.0,5
0.0,106346.0,6
0.0,43794.0,5
23990.0,39664.0,8
29990.0,17302.0,5
25500.0,29500.0,7
9600.0,307000.0,22
8400.0,179000.0,16
25590.0,33640.0,3
16990.0,67448.0,8
97995.0,1010.0,2
11200.0,44000.0,7
7000.0,280000.0,16
0.0,83862.0,7
36950.0,121349.0,14
31950.0,98740.0,15
36950.0,97602.0,3
9000.0,10.0,40
15000.0,47000.0,11
2600.0,180000.0,21
41995.0,40672.0,6
42995.0,70348.0,6
42995.0,65676.0,5
61995.0,13962.0,1
45995.0,97379.0,9
5500.0,130000.0,16
5975.0,149000.0,10
37999.0,38000.0,5
6600.0,127472.0,13
6975.0,100981.0,15
5700.0,105500.0,17
6900.0,104000.0,15
41995.0,950.0,0
37990.0,100104.0,4
1000.0,2000.0,23
41992.0,90386.0,9
10495.0,104716.0,11
45995.0,41217.0,5
20590.0,19900.0,2
39590.0,21521.0,2
35495.0,164637.0,9
35990.0,9508.0,2
6000.0,90000.0,8
0.0,40816.0,4
26590.0,41714.0,3
61990.0,81419.0,3
8997.0,164000.0,10
37990.0,37309.0,3
25590.0,11602.0,1
28990.0,6334.0,3
63990.0,48488.0,2
0.0,85576.0,8
0.0,62988.0,6
0.0,92503.0,4
43988.0,32638.0,2
79995.0,2268.0,3
34500.0,97000.0,14
15590.0,53066.0,5
45995.0,28911.0,4
33990.0,7577.0,1
0.0,53045.0,4
14995.0,115500.0,8
62990.0,69578.0,4
34990.0,42468.0,5
37990.0,32878.0,4
0.0,35797.0,2
0.0,33473.0,1
48995.0,64417.0,6
0.0,20798.0,1
0.0,32131.0,2
0.0,30372.0,2
0.0,5616.0,1
0.0,64706.0,5
0.0,49686.0,4
0.0,85329.0,5
0.0,6330.0,1
0.0,43531.0,6
71895.0,30500.0,4
14500.0,94000.0,19
36988.0,22424.0,3
0.0,75708.0,3
19990.0,11951.0,4
34990.0,22272.0,3
35995.0,62000.0,6
25590.0,38282.0,5
27990.0,61445.0,10
24990.0,14043.0,2
33990.0,1000.0,1
59995.0,58106.0,4
38000.0,1400.0,66
35395.0,49425.0,3
36995.0,65284.0,5
68000.0,640626.0,7
2500.0,238347.0,25
31995.0,99000.0,6
0.0,76610.0,6
45000.0,39000.0,5
12000.0,159400.0,13
6000.0,200676.0,32
12500.0,1000.0,48
6975.0,128000.0,7
8500.0,138764.0,14
36900.0,21517.0,4
4200.0,130000.0,21
13795.0,120210.0,8
2000.0,168000.0,19
8500.0,128000.0,13
7000.0,118000.0,19
0.0,61738.0,5
0.0,40816.0,4
8500.0,1.0,64
0.0,127578.0,11
39999.0,89125.0,3
36250.0,92687.0,7
0.0,66403.0,2
31990.0,56909.0,2
20000.0,100000.0,4
24990.0,5334.0,2
24590.0,42253.0,4
6500.0,151000.0,35
0.0,124416.0,14
0.0,47287.0,7
22590.0,20346.0,6
34990.0,3464.0,4
36885.0,61400.0,4
29990.0,19699.0,2
38590.0,26539.0,4
14500.0,146200.0,13
17900.0,176000.0,8
9000.0,58000.0,22
0.0,55985.0,3
17900.0,291000.0,5
22990.0,34443.0,4
31990.0,4108.0,1
23590.0,36070.0,3
29990.0,30727.0,4
0.0,79384.0,4
5500.0,237000.0,15
34590.0,29073.0,4
27590.0,10592.0,2
0.0,43794.0,5
0.0,25498.0,4
3700.0,163671.0,15
16590.0,42749.0,3
33590.0,33424.0,2
19990.0,29254.0,4
35590.0,19458.0,3
15000.0,115532.0,16
11000.0,120000.0,11
12500.0,108000.0,21
5600.0,80000.0,9
14500.0,95000.0,25
13500.0,187000.0,17
9250.0,64556.0,59
7500.0,101000.0,9
9597.0,145789.0,7
13351.0,59491.0,6
9663.0,106992.0,5
12208.0,62095.0,9
6950.0,175000.0,14
8997.0,164000.0,10
0.0,58572.0,8
3000.0,250000.0,21
82000.0,6100.0,2
3900.0,196000.0,21
0.0,143067.0,11
0.0,40816.0,4
69995.0,51431.0,3
44995.0,50847.0,3
