price,odometer,age,model
16990.0,16930.0,3.0,accent se sedan 4d
3700.0,142000.0,17.0,highlander
11975.0,207000.0,18.0,davidson
21950.0,202537.0,18.0,silverado 3500
27590.0,20420.0,3.0,tlx 3.5 sedan 4d
21990.0,7233.0,3.0,tiguan 2.0t s sport
22590.0,33826.0,3.0,terrain sle sport utility 4d
29990.0,30244.0,2.0,forester touring sport
15590.0,60291.0,6.0,hardtop 2 door cooper s
24990.0,24116.0,3.0,a4 ultra premium sedan 4d
56995.0,2498.0,1.0,f-250sd
3975.0,187000.0,15.0,g6
8000.0,61000.0,49.0,chevelle
32500.0,177313.0,34.0,vanagon
13999.0,115012.0,11.0,rx 350
5995.0,52396.0,10.0,leaf
7995.0,102161.0,8.0,200
11995.0,102457.0,6.0,altima <U+FFFC>
17995.0,33603.0,3.0,civic
12995.0,80410.0,9.0,corolla s
23990.0,39664.0,8.0,gs 350 sedan 4d
29990.0,17302.0,5.0,colorado extended cab
25500.0,29500.0,7.0,camaro rs
9600.0,307000.0,22.0,2500
8400.0,179000.0,16.0,suburban 2500
25590.0,33640.0,3.0,c-class c 300
16990.0,67448.0,8.0,tl special edition sedan
97995.0,1010.0,2.0,sprinter 2500
11200.0,44000.0,7.0,camry
7000.0,280000.0,16.0,4runner
36950.0,121349.0,14.0,2500 quad cab
31950.0,98740.0,15.0,f250 super duty
36950.0,97602.0,3.0,silverado 2500 hd
9000.0,10.0,40.0,blazer
15000.0,47000.0,11.0,370z roadster
2600.0,180000.0,21.0,altima
41995.0,40672.0,6.0,wrangler unlimited sahara 4dr hardtop
42995.0,70348.0,6.0,f-150 lifted lariat supercrew 5.0 v8
42995.0,65676.0,5.0,f-150 xlt supercrew ecoboost 3.5l premium
61995.0,13962.0,1.0,3500
45995.0,97379.0,9.0,3500 laramie drw crew cab cummins
5500.0,130000.0,16.0,astro transit van
5975.0,149000.0,10.0,soul
37999.0,38000.0,5.0,
6600.0,127472.0,13.0,accord
6975.0,100981.0,15.0,tahoe
5700.0,105500.0,17.0,pacifica
6900.0,104000.0,15.0,gti
41995.0,950.0,0.0,tacoma sr v6
37990.0,100104.0,4.0,sierra 1500
1000.0,2000.0,23.0,f-150
41992.0,90386.0,9.0,f-350sd
10495.0,104716.0,11.0,528i
45995.0,41217.0,5.0,f-550sd
20590.0,19900.0,2.0,mazda3 select sedan 4d
39590.0,21521.0,2.0,model 3 standard range
35495.0,164637.0,9.0,f-250sd
35990.0,9508.0,2.0,convertible cooper s 2d
6000.0,90000.0,8.0,500
26590.0,41714.0,3.0,accord touring sedan 4d
61990.0,81419.0,3.0,2500
8997.0,164000.0,10.0,cr-v
37990.0,37309.0,3.0,xt5 platinum sport
25590.0,11602.0,1.0,passat r-line sedan
28990.0,6334.0,3.0,brz limited coupe 2d
63990.0,48488.0,2.0,f-250sd
43988.0,32638.0,2.0,tacoma
79995.0,2268.0,3.0,f-450sd
34500.0,97000.0,14.0,International 4300
15590.0,53066.0,5.0,forte koup sx coupe 2d
45995.0,28911.0,4.0,sprinter 2500
33990.0,7577.0,1.0,charger gt sedan 4d
14995.0,115500.0,8.0,5 series
62990.0,69578.0,4.0,f-350sd
34990.0,42468.0,5.0,silverado 1500 double
37990.0,32878.0,4.0,rx 450h sport utility 4d
48995.0,64417.0,6.0,f-450sd
71895.0,30500.0,4.0,f-250sd
14500.0,94000.0,19.0,4runner
36988.0,22424.0,3.0,tacoma
19990.0,11951.0,4.0,b-class b 250e
34990.0,22272.0,3.0,e-class e 300
35995.0,62000.0,6.0,f-250 super duty super duty
25590.0,38282.0,5.0,frontier crew cab sv
27990.0,61445.0,10.0,cl-class cl 550
24990.0,14043.0,2.0,frontier king cab sv
33990.0,1000.0,1.0,370z coupe 2d
59995.0,58106.0,4.0,f-750sd
38000.0,1400.0,66.0,210
35395.0,49425.0,3.0,f-150
36995.0,65284.0,5.0,f-550sd
68000.0,640626.0,7.0,peterbilt 389
2500.0,238347.0,25.0,ranger xl
31995.0,99000.0,6.0,f-250 super duty 4x2 2dr re
45000.0,39000.0,5.0,sierra 1500 slt 4x4
12000.0,159400.0,13.0,suburban ltz
6000.0,200676.0,32.0,mustang gt
12500.0,1000.0,48.0,Plymouth duster
6975.0,128000.0,7.0,forte
8500.0,138764.0,14.0,yukon
36900.0,21517.0,4.0,wrangler unlimited sport
4200.0,130000.0,21.0,e320
13795.0,120210.0,8.0,g37
2000.0,168000.0,19.0,330i
8500.0,128000.0,13.0,benz e350 sport
7000.0,118000.0,19.0,
8500.0,1.0,64.0,bel air
39999.0,89125.0,3.0,chassis 3500
36250.0,92687.0,7.0,sierra
31990.0,56909.0,2.0,ridgeline rtl-t pickup 4d
20000.0,100000.0,4.0,accord lx
24990.0,5334.0,2.0,ilx premium pkg sedan 4d
24590.0,42253.0,4.0,avalon xle touring sedan
6500.0,151000.0,35.0,bronco eddie bauer
22590.0,20346.0,6.0,genesis coupe 3.8 2d
34990.0,3464.0,4.0,tacoma double cab trd
36885.0,61400.0,4.0,1500
29990.0,19699.0,2.0,santa fe 2.4 ultimate
38590.0,26539.0,4.0,titan xd crew cab sv
14500.0,146200.0,13.0,650i convertible
17900.0,176000.0,8.0,bus
9000.0,58000.0,22.0,Boxster
17900.0,291000.0,5.0,bus
22990.0,34443.0,4.0,golf gti se hatchback
31990.0,4108.0,1.0,acadia sle sport utility 4d
23590.0,36070.0,3.0,q50 2.0t pure sedan 4d
29990.0,30727.0,4.0,colorado crew cab lt
5500.0,237000.0,15.0,f-250
34590.0,29073.0,4.0,f150 supercrew cab xlt
27590.0,10592.0,2.0,a3 premium sedan 4d
3700.0,163671.0,15.0,matrix
16590.0,42749.0,3.0,c-max hybrid se wagon 4d
33590.0,33424.0,2.0,ranger supercrew xl pickup
19990.0,29254.0,4.0,sonata plug-in hybrid
35590.0,19458.0,3.0,sierra 1500 double cab sle
15000.0,115532.0,16.0,silverado
11000.0,120000.0,11.0,camaro
12500.0,108000.0,21.0,camaro
5600.0,80000.0,9.0,yaris
14500.0,95000.0,25.0,mustang
13500.0,187000.0,17.0,truck tundra sr5
9250.0,64556.0,59.0,galaxie 500
7500.0,101000.0,9.0,beetle
9597.0,145789.0,7.0,optima
13351.0,59491.0,6.0,soul
9663.0,106992.0,5.0,elantra
12208.0,62095.0,9.0,accord sdn
6950.0,175000.0,14.0,f450 superduty
8997.0,164000.0,10.0,cr-v
3000.0,250000.0,21.0,mustang gt
82000.0,6100.0,2.0,corvette
3900.0,196000.0,21.0,echo
69995.0,51431.0,3.0,2500 laramie 4dr megacab
44995.0,50847.0,3.0,f-150 xlt supercrew eco boost 3.5l
33590.0,57923.0,7.0,sierra 1500 crew cab slt
44995.0,70316.0,4.0,titan xd pro-4x
68995.0,68326.0,4.0,f-250 super duty lariat lift 6.7 liter
29990.0,59613.0,8.0,model s sedan 4d
34990.0,34425.0,5.0,canyon crew cab sle pickup
24995.0,117740.0,8.0,silverado 1500 lt ext cab lifted
54995.0,71127.0,7.0,sierra 2500 lifted denali 6.6 duramax crew cab
25990.0,15575.0,7.0,sierra 1500 regular cab
31990.0,9261.0,1.0,tacoma access cab sr
25999.0,118000.0,21.0,f-250 super cab 7.3l diesel
32950.0,78853.0,15.0,f350 king ranch
29950.0,117288.0,14.0,f350 super duty lariat
30000.0,99100.0,17.0,f350 super duty
10500.0,109370.0,10.0,
15900.0,175000.0,13.0,isuzu npr
34590.0,13970.0,4.0,1500 quad cab slt pickup 4d
29990.0,26460.0,5.0,4 series 435i gran coupe 4d
33590.0,55251.0,7.0,tundra crewmax sr5 pickup
27788.0,90010.0,4.0,wrangler unlimited
13495.0,101314.0,13.0,mustang
19990.0,6054.0,4.0,500 abarth hatchback 2d
11975.0,164000.0,10.0,gl-class gl 350
2600.0,69000.0,47.0,f250
32950.0,83708.0,23.0,3500
7975.0,147000.0,13.0,maxima
10999.0,112512.0,15.0,silverado 1500
34999.0,74885.0,5.0,Isuzu NPR HD GAS REG
34799.0,93650.0,7.0,wrangler unlimited
20999.0,117527.0,6.0,express commercial cutaway
34999.0,30620.0,2.0,transit van
27995.0,117219.0,7.0,silverado 2500hd
20999.0,117133.0,5.0,transit cargo van
17498.0,83280.0,7.0,express cargo van
37995.0,5295.0,2.0,tacoma trd off-road
21995.0,102719.0,8.0,tacoma prerunner v6
6000.0,115000.0,9.0,f-250 super duty
3800.0,47408.0,47.0,beetle
6500.0,115000.0,10.0,Prius
6975.0,161000.0,12.0,camry
26990.0,41335.0,4.0,titan single cab sv
18590.0,13110.0,3.0,ecosport se sport utility
23990.0,83754.0,8.0,4runner sr5 sport utility
29590.0,32833.0,3.0,glc 300 sport
30590.0,19673.0,3.0,romeo stelvio sport suv 4d
24590.0,60987.0,7.0,is 350 sedan 4d
36590.0,7619.0,2.0,silverado 1500 crew
5675.0,115800.0,10.0,elantra touring
